dates,signals,safef,comment
2016-05-11 05:05:32.762000-04:00,1,1,
2016-05-11 05:35:36.492000-04:00,1,1,
2016-05-11 06:43:03.998000-04:00,1,1,
2016-05-11 07:00:16.473000-04:00,1,1,
2016-05-11 07:15:48.080000-04:00,1,1,
2016-05-11 07:19:59.898000-04:00,-1,1,
2016-05-11 08:07:03.433000-04:00,-1,1,
2016-05-11 09:13:45.444000-04:00,1,1,
2016-05-11 10:27:48.308000-04:00,1,1,
2016-05-11 11:11:30.510000-04:00,1,1,
2016-05-11 11:16:49.208000-04:00,-1,1,
2016-05-11 11:48:03.030000-04:00,1,1,
2016-05-11 12:20:35.244000-04:00,-1,1,
2016-05-11 12:23:20.590000-04:00,-1,1,
2016-05-11 14:20:26.219000-04:00,-1,1,
2016-05-11 14:35:06.269000-04:00,-1,1,
2016-05-11 14:55:42.349000-04:00,1,1,
2016-05-11 16:09:10.104000-04:00,1,1,
2016-05-11 16:10:43.784000-04:00,-1,1,
2016-05-11 16:14:14.842000-04:00,1,1,
2016-05-11 16:46:23.894000-04:00,-1,1,
2016-05-11 17:52:34.067000-04:00,-1,1,
2016-05-11 18:47:33.907000-04:00,-1,1,
2016-05-11 19:03:42.688000-04:00,1,1,
2016-05-11 21:02:40.703000-04:00,-1,1,
2016-05-11 21:23:01.147000-04:00,-1,1,
2016-05-11 22:39:06.288000-04:00,-1,1,
2016-05-12 00:19:32.172000-04:00,-1,1,
2016-05-12 00:20:55.927000-04:00,-1,1,
2016-05-12 01:04:56.773000-04:00,-1,1,
2016-05-12 02:08:18.854000-04:00,1,1,
2016-05-12 02:10:43.424000-04:00,1,1,
2016-05-12 02:56:24.860000-04:00,1,1,
2016-05-12 03:27:04.845000-04:00,-1,1,
2016-05-12 03:41:51.290000-04:00,-1,1,
2016-05-12 04:28:49.230000-04:00,-1,1,
2016-05-12 05:30:06.708000-04:00,-1,1,
2016-05-12 05:34:08.827000-04:00,-1,1,
2016-05-12 05:40:24.771000-04:00,1,1,
