dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.0_system,RS_netEquity,safef,cycleTime,timestamp,v4.3_system
2016-04-26 19:00:00,100296.4,100094.83,-0.638031601151,0.0,0.0046625240412,0.0,48.18,both_best_wf_is_pv3s_v2v DPS wl25.0 maxL2 dd95_0.005 thres_0.0,1.0,0.000477985456938,wf_is_pv3s_v2v,48.08,0.0,1.0,buyHold,1.0,buyHold,100094.83,1.0,,,
2016-04-26 19:30:00,100344.34,100142.67,-0.654500694617,0.0,0.00502169207582,0.0,47.94,both_best_wf_is_pv3s_v2v DPS wl29.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,47.84,0.0,1.0,buyHold,1.0,buyHold,100142.67,1.0,-11.6323,20160426 19:18:22 EDT,
2016-04-26 19:30:00,100397.74,100142.67,-0.634520963106,0.0,0.00502169207582,0.0,47.97,both_best_wf_is_pv3s_v2v DPS wl29.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,47.84,0.0,1.0,buyHold,1.0,buyHold,100142.67,1.0,7.66531666667,20160426 19:37:39 EDT,
2016-04-26 20:00:00,100480.38,100257.8,-0.457201031516,0.0,0.00456832192576,0.0,22.1,both_best_wf_is_pv3s_v2v DPS wl24.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,22.05,0.0,1.0,buyHold,1.0,buyHold,100257.8,1.0,-3.98168333333,20160426 19:56:01 EDT,
2016-04-26 20:30:00,100293.65,100273.26,-0.386504320461,0.0,0.00456832192576,0.0,19.68,both_best_wf_is_pv3s_v2v DPS wl24.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,19.68,0.0,1.0,buyHold,1.0,buyHold,100273.26,1.0,-15.0731333333,20160426 20:14:55 EDT,
2016-04-26 20:30:00,100355.21,100273.26,-0.460802461723,0.0,0.00456832192576,0.0,19.69,both_best_wf_is_pv3s_v2v DPS wl24.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,19.68,0.0,1.0,buyHold,1.0,buyHold,100273.26,1.0,3.67286666667,20160426 20:33:40 EDT,
2016-04-26 21:00:00,100429.7,100293.5,-0.382287044238,0.0,0.004472135955,0.0,-16.39,both_best_wf_is_pv3s_v2v DPS wl23.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-16.36,0.0,1.0,buyHold,1.0,buyHold,100293.5,1.0,-7.80796666667,20160426 20:52:11 EDT,
2016-04-26 21:30:00,100562.28,100326.91,-0.4393905729,0.0,0.00456832192576,0.0,35.42,both_best_wf_is_pv3s_v2v DPS wl24.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,35.33,0.0,1.0,buyHold,1.0,buyHold,100326.91,1.0,-18.5439333333,20160426 21:11:27 EDT,
2016-04-26 21:30:00,100466.8,100326.91,-0.364573752841,0.0,0.00456832192576,0.0,35.38,both_best_wf_is_pv3s_v2v DPS wl24.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,35.33,0.0,1.0,buyHold,1.0,buyHold,100326.91,1.0,-0.0331,20160426 21:29:58 EDT,
2016-04-26 22:00:00,100376.15,100227.7,-0.32062107613,0.0,0.00502169207582,0.0,-77.41,both_best_wf_is_pv3s_v2v DPS wl29.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-77.29,0.0,1.0,buyHold,1.0,buyHold,100227.7,1.0,-10.2429833333,20160426 21:49:45 EDT,
2016-04-26 22:30:00,100520.64,100483.06,-0.44226197465,0.0,0.004472135955,0.0,253.79,both_best_wf_is_pv3s_v2v DPS wl23.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,253.69,0.0,1.0,buyHold,1.0,buyHold,100483.06,1.0,-21.1969166667,20160426 22:08:48 EDT,
2016-04-26 22:30:00,100605.42,100483.06,-0.387859736159,0.0,0.004472135955,0.0,254.0,both_best_wf_is_pv3s_v2v DPS wl23.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,253.69,0.0,1.0,buyHold,1.0,buyHold,100483.06,1.0,-2.7874,20160426 22:27:12 EDT,
2016-04-26 23:00:00,100648.58,100467.79,-0.155358579342,0.0,0.00406469422349,0.0,-82.71,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-82.56,0.0,1.0,buyHold,1.0,buyHold,100467.79,1.0,-13.9137833333,20160426 22:46:05 EDT,
2016-04-26 23:00:00,100618.73,100467.79,-0.0889465823965,0.0,0.00406469422349,0.0,-82.69,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-82.56,0.0,1.0,buyHold,1.0,buyHold,100467.79,1.0,5.07731666667,20160426 23:05:04 EDT,
2016-04-26 23:30:00,100847.31,100582.74,-0.32134370964,0.0,0.00437383524868,2.0,170.07,both_best_wf_is_pv3s_v2v DPS wl22.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,94.45,0.0,1.0,buyHold,1.0,buyHold,100582.74,1.0,-6.60586666667,20160426 23:23:23 EDT,
2016-04-27 00:00:00,100777.22,100636.73,-0.0891172538107,0.0,0.00427327386967,0.0,-6.18,both_best_wf_is_pv3s_v2v DPS wl21.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-6.17,0.0,1.0,buyHold,1.0,buyHold,100636.73,1.0,-17.2978333333,20160426 23:42:42 EDT,
2016-04-27 00:00:00,100565.11,100636.73,-0.0472697857841,0.0,0.00427327386967,0.0,-6.17,both_best_wf_is_pv3s_v2v DPS wl21.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-6.17,0.0,1.0,buyHold,1.0,buyHold,100636.73,1.0,1.52448333333,20160427 00:01:31 EDT,
2016-04-27 00:30:00,100966.8,100688.07,0.00347990851046,0.00228712516422,0.00406469422349,2.0,111.51,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.77720672532,0.0,wf_is_pv3s_v2v,113.19,0.0,1.0,buyHold,1.0,buyHold,100688.07,1.0,-9.18455,20160427 00:20:48 EDT,
2016-04-27 00:30:00,100816.13,100688.07,-0.0204796699299,0.0,0.00406469422349,0.0,113.34,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,113.19,0.0,1.0,buyHold,1.0,buyHold,100688.07,1.0,10.2946833333,20160427 00:40:17 EDT,
2016-04-27 01:00:00,100705.03,100559.2,0.198134761433,0.00199225846421,0.00406469422349,2.0,-147.8,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-92.75,0.0,1.0,buyHold,1.0,buyHold,100559.2,1.0,-1.21271666667,20160427 00:58:47 EDT,
