dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-06-29,-0.00601467474767,0.0,0.00161514570617,0.0,111675.4,-656.12,both_zigZag_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,-0.013698630137,wf_is_pv3s_v2v,109460.65,-643.11,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is48,1.0,,
2016-06-30,0.000167089471015,0.00198031298747,0.00186500961648,2.264104,113202.94,1527.54,both_zigZag_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,110960.11,1499.46,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is22,1.0,1.0,20160630 23:58:06 EDT
2016-07-01 00:00:00,0.0358599221142,0.0047072518337,0.00208514414057,0.0,102106.13,688.98,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,102367.14,346.54,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f94_is22,1.0,1.0,20160701 20:28:43 EDT
2016-07-01 00:00:00,0.0348999308274,0.0047072306263,0.00208514414057,0.0,102106.13,688.98,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,102367.14,346.54,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f94_is22,1.0,1.0,20160704 20:16:47 EDT
2016-07-05 00:00:00,0.0168393148094,0.00652184023477,0.00228416096288,0.0,104612.06,3879.85,both_zigZag_GNBayes DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,103636.27,1958.14,0.0,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f86_is7,1.0,1.0,20160705 20:15:28 EDT
2016-07-05 00:00:00,0.00297259348379,0.00208725658065,0.00228416096288,2.05340155617,102668.02,1937.83,both_zigZag_GNBayes DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,103636.27,1958.14,0.0,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f86_is7,1.0,1.0,20160705 22:47:17 EDT
2016-07-06 00:00:00,0.0682754274603,0.00391818130088,0.00246717581898,0.0,106193.09,1636.08,both_sellHold DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,103774.68,805.62,0.0,1.0,sellHold,-1.0,sellHold,1.0,1.0,20160706 20:46:24 EDT
2016-07-07 00:00:00,0.071128774728,0.00437564431468,0.00263752189358,0.0,106669.26,476.17,both_sellHold DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,104007.34,232.66,0.0,1.0,sellHold,-1.0,sellHold,1.0,1.0,20160707 21:20:02 EDT
2016-07-08 00:00:00,-0.00810346336922,0.0,0.00279751442472,0.0,95817.69,391.88,both_zigZag_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,95815.78,391.87,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f94_is22,1.0,1.0,20160708 20:29:53 EDT
2016-07-11 00:00:00,-0.000995612739141,0.0,0.00228416096288,0.0,96224.36,406.67,both_zigZag_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,96222.44,406.66,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f94_is22,1.0,1.0,20160711 20:35:48 EDT
