dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,RS_netEquity
2016-05-02,95712.28,99957.72,0.000937016317493,0.00754938808088,0.00685248288864,2.0,-320.59,both_zigZag_PCA10_GNBayes DPS wl54.0 maxL2 dd95_0.007 thres_0.0,0.168731375734,-0.0083210397925,wf_is_short,-750.38,3.99846862154,1.0,zigZag_PCA10_GNBayes,1.0,zigZag_PCA10_f10_is55,1.0,,,
2016-05-03,95575.9,99122.0,0.00418498902093,0.00346394954525,0.00373001923296,2.0,-136.38,both_gainAhead_PCA10_VotingSoft DPS wl16.0 maxL2 dd95_0.004 thres_0.0,0.243543446774,0.0,wf_is_pv3s_v2v,-835.72,3.96503871337,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is34,1.0,1982.8163,20160504 09:02:48 EDT,
2016-05-03 00:00:00,100512.73,100453.44,-0.000951270018879,0.0,0.00884651736929,0.0,829.47,both_worst_wf_is_all DPS wl90.0 maxL2 dd95_0.009 thres_0.0,1.0,0.0,wf_is_short,828.98,0.0,1.0,zigZag_PCA10_GNBayes,-1.0,zigZag_PCA10_f10_is56,1.0,2034.96263333,20160504 09:54:57 EDT,94593.06
2016-05-04 00:00:00,114067.79,115147.17,-0.0210159294241,0.0,0.00884651736929,4.56289415926,-561.83,both_best_wf_is_pv2e_p2p DPS wl90.0 maxL2 dd95_0.009 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,-567.15,4.60607123072,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f68_is23,1.0,2324.82658333,20160505 14:44:49 EDT,90405.2
2016-05-05 00:00:00,90154.86,95887.87,0.0202424753644,0.00450229290194,0.00437383524868,0.0,263.48,both_zigZag_PCA10_VotingSoft DPS wl22.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,140.32,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is23,1.0,1717.6802,20160506 04:37:40 EDT,
2016-05-05 00:00:00,126094.04,117247.34,0.0117598587768,0.0027853138193,0.00323029141235,0.0,368.52,both_zigZag_PCA10_VotingSoft DPS wl12.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,171.58,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is25,1.0,2712.0733,20160506 21:12:04 EDT,
2016-05-05 00:00:00,79898.7,90806.86,0.00141957203794,0.00667827915611,0.00704025691231,2.0,-119.65,both_gainAhead_GNBayes DPS wl57.0 maxL2 dd95_0.007 thres_0.0,2.0,0.0,wf_is_short,-133.71,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f109_is58,1.0,149.98,20160508 05:55:47 EDT,
2016-05-06 00:00:00,86623.01,92572.36,0.00134049204148,0.0060521731959,0.00710174503969,2.0,368.24,both_zigZag_GNBayes DPS wl58.0 maxL2 dd95_0.007 thres_0.0,2.0,0.0,wf_is_short,395.66,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f110_is59,1.0,4947.18461667,20160509 10:27:11 EDT,
2016-05-09 00:00:00,81868.94,90890.19,-0.000407659791291,0.0,0.00716270534268,0.0,59.97,both_zigZag_PCA10_GNBayes DPS wl59.0 maxL2 dd95_0.007 thres_0.0,1.0,0.0,wf_is_short,66.58,0.0,1.0,zigZag_PCA10_GNBayes,1.0,zigZag_PCA10_f10_is60,1.0,1436.41211667,20160509 23:56:24 EDT,
2016-05-10 00:00:00,98498.42,99439.45,0.0406386964116,0.0006480098697,0.00208514414057,0.0,-2281.66,both_zigZag_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-1138.54,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is17,1.0,1431.32328333,20160510 23:51:19 EDT,
