dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,v4.4_system
2016-05-27,0.0501138620699,0.000122,0.00131876094679,2.0,98442.98,1180.8,both_sellHold DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,-0.014678030303,wf_is_pv2e_p2p,102535.38,1231.94,0.0,1.0,sellHold,-1.0,sellHold,1.0,,,
2016-05-31,0.0184902705062,5.99988000079e-05,0.00161514570617,0.0,101332.88,2889.9,both_sellHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,104040.4,1505.02,0.0,1.0,sellHold,-1.0,sellHold,1.0,1351.71523333,20160531 22:31:42 EDT,
2016-06-01 00:00:00,0.0674070710966,8e-05,0.00131876094679,0.0,107702.16,3407.98,both_gainAhead_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,105691.71,1699.06,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f85_is21,1.0,1321.54,20160601 22:01:32 EDT,
2016-06-01 00:00:00,0.0674070673539,9.9998200036e-05,0.00131876094679,0.0,104668.4,3311.98,both_gainAhead_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,104300.54,1676.7,0.0,1.0,gainAhead_GNBayes,1.0,gainAhead_GNBayes_f85_is21,1.0,2518.79721667,20160602 17:58:47 EDT,
2016-06-02 00:00:00,0.0588633020444,7.9997600032e-05,0.00161514570617,8.48432647565,106045.6,1377.2,both_gainAhead_GNBayes DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,104986.75,686.21,4.19963781863,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f85_is22,1.0,1227.69216667,20160602 20:27:41 EDT,
2016-06-03 00:00:00,-0.00578862206834,0.0,0.00131876094679,2.04007838441,102001.88,-2858.74,both_gainAhead_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,101134.87,-1396.62,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f85_is3,1.0,1265.54315,20160603 21:05:32 EDT,
2016-06-06 00:00:00,0.0239364712177,5.09993400045e-05,0.00161514570617,8.54705319741,106829.62,2599.62,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,103450.25,1274.25,4.13817534754,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f91_is36,1.0,1240.2977,20160606 20:40:17 EDT,
2016-06-07 00:00:00,0.0262416185121,7.09986800177e-05,0.00186500961648,0.0,108421.01,0.0,both_zigZag_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,104991.3,0.0,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f91_is36,1.0,1237.00083333,20160607 20:37:00 EDT,
2016-06-08 00:00:00,-0.00635784544408,0.0,0.00208514414057,2.04783733419,102389.82,-3591.34,both_zigZag_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,101554.2,-1749.3,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f91_is36,1.0,1348.47013333,20160608 22:28:28 EDT,
2016-06-09 00:00:00,0.00220250218934,0.00263933302768,0.00228416096288,0.0,101008.62,-548.46,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,101282.84,-274.23,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f91_is36,1.0,1247.89528333,20160609 20:47:53 EDT,
