dates,CAR25,cycleTime,dd95,ddTol,gainAhead,prior_index,safef,signals,system,timestamp
2016-03-21 23:38:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 22:39:25 EST
2016-03-21 23:46:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 22:47:34 EST
2016-03-21 23:56:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 22:57:33 EST
2016-03-22 00:06:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 23:08:01 EST
2016-03-22 00:17:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 23:19:16 EST
2016-03-22 00:26:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 23:27:38 EST
2016-03-22 00:38:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 23:39:31 EST
2016-03-22 00:47:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 23:48:38 EST
2016-03-22 00:53:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160321 23:55:22 EST
2016-03-22 01:02:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 00:03:28 EST
2016-03-22 01:12:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 00:14:18 EST
2016-03-22 01:21:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 00:23:06 EST
2016-03-22 01:28:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 00:30:22 EST
2016-03-22 01:37:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 00:38:46 EST
2016-03-22 01:47:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 00:48:33 EST
2016-03-22 01:56:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 00:58:00 EST
2016-03-22 02:03:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 01:04:48 EST
2016-03-22 02:10:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 01:12:18 EST
2016-03-22 02:20:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 01:22:21 EST
2016-03-22 02:31:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 01:32:41 EST
2016-03-22 02:40:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 01:41:30 EST
2016-03-22 02:48:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 01:49:55 EST
2016-03-22 02:57:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 01:59:03 EST
2016-03-22 03:08:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 02:09:33 EST
2016-03-22 03:17:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 02:19:17 EST
2016-03-22 03:27:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 03:28:30 EDT
2016-03-22 03:38:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 03:39:50 EDT
2016-03-22 03:47:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 03:48:31 EDT
2016-03-22 03:55:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 03:56:56 EDT
2016-03-22 04:03:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 04:05:10 EDT
2016-03-22 04:13:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 04:15:07 EDT
2016-03-22 04:23:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 04:24:54 EDT
2016-03-22 04:33:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 04:34:54 EDT
2016-03-22 04:41:00,,,,,0.0,0,1.0,1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 04:43:26 EDT
2016-03-22 04:51:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 04:52:29 EDT
2016-03-22 05:00:00,,,,,0.0,0,1.0,-1.0,NZDUSD_ALL_DF1_GNBayes_i250_gainAhead,20160322 05:01:38 EDT
2016-03-22 05:08:00,,,,,0.0,0,1.0,-1.0,"NZDUSD_ALL_DF1_GNBayes_i250_ZZ 0.009,-0.009",20160322 05:09:42 EDT
2016-03-22 05:25:00,,,,,0.0,0,1.0,-1.0,"NZDUSD_ALL_DF1_GNBayes_i250_ZZ 0.009,-0.009",20160322 05:26:29 EDT
2016-03-22 05:32:00,,,,,0.0,0,1.0,-1.0,"NZDUSD_ALL_DF1_GNBayes_i250_ZZ 0.009,-0.009",20160322 05:34:27 EDT
