dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,RS_netEquity,safef,cycleTime,timestamp
2016-05-03,104402.36,102937.18,0.00500347439361,0.00257868739253,0.00246717581898,3.99372261984,-3419.01,both_zigZag_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,0.0874139991073,0.00936220011703,wf_is_pv2e_p2p,-1656.39,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f53_is8,,1.0,,
2016-05-04,104485.8,103900.9,0.00576480291938,0.00388808917109,0.00263752189358,2.0,83.44,both_zigZag_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,0.0797261289345,0.0,wf_is_pv2e_p2p,963.72,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f54_is9,,1.0,2408.92115,20160505 16:08:55 EDT
2016-05-04 00:00:00,102869.67,102013.02,0.0130191276592,0.00293532647374,0.00263752189358,2.0,83.44,both_zigZag_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,0.109601454466,0.0,wf_is_pv2e_p2p,946.21,0.0,1.0,zigZag_VotingSoft,1.0,zigZag_VotingSoft_f54_is9,,1.0,2465.86863333,20160505 17:05:52 EDT
2016-05-05 00:00:00,102876.34,101340.55,-0.00138270473068,0.0,0.00384481582077,2.05756785577,-5136.58,both_gainAhead_VotingSoft DPS wl17.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-2467.32,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f63_is81,,1.0,1626.1329,20160506 03:06:07 EDT
2016-05-05 00:00:00,223095.08,150905.73,0.0669639661023,0.00286185717266,0.00406469422349,17.8490343833,10106.81,both_gainAhead_VotingSoft DPS wl19.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,3497.58,6.03647056,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f65_is140,,1.0,2749.57155,20160506 21:49:34 EDT
2016-05-05 00:00:00,146438.15,119556.53,0.0296738514225,0.0021461334047,0.00323029141235,11.715989221,-7321.04,both_gainAhead_PCA10_VotingSoft DPS wl12.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,-2915.8,4.78245267617,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is38,,1.0,116.2,20160508 02:08:05 EDT
2016-05-06 00:00:00,146805.02,122454.91,0.0250127858695,0.00612780580216,0.00527504378717,11.7453410501,-5436.2,both_zigZag_GNBayes DPS wl32.0 maxL2 dd95_0.005 thres_0.0,2.0,0.0,wf_is_short,-2226.13,4.89839221683,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f84_is49,,1.0,4904.30511667,20160509 09:44:18 EDT
2016-05-09 00:00:00,139185.85,120070.75,0.00504043093776,0.00617444787337,0.00582349066096,11.1357592099,-2575.64,both_gainAhead_PCA10_VotingSoft DPS wl39.0 maxL2 dd95_0.006 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-1100.81,4.80302193943,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is40,,1.0,1587.39933333,20160510 02:27:23 EDT
2016-05-10 00:00:00,92706.94,95345.76,0.0390014170814,0.00322551028239,0.00208514414057,0.0,-12372.96,both_zigZag_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-5964.55,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is78,,1.0,1494.29116667,20160511 00:54:17 EDT
2016-05-10 00:00:00,142927.41,126197.04,0.0111552193711,0.00227155174845,0.00208514414057,2.85860528724,7944.16,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,7016.64,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f58_is13,,1.0,2802.81455,20160511 22:42:48 EDT
