dates,signals,safef,comment
2016-05-03 02:36:54.545000-04:00,1,1,
2016-05-03 02:54:15.151000-04:00,1,1,
2016-05-03 02:59:18.326000-04:00,1,1,
2016-05-03 03:10:08.483000-04:00,1,1,
2016-05-03 03:22:40.224000-04:00,-1,1,
2016-05-03 03:38:17.898000-04:00,-1,1,
2016-05-03 03:54:02.339000-04:00,-1,1,
2016-05-03 04:10:58.184000-04:00,-1,1,
2016-05-03 04:26:50.400000-04:00,-1,1,
2016-05-03 04:42:51.187000-04:00,1,1,
2016-05-03 04:58:54.201000-04:00,1,1,
2016-05-03 05:13:36.707000-04:00,-1,1,
2016-05-03 05:31:09.432000-04:00,-1,1,
2016-05-03 05:46:47.487000-04:00,-1,1,
2016-05-03 06:02:43.997000-04:00,1,1,
2016-05-03 06:18:31.167000-04:00,1,1,
2016-05-03 06:33:25.900000-04:00,1,1,
2016-05-03 06:50:33.515000-04:00,1,1,
2016-05-04 19:49:53.407000-04:00,-1,1,
2016-05-04 20:05:15.071000-04:00,-1,1,
2016-05-04 20:20:09.588000-04:00,-1,1,
2016-05-04 20:35:20.877000-04:00,-1,1,
2016-05-04 20:50:26.306000-04:00,-1,1,
2016-05-04 21:04:51.644000-04:00,-1,1,
2016-05-04 21:22:13.440000-04:00,-1,1,
2016-05-04 21:36:45.682000-04:00,-1,1,
2016-05-04 21:52:40.355000-04:00,-1,1,
2016-05-04 22:35:02.281000-04:00,-1,1,
2016-05-04 22:50:49.818000-04:00,-1,1,
2016-05-04 23:05:35.998000-04:00,-1,1,
2016-05-04 23:22:05.179000-04:00,-1,1,
2016-05-04 23:37:48.544000-04:00,-1,1,
2016-05-04 23:52:54.786000-04:00,-1,1,
2016-05-05 00:10:15.717000-04:00,-1,1,
2016-05-05 00:26:25.751000-04:00,-1,1,
2016-05-05 00:41:43.562000-04:00,-1,1,
2016-05-05 00:57:57.481000-04:00,-1,1,
2016-05-05 01:12:59.912000-04:00,-1,1,
2016-05-05 01:28:49.988000-04:00,-1,1,
