dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.5_system,safef,cycleTime,timestamp
2016-06-28 00:00:00,0.046098038846,0.00029400059437,0.00161514570617,2.0,99335.84,301.28,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.00375541646606,wf_is_pv2e_p2p,99542.33,303.9,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f21_is6,1.0,,
2016-06-28 04:00:00,-0.104226758786,0.0,0.00186500961648,2.0,98587.75,-748.09,both_zigZag_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,99168.51,-373.82,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f21_is6,1.0,-189.7428,20160628 00:50:15 EDT
2016-06-28 08:00:00,-0.0527644128431,0.0,0.00208514414057,3.92055866122,98010.05,-125.2,both_gainAhead_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,99099.91,-126.6,3.96415511453,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is6,1.0,-192.4714,20160628 04:47:31 EDT
2016-06-28 12:00:00,-0.0391632918067,0.0,0.00228416096288,3.94184936962,98542.29,518.78,both_gainAhead_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,98833.68,520.32,3.95350519626,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is6,1.0,-190.26675,20160628 08:49:43 EDT
2016-06-28 16:00:00,-0.0886080411401,0.0,0.00161514570617,0.0,98294.02,-68.68,both_gainAhead_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,98584.65,-68.89,0.0,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is6,1.0,-192.005783333,20160628 12:47:59 EDT
2016-06-28 20:00:00,-0.0674097937517,0.0,0.00186500961648,0.0,98446.47,35.73,both_gainAhead_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,98955.1,35.92,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is20,1.0,-190.0427,20160628 16:49:57 EDT
2016-06-29 04:00:00,-0.0337704713455,0.0,0.00228416096288,0.0,98901.09,-52.17,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,98899.11,-52.17,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f25_is20,1.0,-412.976883333,20160628 21:07:01 EDT
2016-06-29 04:00:00,-0.023379872019,0.0,0.00228416096288,3.95558037895,98885.55,31.1,both_gainAhead_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,98883.58,31.1,3.955501551,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is20,1.0,-190.68415,20160629 00:49:18 EDT
2016-06-29 08:00:00,-0.081473645001,0.0,0.00246717581898,0.0,99095.91,233.03,both_gainAhead_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,99093.92,233.02,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is20,1.0,-191.2321,20160629 04:48:46 EDT
2016-06-29 12:00:00,-0.0634547384822,0.0,0.00263752189358,0.0,98602.14,-247.59,both_gainAhead_GNBayes DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,98600.16,-247.58,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f18_is19,1.0,-191.030516667,20160629 08:48:58 EDT
2016-06-29 16:00:00,-0.0548757189712,0.0,0.00279751442472,0.0,99208.99,-55.88,both_gainAhead_GNBayes DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,99206.99,-55.88,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f18_is20,1.0,-190.995116667,20160629 12:49:00 EDT
2016-06-29 20:00:00,-0.103312106996,0.0,0.0029488391231,0.0,99760.01,-111.5,both_sellHold DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,99753.14,-111.49,0.0,1.0,sellHold,-1.0,sellHold,1.0,-190.780383333,20160629 16:49:13 EDT
2016-06-30 00:00:00,-0.0675031718828,0.0,0.00309276856414,0.0,99726.9,-15.21,both_gainAhead_VotingSoft DPS wl11.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,99724.91,-15.21,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f25_is20,1.0,-190.733616667,20160629 20:49:15 EDT
2016-06-30 04:00:00,-0.0870604936687,0.0,0.00323029141235,0.0,99536.15,96.68,both_sellHold DPS wl12.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,99534.16,96.68,0.0,1.0,sellHold,-1.0,sellHold,1.0,-190.0894,20160630 00:49:54 EDT
2016-06-30 08:00:00,-0.12230937052,0.0,0.00336219390073,0.0,99431.7,-165.38,both_sellHold DPS wl13.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,99429.71,-165.38,0.0,1.0,sellHold,-1.0,sellHold,1.0,-191.302133333,20160630 04:48:41 EDT
2016-06-30 12:00:00,-0.130761243802,0.0,0.00348911350395,0.0,99485.03,-77.71,both_sellHold DPS wl14.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,99483.04,-77.71,0.0,1.0,sellHold,-1.0,sellHold,1.0,-191.252416667,20160630 08:48:44 EDT
2016-06-30 16:00:00,-0.0614910446007,0.0,0.00279751442472,0.0,99018.67,-330.77,both_gainAhead_GNBayes DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,99124.81,-331.13,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f18_is16,1.0,-191.270933333,20160630 12:48:43 EDT
2016-06-30 20:00:00,-0.0664690198667,0.0,0.0029488391231,0.0,99017.98,-196.41,both_gainAhead_GNBayes DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,99023.72,-196.42,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f18_is17,1.0,-191.865666667,20160630 16:48:08 EDT
2016-07-01 00:00:00,-0.0482541516034,0.0,0.00309276856414,0.0,99297.59,-185.41,both_zigZag_GNBayes DPS wl11.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,99295.6,-185.41,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f18_is18,1.0,-191.028466667,20160630 20:48:58 EDT
2016-07-01 04:00:00,-0.00716713591391,0.0,0.00114208048144,0.0,99171.48,-36.71,both_zigZag_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,99169.5,-36.71,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f18_is19,1.0,-191.743983333,20160701 00:48:15 EDT
2016-07-01 08:00:00,-0.0752576283614,0.0,0.00131876094679,0.0,98746.98,-288.61,both_zigZag_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,98745.02,-288.6,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f18_is20,1.0,-192.892916667,20160701 04:47:06 EDT
