Date,Signal,Unnamed: 0
2016-03-21 00:06:00,-1,0.0
2016-03-21 00:11:00,-1,
2016-03-21 00:15:00,-1,
2016-03-21 00:22:00,-1,
2016-03-21 00:26:00,-1,
2016-03-21 00:29:00,1,
2016-03-21 00:32:00,-1,
2016-03-21 00:34:00,1,
2016-03-21 00:37:00,1,
2016-03-21 00:40:00,1,
2016-03-21 00:42:00,-1,
2016-03-21 00:45:00,-1,
2016-03-21 00:47:00,1,
2016-03-21 00:49:00,-1,
2016-03-21 00:53:00,1,
2016-03-21 00:56:00,-1,
2016-03-21 00:59:00,1,
2016-03-21 01:05:00,-1,
2016-03-21 01:08:00,-1,
2016-03-21 01:12:00,-1,
2016-03-21 01:20:00,-1,
2016-03-21 01:24:00,1,
2016-03-21 01:29:00,1,
2016-03-21 01:32:00,1,
2016-03-21 01:34:00,1,
2016-03-21 01:39:00,1,
2016-03-21 01:41:00,1,
2016-03-21 01:45:00,1,
2016-03-21 01:48:00,1,
2016-03-21 01:51:00,1,
2016-03-21 01:56:00,-1,
2016-03-21 02:01:00,1,
2016-03-21 02:04:00,1,
2016-03-21 02:13:00,-1,
2016-03-21 02:20:00,1,
2016-03-21 02:24:00,-1,
