dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-06-29,-0.00492696056192,0.0,0.00114208048144,2.0,88681.85,-3523.51,both_zigZag_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,1.0,0.0101426852329,wf_is_short,91892.52,-1788.94,0.0,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f86_is4,1.0,,
2016-06-30,-0.00584678798748,0.0,0.00131876094679,3.51129511638,87778.87,-902.98,both_zigZag_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,90956.84,-935.68,3.63841932378,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is3,1.0,0.5,20160701 00:21:56 EDT
2016-07-01 00:00:00,-0.00585549119032,0.0,0.00161514570617,0.0,94137.73,-564.09,both_sellHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,94135.84,-564.07,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160701 20:49:25 EDT
2016-07-01 00:00:00,-0.00589827881166,0.0,0.00161514570617,0.0,94137.73,-564.09,both_sellHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,94135.84,-564.07,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160704 20:24:11 EDT
2016-07-05 00:00:00,-0.00180656140485,0.0,0.00186500961648,3.78534253074,94629.78,-632.31,both_gainAhead_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,94627.87,-632.3,3.78526623746,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is37,1.0,0.5,20160705 20:29:24 EDT
2016-07-05 00:00:00,-0.00141368951668,0.0,0.00186500961648,3.78534253074,94629.78,-632.31,both_gainAhead_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,94627.87,-632.3,3.78526623746,1.0,gainAhead_PCA10_VotingSoft,-1.0,gainAhead_PCA10_f10_is37,1.0,0.5,20160705 23:06:09 EDT
2016-07-06 00:00:00,-0.00810121878617,0.0,0.00208514414057,3.75467932725,93863.23,-766.55,both_gainAhead_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,93861.33,-766.54,3.7546035431,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is37,1.0,0.5,20160706 21:03:36 EDT
2016-07-07 00:00:00,-0.00608581524121,0.0,0.00228416096288,0.0,93725.05,-269.95,both_sellHold DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,93723.18,-269.94,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160707 21:42:54 EDT
2016-07-08 00:00:00,-0.00733414158987,0.0,0.00246717581898,0.0,92356.72,-1368.33,both_sellHold DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,92354.88,-1368.3,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160708 21:05:47 EDT
2016-07-11 00:00:00,-0.00297769581369,0.0,0.00263752189358,0.0,91697.36,-659.36,both_sellHold DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,91695.53,-659.35,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160711 21:07:01 EDT
2016-07-12 00:00:00,-0.00671140685748,0.0,0.00186500961648,0.0,91289.21,-408.15,both_sellHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,91287.39,-408.14,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160712 21:03:28 EDT
2016-07-13 00:00:00,-0.00840082398366,0.0,0.00208514414057,0.0,91459.01,169.8,both_sellHold DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,91457.19,169.8,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160713 21:36:06 EDT
2016-07-14 00:00:00,-0.00880920793316,0.0,0.00228416096288,0.0,90882.54,-576.47,both_sellHold DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,90880.73,-576.46,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160714 20:46:10 EDT
2016-07-15 00:00:00,-0.00762980893616,0.0,0.00246717581898,0.0,91095.39,212.85,both_sellHold DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,91093.58,212.85,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160715 21:11:53 EDT
2016-07-18 00:00:00,-0.00296592424983,0.0,0.00263752189358,0.0,90518.49,-576.9,both_sellHold DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,90516.69,-576.89,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160718 21:13:18 EDT
2016-07-19 00:00:00,-0.0109439655325,0.0,0.00279751442472,0.0,90552.86,34.37,both_sellHold DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,90551.06,34.37,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160719 20:50:21 EDT
2016-07-20 00:00:00,-0.010559724687,0.0,0.0029488391231,0.0,89687.92,-864.94,both_sellHold DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,89686.14,-864.92,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160720 20:46:17 EDT
2016-07-21 00:00:00,-0.00974518297194,0.0,0.00309276856414,0.0,89924.17,236.25,both_sellHold DPS wl11.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,89922.38,236.24,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160721 21:35:21 EDT
2016-07-22 00:00:00,-0.0087392604362,0.0,0.00323029141235,0.0,89555.81,-368.36,both_sellHold DPS wl12.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,89554.02,-368.36,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.5,20160722 22:00:57 EDT
2016-07-25 00:00:00,-0.00325617010797,0.0,0.00336219390073,3.93174180911,98289.61,-77.86,both_gainAhead_VotingSoft DPS wl13.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,98287.66,-77.85,3.93166346803,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f87_is7,1.0,0.5,20160725 21:09:41 EDT
2016-07-26 00:00:00,-0.0110879105003,0.0,0.00348911350395,0.0,98078.4,-211.21,both_gainAhead_VotingSoft DPS wl14.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,98076.46,-211.2,0.0,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f87_is7,1.0,0.5,20160726 21:07:47 EDT
2016-07-27 00:00:00,-0.0142646318821,0.0,0.00361157559257,3.88612329906,97149.2,-929.2,both_gainAhead_PCA10_VotingSoft DPS wl15.0 maxL2 dd95_0.004 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,97147.27,-929.19,3.88604643118,1.0,gainAhead_PCA10_VotingSoft,1.0,gainAhead_PCA10_f10_is7,1.0,0.5,20160727 22:17:04 EDT
