dates,signals,safef,comment
2016-05-11 05:36:04.213000-04:00,-1,1,
2016-05-11 06:39:18.340000-04:00,-1,1,
2016-05-11 06:56:16.282000-04:00,-1,1,
2016-05-11 07:11:04.383000-04:00,-1,1,
2016-05-11 08:08:14.659000-04:00,-1,1,
2016-05-11 10:57:07.005000-04:00,-1,1,
2016-05-11 11:16:57.512000-04:00,-1,1,
2016-05-11 11:45:04.983000-04:00,-1,1,
2016-05-11 14:51:21.184000-04:00,-1,1,
2016-05-11 16:09:36.168000-04:00,1,1,
2016-05-11 16:31:54.398000-04:00,1,1,
2016-05-11 16:45:15.201000-04:00,1,1,
2016-05-11 17:54:05.557000-04:00,1,1,
2016-05-11 18:24:16.347000-04:00,1,1,
2016-05-11 19:36:55.010000-04:00,1,1,
2016-05-11 19:59:42.338000-04:00,1,1,
2016-05-11 22:10:59.488000-04:00,1,1,
2016-05-11 22:38:45.298000-04:00,1,1,
2016-05-12 00:13:50.889000-04:00,1,1,
2016-05-12 00:28:58.015000-04:00,1,1,
2016-05-12 00:36:23.238000-04:00,1,1,
2016-05-12 02:03:37.247000-04:00,1,1,
2016-05-12 02:11:04.863000-04:00,1,1,
2016-05-12 03:08:00.984000-04:00,1,1,
2016-05-12 03:32:15.625000-04:00,-1,1,
2016-05-12 03:57:16.934000-04:00,1,1,
2016-05-12 04:29:58.045000-04:00,1,1,
2016-05-12 05:19:57.088000-04:00,-1,1,
2016-05-12 05:25:25.432000-04:00,-1,1,
2016-05-12 05:40:08.787000-04:00,1,1,
2016-05-12 06:52:36.633000-04:00,-1,1,
2016-05-12 06:56:44.020000-04:00,1,1,
2016-05-12 07:06:42.066000-04:00,1,1,
2016-05-12 07:19:42.190000-04:00,1,1,
2016-05-12 08:13:01.202000-04:00,-1,1,
2016-05-12 08:23:54.054000-04:00,1,1,
2016-05-12 08:55:45.797000-04:00,1,1,
2016-05-12 10:35:10.017000-04:00,-1,1,
2016-05-12 11:46:04.518000-04:00,-1,1,
2016-05-12 11:47:07.609000-04:00,1,1,
2016-05-12 12:37:04.881000-04:00,-1,1,
2016-05-12 12:57:27.743000-04:00,-1,1,
2016-05-12 15:39:23.900000-04:00,-1,1,
2016-05-12 15:48:45.446000-04:00,-1,1,
2016-05-12 16:43:33.611000-04:00,-1,1,
2016-05-12 17:01:33.827000-04:00,-1,1,
2016-05-12 17:31:45.532000-04:00,-1,1,
2016-05-12 19:59:41.354000-04:00,-1,1,
2016-05-12 20:21:43.688000-04:00,-1,1,
2016-05-12 21:16:32.491000-04:00,-1,1,
2016-05-12 21:44:15.219000-04:00,-1,1,
2016-05-12 22:03:17.204000-04:00,-1,1,
2016-05-12 23:40:57.542000-04:00,-1,1,
2016-05-12 23:47:02.574000-04:00,-1,1,
2016-05-13 00:40:36.101000-04:00,-1,1,
2016-05-13 00:48:44.601000-04:00,-1,1,
2016-05-13 01:17:06.213000-04:00,-1,1,
2016-05-13 01:17:10.154000-04:00,-1,1,
2016-05-13 03:21:48.526000-04:00,-1,1,
2016-05-13 03:39:24.487000-04:00,-1,1,
2016-05-13 03:47:17.496000-04:00,-1,1,
2016-05-13 04:21:17.530000-04:00,-1,1,
2016-05-13 04:43:13.310000-04:00,-1,1,
2016-05-13 05:14:54.134000-04:00,-1,1,
2016-05-13 05:29:51.187000-04:00,-1,1,
2016-05-13 06:03:15.881000-04:00,-1,1,
2016-05-13 06:17:19.612000-04:00,-1,1,
2016-05-13 07:23:02.823000-04:00,-1,1,
2016-05-13 08:10:38.745000-04:00,-1,1,
2016-05-13 08:20:53.107000-04:00,-1,1,
2016-05-13 08:56:41.957000-04:00,-1,1,
2016-05-13 09:21:40.594000-04:00,-1,1,
2016-05-13 09:43:44.450000-04:00,-1,1,
2016-05-13 10:17:56.373000-04:00,-1,1,
2016-05-13 11:03:07.412000-04:00,-1,1,
2016-05-13 11:22:20.540000-04:00,-1,1,
2016-05-13 11:48:21.953000-04:00,-1,1,
2016-05-13 13:27:07.771000-04:00,-1,1,
2016-05-13 13:42:58.765000-04:00,-1,1,
2016-05-13 14:21:56.105000-04:00,-1,1,
2016-05-13 15:07:09.429000-04:00,-1,1,
2016-05-13 15:20:56.810000-04:00,-1,1,
2016-05-13 15:39:55.428000-04:00,-1,1,
2016-05-13 15:42:54.203000-04:00,-1,1,
2016-05-13 16:40:56.906000-04:00,-1,1,
2016-05-13 16:41:38.975000-04:00,-1,1,
2016-05-13 17:30:03.368000-04:00,-1,1,
2016-05-13 17:39:15.577000-04:00,1,1,
2016-05-13 18:48:07.758000-04:00,-1,1,
2016-05-13 19:02:19.407000-04:00,-1,1,
2016-05-13 19:10:03.082000-04:00,-1,1,
2016-05-13 20:14:26.865000-04:00,-1,1,
2016-05-13 20:22:38.909000-04:00,-1,1,
2016-05-13 22:16:51.548000-04:00,-1,1,
2016-05-13 22:28:02.583000-04:00,1,1,
2016-05-13 22:38:47.852000-04:00,-1,1,
2016-05-13 23:31:54.372000-04:00,-1,1,
2016-05-13 23:48:05.738000-04:00,-1,1,
2016-05-14 00:38:58.603000-04:00,-1,1,
2016-05-14 00:47:45.692000-04:00,-1,1,
2016-05-14 01:42:21.488000-04:00,-1,1,
2016-05-14 01:50:30.261000-04:00,-1,1,
2016-05-14 02:56:22.731000-04:00,-1,1,
2016-05-14 03:04:45.507000-04:00,-1,1,
2016-05-14 03:46:30.922000-04:00,-1,1,
2016-05-14 06:40:32.549000-04:00,-1,1,
2016-05-14 06:46:40.121000-04:00,-1,1,
2016-05-14 07:09:45.155000-04:00,-1,1,
2016-05-14 07:58:57.394000-04:00,-1,1,
2016-05-14 08:57:57.027000-04:00,-1,1,
2016-05-14 09:46:08.343000-04:00,-1,1,
2016-05-14 11:33:13.821000-04:00,-1,1,
2016-05-14 11:35:59.861000-04:00,-1,1,
2016-05-14 11:36:16.860000-04:00,-1,1,
2016-05-14 11:58:39.239000-04:00,-1,1,
2016-05-14 13:41:57.748000-04:00,-1,1,
2016-05-14 13:54:17.755000-04:00,-1,1,
2016-05-14 14:30:53.241000-04:00,-1,1,
2016-05-14 14:44:27.673000-04:00,-1,1,
2016-05-14 15:40:52.009000-04:00,-1,1,
2016-05-14 16:37:36.799000-04:00,-1,1,
2016-05-14 16:49:53.018000-04:00,-1,1,
2016-05-14 17:37:23.855000-04:00,-1,1,
2016-05-14 18:29:09.329000-04:00,-1,1,
2016-05-14 19:46:39.651000-04:00,-1,1,
2016-05-14 20:02:29.769000-04:00,-1,1,
2016-05-14 20:39:45.989000-04:00,-1,1,
2016-05-14 22:50:41.205000-04:00,-1,1,
2016-05-15 00:27:12.508000-04:00,-1,1,
2016-05-15 05:03:13.629000-04:00,-1,1,
2016-05-15 06:10:53.814000-04:00,-1,1,
2016-05-15 06:26:17.164000-04:00,1,1,
2016-05-15 08:00:01.445000-04:00,-1,1,
2016-05-15 08:08:36.787000-04:00,-1,1,
2016-05-15 08:17:13.432000-04:00,-1,1,
2016-05-15 08:36:02.215000-04:00,-1,1,
2016-05-15 08:50:58.058000-04:00,-1,1,
2016-05-15 09:53:47.062000-04:00,-1,1,
2016-05-15 10:53:45.171000-04:00,-1,1,
2016-05-15 11:18:43.755000-04:00,-1,1,
2016-05-15 12:31:47.590000-04:00,1,1,
2016-05-15 13:17:30.968000-04:00,-1,1,
2016-05-15 14:10:24.038000-04:00,-1,1,
2016-05-15 15:37:38.670000-04:00,-1,1,
2016-05-15 17:00:52.802000-04:00,-1,1,
2016-05-15 17:19:39.767000-04:00,-1,1,
2016-05-15 17:30:43.516000-04:00,-1,1,
2016-05-15 17:36:37.637000-04:00,1,1,
2016-05-15 19:52:42.082000-04:00,-1,1,
2016-05-15 20:13:02.279000-04:00,-1,1,
2016-05-15 20:58:30.527000-04:00,-1,1,
