PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
107,1457079584,,,113.87900,,forex,short,2016-03-04 03:19:44,1457079584,open,2016-03-04 03:04:24,113.92800,10000,,0,5,,USDJPY,,100986755,
50,1457082317,2016-03-04 03:04:13,1457078653,113.93,,forex,long,,1457079584,closed,2016-03-04 02:04:01,113.81700,10000,,5,5,,USDJPY,,100986331,
68,1457082317,,,0.99402,,forex,short,2016-03-04 04:05:17,1457082317,open,2016-03-04 04:03:38,0.99391,10000,,0,5,,USDCHF,,100987262,
-12,1457082317,2016-03-04 03:03:49,1457078629,1.41609,,forex,long,,1457079584,closed,2016-03-04 02:03:36,1.41633,10000,,5,5,,GBPUSD,,100986325,
125,1457082317,2016-03-04 04:03:28,1457082208,0.99392,,forex,long,,1457079584,closed,2016-03-04 02:03:48,0.99144,10000,,5,5,,USDCHF,,100986328,
-4,1457082317,2016-03-04 02:03:50,1457075030,113.851,,forex,short,,1457079584,closed,2016-03-04 01:07:25,113.84300,100,,5,5,0,USDJPY,,100985326,
77,1457082317,2016-03-04 01:01:08,1457071268,113.875,,forex,long,,1457079585,closed,2016-03-04 00:16:32,113.69900,10000,,5,5,,USDJPY,,100984455,
66,1457079585,,,1.41475,,forex,short,2016-03-04 03:19:45,1457079585,open,2016-03-04 03:04:01,1.41608,10000,,0,5,,GBPUSD,,100986752,
41,1457082317,2016-03-04 02:03:37,1457075017,0.99151,,forex,short,,1457079585,closed,2016-03-04 00:16:31,0.99232,10000,,5,5,,USDCHF,,100984453,
0,1457082317,2016-03-04 03:04:35,1457078675,1.34182,,forex,long,,1457079584,closed,2016-03-04 02:04:23,1.34181,10000,,5,5,,USDCAD,,100986334,
-107,1457079584,,,1.09405,,forex,short,2016-03-04 03:19:44,1457079584,open,2016-03-04 00:16:28,1.09450,10000,,0,5,,EURUSD,,100984449,
93,1457079584,,,0.73697,,forex,long,2016-03-04 03:19:44,1457079584,open,2016-03-04 00:16:33,0.73596,10000,,0,5,,AUDUSD,,100984457,
53,1457082317,,,1.34276,,forex,long,2016-03-04 04:05:17,1457082317,open,2016-03-04 04:04:13,1.34241,10000,,0,5,,USDCAD,,100987265,
3,1457082317,2016-03-04 01:01:10,1457071270,1.34171,,forex,long,,1457079585,closed,2016-03-04 00:16:34,1.34162,10000,,5,5,,USDCAD,,100984459,
-23,1457082317,2016-03-04 04:03:59,1457082239,1.34244,,forex,short,,1457079585,closed,2016-03-04 03:04:47,1.34183,10000,,5,5,,USDCAD,,100986760,
-9,1457082317,2016-03-04 02:04:12,1457075052,1.34189,,forex,short,,1457079585,closed,2016-03-04 01:07:31,1.34165,10000,,5,5,0,USDCAD,,100985339,
-45,1457082317,2016-03-04 02:03:25,1457075005,1.41642,,forex,short,,1457079585,closed,2016-03-04 00:16:30,1.41553,10000,,5,5,,GBPUSD,,100984451,
