,gainAhead,safef,signals,trade,commission,numBars,equity,maxEquity,drawdown,maxDD
2016-04-17 19:30:00,0.0,1,1,0.0,2.0,0.0,99998.0,100000.0,0.0,0.0
2016-04-17 21:30:00,0.00118682725229,1,1,0.0,0.0,1.0,99998.0,100000.0,2e-05,2e-05
2016-04-17 22:00:00,-0.000271182333153,1,1,118.680351575,0.0,2.0,100116.680352,100116.680352,0.0,2e-05
2016-04-17 22:30:00,0.00073562735446,1,1,-27.1498749653,0.0,3.0,100089.530477,100116.680352,0.000271182333153,0.000271182333153
2016-04-17 23:00:00,-8.71177286379e-05,1,1,73.6285965137,0.0,4.0,100163.159073,100163.159073,0.0,0.000271182333153
2016-04-17 23:30:00,-0.000498032439509,1,1,-8.72598691164,0.0,5.0,100154.433086,100163.159073,8.71177286378e-05,0.000271182333153
2016-04-18 00:00:00,-3.03893902163e-05,1,1,-49.8801566376,0.0,6.0,100104.55293,100163.159073,0.000585106780692,0.000585106780692
2016-04-18 00:30:00,-0.000444910609224,1,1,-3.0421163214,0.0,7.0,100101.510813,100163.159073,0.00061547838987,0.00061547838987
2016-04-18 01:00:00,0.000258163003286,1,1,-44.5362241602,0.0,8.0,100056.974589,100163.159073,0.00106011516623,0.00106011516623
2016-04-18 01:30:00,-0.000261931444586,1,1,25.8310090596,0.0,9.0,100082.805598,100163.159073,0.000802225845458,0.00106011516623
2016-04-18 02:00:00,0.000831257831343,1,1,-26.2148338486,0.0,10.0,100056.590764,100163.159073,0.00106394716187,0.00106394716187
2016-04-18 02:30:00,-0.00018700672524,1,1,83.1728246503,0.0,11.0,100139.763589,100163.159073,0.000233573744937,0.00106394716187
2016-04-18 03:00:00,0.000233399099777,1,1,-18.7268092551,0.0,12.0,100121.03678,100163.159073,0.000420536790317,0.00106394716187
2016-04-18 03:30:00,0.00136034992406,1,1,23.3681598531,0.0,13.0,100144.40494,100163.159073,0.000187235843448,0.00106394716187
2016-04-18 04:00:00,-0.00124502115173,1,1,136.231433655,0.0,14.0,100280.636373,100280.636373,0.0,0.00106394716187
2016-04-18 04:30:00,-0.00194051030836,1,1,-124.851513393,0.0,15.0,100155.78486,100280.636373,0.00124502115173,0.00124502115173
2016-04-18 05:00:00,-6.99548149187e-05,1,1,-194.353332963,0.0,16.0,99961.4315269,100280.636373,0.00318311548371,0.00318311548371
2016-04-18 05:30:00,-0.00142222846165,1,1,-6.99278344147,0.0,17.0,99954.4387434,100280.636373,0.00325284762438,0.00325284762438
2016-04-18 06:00:00,0.000160588612437,1,1,-142.158047649,0.0,18.0,99812.2806958,100280.636373,0.00467044979356,0.00467044979356
2016-04-18 06:30:00,-0.00057880754343,1,1,16.0287156611,0.0,19.0,99828.3094114,100280.636373,0.00451061120217,0.00467044979356
2016-04-18 07:00:00,-0.000591342730776,1,1,-57.7813785352,0.0,20.0,99770.5280329,100280.636373,0.00508680796981,0.00508680796981
2016-04-18 07:30:00,0.000859642270857,1,1,-58.9985764979,0.0,21.0,99711.5294564,100280.636373,0.00567514265367,0.00567514265367
2016-04-18 08:00:00,-0.000268874752742,1,1,85.7162456125,0.0,22.0,99797.245702,100280.636373,0.00482037897533,0.00567514265367
2016-04-18 08:30:00,-0.000322863718742,1,1,-26.8329597625,0.0,23.0,99770.4127422,100280.636373,0.00508795764987,0.00567514265367
2016-04-18 09:00:00,0.000830843838877,1,1,-32.2122464784,0.0,24.0,99738.2004958,100280.636373,0.00540917865168,0.00567514265367
2016-04-18 09:30:00,0.00130927607184,1,1,82.8668693826,0.0,25.0,99821.0673651,100280.636373,0.00458282899556,0.00567514265367
2016-04-18 10:00:00,-0.000582122284149,1,1,130.693334967,0.0,26.0,99951.7607001,100280.636373,0.00327955311207,0.00567514265367
2016-04-18 10:30:00,0.00100473586397,1,1,-58.1841472435,0.0,27.0,99893.5765529,100280.636373,0.00385976629527,0.00567514265367
2016-04-18 11:00:00,0.000562203196071,1,1,100.366658943,0.0,28.0,99993.9432118,100280.636373,0.00285890847693,0.00567514265367
2016-04-18 11:30:00,0.000399602280249,1,1,56.2169144614,0.0,29.0,100050.160126,100280.636373,0.00229831256834,0.00567514265367
2016-04-18 12:00:00,0.000800864959258,1,1,39.9802721258,0.0,30.0,100090.140398,100280.636373,0.00189962869903,0.00567514265367
2016-04-18 12:30:00,-2.1129149948e-05,1,1,80.1586862122,0.0,31.0,100170.299085,100280.636373,0.00110028508583,0.00567514265367
2016-04-18 13:00:00,0.000695215102706,1,1,-2.11651326969,0.0,32.0,100168.182571,100280.636373,0.00112139098769,0.00567514265367
2016-04-18 13:30:00,-0.000117516602841,1,1,69.6384333342,0.0,33.0,100237.821005,100280.636373,0.000426955492939,0.00567514265367
2016-04-18 14:00:00,-0.000473751883791,1,1,-11.7796082007,0.0,34.0,100226.041396,100280.636373,0.000544421921421,0.00567514265367
2016-04-18 14:30:00,-5.43597161286e-05,1,1,-47.4822759165,0.0,35.0,100178.559121,100280.636373,0.0010179158843,0.00567514265367
2016-04-18 15:00:00,4.46115611619e-05,1,1,-5.44567803596,0.0,36.0,100173.113443,100280.636373,0.00107222026681,0.00567514265367
2016-04-18 15:30:00,-0.000157800597818,1,1,4.46887897712,0.0,37.0,100177.582321,100280.636373,0.00102765653907,0.00567514265367
2016-04-18 16:00:00,-0.000113555211189,1,1,-15.8080823783,0.0,38.0,100161.774239,100280.636373,0.00118529497207,0.00567514265367
2016-04-18 16:30:00,0.00038012693369,1,1,-11.3738914268,0.0,39.0,100150.400348,100280.636373,0.00129871558684,0.00567514265367
2016-04-18 17:00:00,-8.59439045482e-05,1,1,38.069864592,0.0,40.0,100188.470212,100280.636373,0.000919082329923,0.00567514265367
2016-04-18 17:30:00,0.000387773423347,1,1,-8.61058832075,0.0,41.0,100179.859624,100280.636373,0.00100494724495,0.00567514265367
2016-04-18 18:00:00,-9.01673107438e-05,1,1,38.8470871168,0.0,42.0,100218.706711,100280.636373,0.000617563513433,0.00567514265367
2016-04-18 18:30:00,0.000401685243552,1,1,-9.03645127036,0.0,43.0,100209.67026,100280.636373,0.000707675140136,0.00567514265367
2016-04-18 19:00:00,-8.31123111538e-05,1,1,40.2527458046,0.0,44.0,100249.923006,100280.636373,0.000306274159245,0.00567514265367
2016-04-18 19:30:00,-1.99817765285e-06,1,1,-8.33200279398,0.0,45.0,100241.591003,100280.636373,0.000389361015245,0.00567514265367
2016-04-18 20:00:00,0.000627725458022,1,1,-0.200300507028,0.0,46.0,100241.390702,100280.636373,0.000391358414886,0.00567514265367
2016-04-18 20:30:00,0.0015351274385,1,1,62.9240728913,0.0,47.0,100304.314775,100304.314775,0.0,0.00567514265367
2016-04-18 21:00:00,-0.000387130604251,1,1,153.979905811,0.0,48.0,100458.294681,100458.294681,0.0,0.00567514265367
2016-04-18 21:30:00,0.000474500188391,1,1,-38.8904803219,0.0,49.0,100419.404201,100458.294681,0.000387130604251,0.00567514265367
2016-04-18 22:00:00,0.000432760291416,1,1,47.6490262114,0.0,50.0,100467.053227,100467.053227,0.0,0.00567514265367
2016-04-18 22:30:00,-0.000416639893054,1,1,43.4781512322,0.0,51.0,100510.531378,100510.531378,0.0,0.00567514265367
2016-04-18 23:00:00,-0.000172082112819,1,1,-41.8766970442,0.0,52.0,100468.654681,100510.531378,0.000416639893054,0.00567514265367
2016-04-18 23:30:00,0.000209311627995,1,1,-17.2888583697,0.0,53.0,100451.365823,100510.531378,0.000588650309601,0.00567514265367
2016-04-19 00:00:00,0.000188503549565,1,1,21.0256389147,0.0,54.0,100472.391462,100510.531378,0.00037946189296,0.00567514265367
2016-04-19 00:30:00,0.000617271053083,1,1,18.9394024238,0.0,55.0,100491.330864,100510.531378,0.000191029873309,0.00567514265367
2016-04-19 01:00:00,-0.000477783944258,1,1,62.0303896282,0.0,56.0,100553.361254,100553.361254,0.0,0.00567514265367
2016-04-19 01:30:00,0.000245669500022,1,1,-48.0427815482,0.0,57.0,100505.318472,100553.361254,0.000477783944258,0.00567514265367
2016-04-19 02:00:00,-0.000138830247545,1,1,24.6910913386,0.0,58.0,100530.009563,100553.361254,0.000232231821179,0.00567514265367
2016-04-19 02:30:00,0.000495469779505,1,1,-13.9566061134,0.0,59.0,100516.052957,100553.361254,0.000371029827922,0.00567514265367
2016-04-19 03:00:00,0.000120089615247,1,1,49.8026665955,0.0,60.0,100565.855624,100565.855624,0.0,0.00567514265367
2016-04-19 03:30:00,0.00050927085863,1,1,12.0769149089,0.0,61.0,100577.932539,100577.932539,0.0,0.00567514265367
2016-04-19 04:00:00,-0.000782856066365,1,1,51.2214100633,0.0,62.0,100629.153949,100629.153949,0.0,0.00567514265367
2016-04-19 04:30:00,0.000770337814944,1,1,-78.7781436221,0.0,63.0,100550.375805,100629.153949,0.000782856066365,0.00567514265367
2016-04-19 05:00:00,-0.000710460449068,1,1,77.4577567897,0.0,64.0,100627.833562,100629.153949,1.31213150521e-05,0.00567514265367
2016-04-19 05:30:00,0.000672615969407,1,1,-71.4920958213,0.0,65.0,100556.341466,100629.153949,0.000723572441945,0.00567514265367
2016-04-19 06:00:00,-0.000373930495426,1,1,67.6358010953,0.0,66.0,100623.977267,100629.153949,5.14431589176e-05,0.00567514265367
2016-04-19 06:30:00,0.0018233195728,1,1,-37.6263736714,0.0,67.0,100586.350894,100629.153949,0.000425354418178,0.00567514265367
2016-04-19 07:00:00,0.000935197570729,1,1,183.401062341,0.0,68.0,100769.751956,100769.751956,0.0,0.00567514265367
2016-04-19 07:30:00,3.39264406827e-05,1,1,94.2396272323,0.0,69.0,100863.991583,100863.991583,0.0,0.00567514265367
2016-04-19 08:00:00,-3.6666460668e-05,1,1,3.42195622747,0.0,70.0,100867.41354,100867.41354,0.0,0.00567514265367
2016-04-19 08:30:00,0.000550121856614,1,1,-3.69845105123,0.0,71.0,100863.715088,100867.41354,3.6666460668e-05,0.00567514265367
2016-04-19 09:00:00,-5.66648249534e-05,1,1,55.4873342095,0.0,72.0,100919.202423,100919.202423,0.0,0.00567514265367
