model,params,sample,FS,cols,featureRank,input_signal,test_split,longMemory,v_start,statsLookback,rfe_model,RSILookback,data_type,wf_step,iters,t_start,ticker,rows,ACLookback,ROCLookback,ATRLookback,zScoreLookback,t_end,DPOLookback,v_end,signal,CCLookback,filter,rStochLookback,beLongThreshold,n_features,tox_adj,YIF,CAR75,safef,DD95,DD100,SOR25,C25sig,TPY,CAR25,CAR50,SHA25,f1,acc,prec,rec,fn_mag,fp_mag,avg_prec,logloss,ham,tp,fn,fp,tn,f1mm,accmm,precmm,recmm,fn_magmm,fp_magmm,CAR25mm,CAR50mm,CAR75mm,TPYmm,scoremm,timestamp
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,76,"['ROC_USDCHF', 'Pri_rStochGBPJPY', 'Pri_rStochEURUSD', 'Pri_rStochAUDJPY', 'priceChangeNZDUSD', 'Pri_rStoch', 'Pri_rStoch_Y1', 'autoCor', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-18 16:08:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,50,12,600,5,10,2016-03-18 16:07:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,0.198412698413,107.063625176,90.0372582147,0.0486651221156,0.0543291093061,0.0,gainAhead,252.0,45.876816936,65.2348323586,0.0,0.583333333333,0.6,0.583333333333,0.583333333333,5.78102400468e-05,3.49560790345e-05,0.683333333333,13.8156704775,0.4,14,10,10,16,0.899305555556,0.777777777778,0.916666666667,0.583333333333,-0.767808522234,-0.510899744631,1.0,1.0,1.0,-0.0,1.72129173313,2016-03-19 19:54:09
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,76,"['ROC_USDCHF', 'Pri_rStochGBPJPY', 'Pri_rStochEURUSD', 'Pri_rStochAUDJPY', 'priceChangeNZDUSD', 'Pri_rStoch', 'Pri_rStoch_Y1', 'autoCor', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-18 16:08:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,50,12,600,5,10,2016-03-18 16:07:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,0.198412698413,107.063625176,90.0372582147,0.0486651221156,0.0543291093061,0.0,gainAhead,252.0,45.876816936,65.2348323586,0.0,0.583333333333,0.6,0.583333333333,0.583333333333,5.78102400468e-05,3.49560790345e-05,0.683333333333,13.8156704775,0.4,14,10,10,16,0.899305555556,0.777777777778,0.916666666667,0.583333333333,-0.767808522234,-0.510899744631,1.0,1.0,1.0,-0.0,1.72129173313,2016-03-19 19:54:09
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,76,"['ROC_USDCHF', 'Pri_rStochGBPJPY', 'Pri_rStochEURUSD', 'Pri_rStochAUDJPY', 'priceChangeNZDUSD', 'Pri_rStoch', 'Pri_rStoch_Y1', 'autoCor', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-18 16:08:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,50,12,600,5,10,2016-03-18 16:07:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,0.198412698413,142.323538533,90.5395148567,0.0471248359102,0.0568110425604,0.0,gainAhead,252.0,47.3292741009,78.846524871,0.0,0.583333333333,0.6,0.583333333333,0.583333333333,5.78102400468e-05,3.49560790345e-05,0.683333333333,13.8156704775,0.4,14,10,10,16,0.899305555556,0.777777777778,0.916666666667,0.583333333333,-0.767808522234,-0.510899744631,1.0,1.0,1.0,-0.0,1.72129173313,2016-03-19 20:14:50
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,76,"['Pri_rStochCHFJPY', 'corrUSDCHF', 'ROC_USDCHF', 'ROC_GBPUSD', 'corrAUDUSD', 'corrEURUSD', 'ROC_EURUSD', 'priceChangeNZDUSD', 'Pri_ATR_Y4', 'autoCor_Y2']",1,0,False,2016-03-17 17:26:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,100,12,600,5,10,2016-03-17 17:25:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,1.29462019065,5.6504196605,0.0525749589889,0.0643203028399,0.0,gainAhead,252.0,0.15369500477,0.788784902343,0.0,0.500723589001,0.507142857143,0.507331378299,0.494285714286,0.000126237915069,0.000110274723114,0.627237117721,17.0228745552,0.492857142857,346,354,336,364,0.716962425539,0.861111111111,0.875460695027,0.55,-0.150055856854,-0.170415702716,0.987446295762,1.0,1.0,-0.0,2.66697473619,2016-03-20 00:54:02
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,76,"['Pri_rStochCHFJPY', 'corrUSDCHF', 'ROC_USDCHF', 'ROC_GBPUSD', 'corrAUDUSD', 'corrEURUSD', 'ROC_EURUSD', 'priceChangeNZDUSD', 'Pri_ATR_Y4', 'autoCor_Y2']",1,0,False,2016-03-17 17:26:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,100,12,600,5,10,2016-03-17 17:25:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,1.07292594164,5.27817308468,0.0521946303522,0.0589313993859,0.0,gainAhead,252.0,0.122329392504,0.640224687771,0.0,0.500723589001,0.507142857143,0.507331378299,0.494285714286,0.000126237915069,0.000110274723114,0.627237117721,17.0228745552,0.492857142857,346,354,336,364,0.716962425539,0.861111111111,0.875460695027,0.55,-0.150055856854,-0.170415702716,1.0,1.0,1.0,-0.0,2.67952844043,2016-03-20 06:39:00
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,76,"['Pri_rStochCHFJPY', 'corrUSDCHF', 'ROC_USDCHF', 'ROC_GBPUSD', 'corrAUDUSD', 'corrEURUSD', 'ROC_EURUSD', 'priceChangeNZDUSD', 'Pri_ATR_Y4', 'autoCor_Y2']",1,0,False,2016-03-17 17:26:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,100,12,600,5,10,2016-03-17 17:25:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,1.54024242772,5.96374073807,0.0504200974433,0.0866013492824,0.0,gainAhead,252.0,0.632723263004,1.04662371956,0.0,0.500723589001,0.507142857143,0.507331378299,0.494285714286,0.000126237915069,0.000110274723114,0.627237117721,17.0228745552,0.492857142857,346,354,336,364,0.716962425539,0.861111111111,0.875460695027,0.55,-0.150055856854,-0.0549963206251,1.0,1.0,1.0,-0.0,2.79494782252,2016-03-20 07:45:07
GNBayes,GaussianNB(),DF1,None,76,"['Pri_rStochNZDJPY', 'Pri_rStochGBPJPY', 'corrAUDUSD', 'Pri_rStochEURUSD', 'ROC_EURUSD', 'Pri_rStochAUDJPY', 'priceChangeNZDUSD', 'Pri_rStoch', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-17 17:26:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,25,12,600,5,10,2016-03-17 17:25:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,0.870645259923,4.31778319874,0.0483374629252,0.0625508913687,0.0,gainAhead,252.0,0.0525379925655,0.467448501861,0.0,0.514446793517,0.507857142857,0.507649513213,0.521428571429,0.000128575324428,0.000113444247664,0.634181899464,16.9982142811,0.492142857143,365,335,354,346,0.753148510211,0.888888888889,0.887776056061,0.593181818182,-0.190909005239,-0.134611687374,1.0,1.0,1.0,-0.0,2.67447930739,2016-03-20 18:29:56
GNBayes,GaussianNB(),DF1,None,76,"['Pri_rStochNZDJPY', 'Pri_rStochGBPJPY', 'corrAUDUSD', 'Pri_rStochEURUSD', 'ROC_EURUSD', 'Pri_rStochAUDJPY', 'priceChangeNZDUSD', 'Pri_rStoch', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-17 17:26:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,25,12,600,5,10,2016-03-17 17:25:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,0.664400724313,4.08560673281,0.0496017319793,0.0823440047122,0.0,gainAhead,252.0,-0.118088324532,0.447764387656,0.0,0.514446793517,0.507857142857,0.507649513213,0.521428571429,0.000128575324428,0.000113444247664,0.634181899464,16.9982142811,0.492142857143,365,335,354,346,0.753148510211,0.888888888889,0.887776056061,0.593181818182,-0.190909005239,-0.134611687374,1.0,1.0,1.0,-0.0,2.67447930739,2016-03-20 19:20:29
GNBayes,GaussianNB(),DF1,None,76,"['Pri_rStochNZDJPY', 'Pri_rStochGBPJPY', 'corrAUDUSD', 'Pri_rStochEURUSD', 'ROC_EURUSD', 'Pri_rStochAUDJPY', 'priceChangeNZDUSD', 'Pri_rStoch', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-17 17:26:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,25,12,600,5,10,2016-03-17 17:25:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,0.815429357822,3.87362112793,0.0526588763099,0.0596614283902,0.0,gainAhead,252.0,0.0618382422648,0.426975765801,0.0,0.514446793517,0.507857142857,0.507649513213,0.521428571429,0.000128575324428,0.000113444247664,0.634181899464,16.9982142811,0.492142857143,365,335,354,346,0.753148510211,0.888888888889,0.887776056061,0.593181818182,-0.190909005239,-0.134611687374,1.0,1.0,1.0,-0.0,2.67447930739,2016-03-20 20:26:05
GNBayes,GaussianNB(),DF1,None,76,"['Pri_rStochNZDJPY', 'Pri_rStochGBPJPY', 'corrAUDUSD', 'Pri_rStochEURUSD', 'ROC_EURUSD', 'Pri_rStochAUDJPY', 'priceChangeNZDUSD', 'Pri_rStoch', 'autoCor_Y1', 'autoCor_Y2']",1,0,False,2016-03-17 17:26:00,100,None,1.5,ALL,1,1,2016-03-11 03:23:00,USDJPY,25,12,600,5,10,2016-03-17 17:25:00,10,2016-03-18 16:58:00,gainAhead,60,DF1,300,0.0,10,0,5.55555555556,0.780259706188,4.0683471502,0.0458926896622,0.0658364550698,0.0,gainAhead,252.0,0.0732505918076,0.305229392735,0.0,0.514446793517,0.507857142857,0.507649513213,0.521428571429,0.000128575324428,0.000113444247664,0.634181899464,16.9982142811,0.492142857143,365,335,354,346,0.753148510211,0.888888888889,0.887776056061,0.593181818182,-0.190909005239,-0.134611687374,1.0,1.0,1.0,-0.0,2.67447930739,2016-03-20 21:22:43
