model,params,sample,FS,cols,featureRank,input_signal,test_split,longMemory,v_start,statsLookback,rfe_model,RSILookback,data_type,wf_step,iters,t_start,ticker,rows,ACLookback,ROCLookback,ATRLookback,zScoreLookback,t_end,DPOLookback,v_end,signal,CCLookback,filter,rStochLookback,beLongThreshold,n_features,tox_adj,YIF,CAR75,safef,DD95,DD100,SOR25,C25sig,TPY,CAR25,CAR50,SHA25,f1,acc,prec,rec,fn_mag,fp_mag,avg_prec,logloss,ham,tp,fn,fp,tn,f1mm,accmm,precmm,recmm,fn_magmm,fp_magmm,CAR25mm,CAR50mm,CAR75mm,DD100mm,scoremm,timestamp
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,50,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.808895281577,3.82505516965,0.0484120600341,0.063546049359,0.0,"ZZ 0.001,-0.001",252.0,0.154726550818,0.388631337641,0.0,0.527902240326,0.493222562309,0.493526275704,0.567425569177,0.000148672730843,0.000139033725242,0.638477671457,17.5037051045,0.506777437691,648,494,665,480,0.107013683419,0.346153846154,0.355615443201,0.0744680851064,-0.0165640826243,-0.965959087945,1.0,1.0,1.0,-0.236830612111,2.12680006347,2016-03-13 08:47:18
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,50,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.808895281577,3.82505516965,0.0484120600341,0.063546049359,0.0,"ZZ 0.001,-0.001",252.0,0.154726550818,0.388631337641,0.0,0.527902240326,0.493222562309,0.493526275704,0.567425569177,0.000148672730843,0.000139033725242,0.638477671457,17.5037051045,0.506777437691,648,494,665,480,0.107013683419,0.346153846154,0.355615443201,0.0744680851064,-0.0165640826243,-0.965959087945,1.0,1.0,1.0,-0.236830612111,2.12680006347,2016-03-13 08:47:18
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,25,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.809116201611,4.09714741725,0.0527976110476,0.066905128242,0.0,"ZZ 0.001,-0.001",252.0,-0.090877865515,0.386229166659,0.0,0.52052545156,0.489287275907,0.489953632148,0.555166374781,0.000147795813645,0.000139554314883,0.633622530793,17.6396233334,0.510712724093,634,508,660,485,0.0,0.0,0.0,0.0,-0.0,-1.0,0.65393857922,1.0,1.0,-0.532660696364,1.12127788286,2016-03-13 09:15:20
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,50,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.856684629904,3.58587571728,0.0500725882328,0.0666029878753,0.0,"ZZ 0.001,-0.001",252.0,-0.0100233521017,0.398012384077,0.0,0.527902240326,0.493222562309,0.493526275704,0.567425569177,0.000148672730843,0.000139033725242,0.638477671457,17.5037051045,0.506777437691,648,494,665,480,0.107013683419,0.346153846154,0.355615443201,0.0744680851064,-0.0165640826243,-0.965959087945,0.824812285285,0.997803850846,1.0,-0.477816685505,1.70843012621,2016-03-13 15:30:14
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,50,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.76031263399,3.94288874107,0.0491893105479,0.0523434081525,0.0,"ZZ 0.001,-0.001",252.0,0.221891483357,0.468590180275,0.0,0.527902240326,0.493222562309,0.493526275704,0.567425569177,0.000148672730843,0.000139033725242,0.638477671457,17.5037051045,0.506777437691,648,494,665,480,0.107013683419,0.346153846154,0.355615443201,0.0744680851064,-0.0165640826243,-0.965959087945,1.0,0.924102832207,1.0,-0.0,2.28773350779,2016-03-13 16:16:51
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,50,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.723242877127,3.24522371577,0.0493781927489,0.0644290455825,0.0,"ZZ 0.001,-0.001",252.0,0.0501381249242,0.336171237655,0.0,0.527902240326,0.493222562309,0.493526275704,0.567425569177,0.000148672730843,0.000139033725242,0.638477671457,17.5037051045,0.506777437691,648,494,665,480,0.107013683419,0.346153846154,0.355615443201,0.0744680851064,-0.0165640826243,-0.965959087945,1.0,1.0,1.0,-0.415942687993,1.94768798759,2016-03-13 12:02:35
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,25,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.903672545131,4.32470802887,0.0480401986291,0.058324174165,0.0,"ZZ 0.001,-0.001",252.0,0.17461690393,0.586851384716,0.0,0.52052545156,0.489287275907,0.489953632148,0.555166374781,0.000147795813645,0.000139554314883,0.633622530793,17.6396233334,0.510712724093,634,508,660,485,0.0,0.0,0.0,0.0,-0.0,-1.0,1.0,1.0,1.0,-1.0,1.0,2016-03-14 02:29:44
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,50,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.754348795777,3.53891805925,0.0480312676769,0.0571126514339,0.0,"ZZ 0.001,-0.001",252.0,-0.0315174739453,0.34664298469,0.0,0.527902240326,0.493222562309,0.493526275704,0.567425569177,0.000148672730843,0.000139033725242,0.638477671457,17.5037051045,0.506777437691,648,494,665,480,0.107013683419,0.346153846154,0.355615443201,0.0744680851064,-0.0165640826243,-0.965959087945,0.870796716188,1.0,1.0,-0.165823275009,2.06860411676,2016-03-13 14:15:05
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,50,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,1.03182796708,4.24907051145,0.0490066042315,0.0599067452167,0.0,"ZZ 0.001,-0.001",252.0,-0.0670909540914,0.452990626325,0.0,0.527902240326,0.493222562309,0.493526275704,0.567425569177,0.000148672730843,0.000139033725242,0.638477671457,17.5037051045,0.506777437691,648,494,665,480,0.107013683419,0.346153846154,0.355615443201,0.0744680851064,-0.0165640826243,-0.965959087945,0.839122074983,1.0,1.0,-0.436367888273,1.76638486229,2016-03-13 15:04:45
LDA,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",DF1,None,52,"['priceChangeY2', 'priceChangeY3', 'priceChangeY4', 'mean60_ga', 'std60_ga', 'autoCor', 'autoCor_Y1', 'autoCor_Y2', 'autoCor_Y3', 'autoCor_Y4']",1,0,False,2016-03-10 02:33:00,100,None,1.5,ALL,1,1,2016-03-10 01:43:00,USDJPY,50,12,500,5,10,2016-03-10 02:32:00,10,2016-03-11 16:59:00,"ZZ 0.001,-0.001",60,DF1,300,0.0,10,0,5.71428571429,0.774626926137,3.65962004769,0.045967038797,0.050807809993,0.0,"ZZ 0.001,-0.001",252.0,0.166495402836,0.473123125076,0.0,0.527902240326,0.493222562309,0.493526275704,0.567425569177,0.000148672730843,0.000139033725242,0.638477671457,17.5037051045,0.506777437691,648,494,665,480,0.107013683419,0.346153846154,0.355615443201,0.0744680851064,-0.0165640826243,-0.965959087945,1.0,1.0,1.0,-0.0,2.36363067558,2016-03-13 16:39:15
