Date,Open,High,Low,Close,Volume
2013.09.22 00:00,74.01,76.04,73.10,75.77,9659
2013.09.29 00:00,74.68,79.81,74.16,78.37,15657
2013.10.06 00:00,77.45,77.47,68.10,73.97,19225
2013.10.13 00:00,73.10,75.36,71.50,71.78,16483
2013.10.20 00:00,72.48,77.46,69.30,76.86,20766
2013.10.27 00:00,76.09,84.51,75.87,83.35,18489
2013.11.03 00:00,84.16,89.39,80.62,84.35,17014
2013.11.10 00:00,84.09,90.28,83.54,87.64,16975
2013.11.17 00:00,87.77,89.12,86.45,87.27,12188
2013.11.24 00:00,87.90,89.36,85.17,88.32,7594
2013.12.01 00:00,85.30,89.29,84.52,85.49,14519
2013.12.08 00:00,85.82,86.77,81.18,81.31,16206
2013.12.15 00:00,82.07,83.57,78.58,83.04,16317
2013.12.22 00:00,83.54,84.02,81.37,81.55,8065
2013.12.29 00:00,81.41,82.71,79.32,80.84,8335
2014.01.05 00:00,80.02,86.70,79.24,86.70,13268
2014.01.12 00:00,86.38,86.68,82.28,83.76,13314
2014.01.19 00:00,84.57,84.59,80.27,80.30,11262
2014.01.26 00:00,80.21,80.61,75.54,77.11,16822
2014.02.02 00:00,77.25,85.30,72.55,84.29,19406
2014.02.09 00:00,84.11,92.99,82.83,91.17,19708
2014.02.16 00:00,90.50,97.85,90.50,96.82,12601
2014.02.23 00:00,96.50,102.70,96.47,100.15,15355
2014.03.02 00:00,98.77,109.28,98.19,107.96,17508
2014.03.09 00:00,106.08,109.56,102.04,102.89,17578
2014.03.16 00:00,105.56,106.74,101.37,101.43,16514
2014.03.23 00:00,101.76,101.77,88.76,89.97,23037
2014.03.30 00:00,91.31,96.16,83.69,85.59,20637
2014.04.06 00:00,84.56,88.49,77.60,78.91,25523
2014.04.13 00:00,79.50,86.53,77.97,85.59,21115
2014.04.20 00:00,84.81,87.19,77.04,77.33,18279
2014.04.27 00:00,77.77,85.40,75.05,82.51,22402
2014.05.04 00:00,81.63,85.82,80.14,84.52,22333
2014.05.11 00:00,85.56,90.60,80.18,82.06,19686
2014.05.18 00:00,82.39,94.82,82.39,94.33,18649
2014.05.25 00:00,95.26,98.50,94.09,97.08,11723
2014.06.01 00:00,98.81,104.35,95.81,103.94,15866
2014.06.08 00:00,103.84,104.37,100.71,101.85,13932
2014.06.15 00:00,101.42,106.36,101.42,103.41,14831
2014.06.22 00:00,102.72,110.28,102.07,110.15,14808
2014.06.29 00:00,111.00,111.04,107.59,109.19,9737
2014.07.06 00:00,108.74,108.99,100.55,104.69,15420
2014.07.13 00:00,103.51,104.60,100.69,104.07,15614
2014.07.20 00:00,103.87,107.47,95.17,99.77,19164
2014.07.27 00:00,99.88,100.68,92.05,93.78,16672
2014.08.03 00:00,94.65,96.53,93.11,95.16,17145
2014.08.10 00:00,94.67,98.38,93.80,97.00,13724
2014.08.17 00:00,97.39,102.98,96.04,101.89,11435
2014.08.24 00:00,102.13,104.71,98.17,99.00,13319
2014.08.31 00:00,99.51,100.07,97.69,98.14,10283
2014.09.07 00:00,98.62,99.80,95.36,99.22,17289
2014.09.14 00:00,98.32,99.40,93.79,98.30,15181
2014.09.21 00:00,97.15,97.21,90.83,92.01,19595
2014.09.28 00:00,90.88,92.17,86.54,88.56,18837
2014.10.05 00:00,89.59,90.81,82.38,82.48,24161
2014.10.12 00:00,82.98,83.25,75.27,80.96,32332
2014.10.19 00:00,80.98,88.64,80.98,88.16,19808
2014.10.26 00:00,87.67,89.57,85.21,88.54,18516
2014.11.02 00:00,88.65,88.74,70.86,73.50,18970
2014.11.09 00:00,73.68,73.78,67.05,69.78,15984
2014.11.16 00:00,69.60,72.34,68.19,71.22,13923
2014.11.23 00:00,71.61,74.18,70.57,73.50,7018
2014.11.30 00:00,73.19,77.84,70.49,77.03,16772
2014.12.07 00:00,75.62,76.36,72.00,72.32,17252
2014.12.14 00:00,72.86,75.80,71.07,75.62,21873
2014.12.21 00:00,76.00,77.08,75.52,76.84,7984
2014.12.28 00:00,75.96,76.28,73.62,74.49,9389
2015.01.04 00:00,73.83,74.72,68.75,74.42,18387
2015.01.11 00:00,73.86,73.87,66.07,68.09,20113
2015.01.18 00:00,68.38,71.31,67.40,69.65,12432
2015.01.25 00:00,69.75,70.46,66.18,66.88,16876
2015.02.01 00:00,67.05,71.66,66.10,68.46,16272
2015.02.08 00:00,68.05,84.76,66.47,84.71,19963
2015.02.15 00:00,84.54,88.99,83.79,88.67,12960
2015.02.22 00:00,88.48,90.29,87.30,89.16,13073
2015.03.01 00:00,89.56,91.28,84.90,85.59,13907
2015.03.08 00:00,85.70,86.33,81.92,82.43,11951
2015.03.15 00:00,83.04,86.43,82.30,86.27,10673
2015.03.22 00:00,86.63,87.11,82.90,83.68,11507
2015.03.29 00:00,84.44,84.47,81.48,82.41,9964
2015.04.05 00:00,81.10,83.86,80.95,82.83,12444
2015.04.12 00:00,83.30,84.35,79.81,80.63,10164
2015.04.19 00:00,80.97,83.40,80.63,81.50,10560
2015.04.26 00:00,81.82,83.67,79.74,80.65,13469
2015.05.03 00:00,80.61,82.24,75.64,81.90,30163
2015.05.10 00:00,82.00,82.66,80.60,81.82,28245
2015.05.17 00:00,81.75,82.33,78.26,80.27,24046
2015.05.24 00:00,77.28,77.32,75.63,76.28,6768
2015.05.31 00:00,76.28,77.06,74.13,76.41,28006
2015.06.07 00:00,76.05,77.08,74.79,76.11,23081
2015.06.14 00:00,75.63,91.40,74.75,90.89,54213
2015.06.21 00:00,91.57,91.92,87.96,88.85,22826
2015.06.28 00:00,87.19,88.69,85.52,86.86,16912
2015.07.05 00:00,86.53,88.54,84.88,88.41,26338
2015.07.12 00:00,89.11,92.62,89.03,92.18,18781
2015.07.19 00:00,92.52,93.85,80.38,80.85,30164
2015.07.26 00:00,80.22,82.44,77.28,79.32,26645
2015.08.02 00:00,79.47,80.17,73.85,74.30,26955
2015.08.09 00:00,75.36,75.66,71.30,72.50,25893
2015.08.16 00:00,72.34,73.56,69.06,69.49,25820
2015.08.23 00:00,63.18,70.82,62.85,70.61,55693
2015.08.30 00:00,70.17,71.12,67.10,67.20,43866
2015.09.06 00:00,67.89,68.48,65.62,66.89,26734
2015.09.13 00:00,67.33,70.70,66.22,68.63,30937
2015.09.20 00:00,68.78,69.28,64.33,64.88,34190
2015.09.27 00:00,64.77,66.35,62.22,66.34,36864
2015.10.04 00:00,67.25,69.63,66.11,67.98,29021
2015.10.11 00:00,68.42,84.46,66.42,83.19,55250
2015.10.18 00:00,83.29,85.14,81.46,82.88,34710
2015.10.25 00:00,82.64,84.64,80.72,83.78,32337
2015.11.01 00:00,83.15,84.49,73.43,77.27,29686
2015.11.08 00:00,75.90,81.13,74.78,77.91,27587
2015.11.15 00:00,76.98,85.84,75.75,84.92,31131
2015.11.22 00:00,84.73,86.17,81.86,82.77,14296
2015.11.29 00:00,82.52,84.85,81.77,84.33,25532
2015.12.06 00:00,84.05,84.35,81.85,82.45,29869
2015.12.13 00:00,82.43,87.43,82.04,84.28,34972
2015.12.20 00:00,85.00,85.88,83.01,85.43,19746
2015.12.27 00:00,84.96,86.85,84.17,85.92,20080
2016.01.03 00:00,83.38,83.83,75.87,76.17,52299
2016.01.10 00:00,76.54,78.79,68.85,70.61,63590
2016.01.17 00:00,71.10,72.35,65.78,70.60,54590
2016.01.24 00:00,70.64,70.96,64.96,66.69,60339
2016.01.31 00:00,65.89,67.62,57.28,58.32,66890
2016.02.07 00:00,56.52,64.65,53.45,59.85,83822
2016.02.14 00:00,60.35,66.86,59.92,63.37,36222
2016.02.21 00:00,61.93,63.48,58.49,62.32,38306
2016.02.28 00:00,61.99,66.56,61.78,65.06,39505
2016.03.06 00:00,64.50,66.19,59.30,63.65,41692
2016.03.13 00:00,63.50,68.21,63.23,64.31,40358
2016.03.20 00:00,64.43,65.76,60.49,62.21,20887
2016.03.27 00:00,62.69,68.01,61.50,67.21,27327
2016.04.03 00:00,67.00,67.20,61.67,62.21,29492
2016.04.10 00:00,62.52,64.15,60.16,62.97,26261
2016.04.17 00:00,62.76,65.61,62.64,63.31,27840
2016.04.24 00:00,63.01,64.90,61.94,63.58,24556
