Date,Open,High,Low,Close,Volume,OI,P,R,RINFO
19990104,147375.0,149000.0,147375.0,148375.0,2926,1312,0,0,0.0
19990105,148375.0,148500.0,147375.0,147750.0,2112,2089,0,0,0.0
19990106,147750.0,147875.0,144750.0,145500.0,4698,3815,0,0,0.0
19990107,145750.0,147125.0,145625.0,146875.0,3539,4190,0,0,0.0
19990108,146125.0,146125.0,144750.0,145375.0,3827,4468,0,0,0.0
19990111,145125.0,145125.0,144000.0,144000.0,6058,7626,0,0,0.0
19990112,144500.0,145000.0,144500.0,144875.0,3169,8240,0,0,0.0
19990113,147125.0,147875.0,146000.0,146125.0,5465,7211,0,0,0.0
19990114,146125.0,147000.0,146000.0,146750.0,1164,6901,0,0,0.0
19990115,145750.0,145750.0,145000.0,145250.0,846,6465,0,0,0.0
19990119,145500.0,145875.0,145000.0,145500.0,1137,6081,0,0,0.0
19990120,145500.0,145625.0,144875.0,144875.0,1482,6391,0,0,0.0
19990121,145000.0,145500.0,144750.0,145375.0,932,6253,0,0,0.0
19990122,145375.0,145625.0,145000.0,145250.0,1046,6720,0,0,0.0
19990125,145125.0,145500.0,144750.0,144750.0,887,7073,0,0,0.0
19990126,144875.0,145250.0,144750.0,144875.0,1696,6747,0,0,0.0
19990127,144375.0,144375.0,143000.0,143250.0,14387,18579,0,0,0.0
19990128,143000.0,143125.0,142875.0,143125.0,6650,22301,0,0,0.0
19990129,142625.0,142625.0,142125.0,142375.0,2284,23539,0,0,0.0
19990201,142125.0,142125.0,141375.0,141750.0,5021,26996,0,0,0.0
19990202,142000.0,142375.0,141750.0,142125.0,2386,26932,0,0,0.0
19990203,142000.0,142250.0,141625.0,141750.0,4569,26863,0,0,0.0
19990204,141125.0,142125.0,141000.0,142000.0,5803,27875,0,0,0.0
19990205,141250.0,141500.0,140875.0,141125.0,2414,28355,0,0,0.0
19990208,140750.0,141875.0,140500.0,141750.0,10326,29767,0,0,0.0
19990209,141875.0,141875.0,141250.0,141375.0,1846,30174,0,0,0.0
19990210,142000.0,142250.0,141625.0,142000.0,3621,27332,0,0,0.0
19990211,141625.0,141750.0,140625.0,140625.0,2876,28675,0,0,0.0
19990212,140750.0,141250.0,140750.0,141250.0,3647,27626,0,0,0.0
19990216,139875.0,140375.0,139750.0,140250.0,6408,29990,0,0,0.0
19990217,140875.0,140875.0,140500.0,140625.0,4937,30257,0,0,0.0
19990218,140625.0,140750.0,140000.0,140250.0,1576,31065,0,0,0.0
19990219,139750.0,139750.0,138375.0,138500.0,5448,33482,0,0,0.0
19990222,137625.0,138250.0,137500.0,138125.0,9865,37166,0,0,0.0
19990223,137000.0,137875.0,137000.0,137750.0,2498,36734,0,0,0.0
19990224,138125.0,138250.0,136875.0,137500.0,6133,35060,0,0,0.0
19990225,138000.0,138625.0,137750.0,138125.0,6316,30751,0,0,0.0
19990226,137875.0,138000.0,137000.0,137750.0,5828,31074,0,0,0.0
19990301,137500.0,137500.0,136125.0,136125.0,11109,37588,0,0,0.0
19990302,136250.0,136875.0,136250.0,136625.0,9249,34474,0,0,0.0
19990303,136250.0,136625.0,136125.0,136250.0,8865,32500,0,0,0.0
19990304,135875.0,135875.0,135000.0,135375.0,8354,32347,0,0,0.0
19990305,135375.0,135875.0,135000.0,135375.0,9536,28792,199906,199906,0.0
19990308,136375.0,136375.0,136000.0,136125.0,21152,9518,0,0,625.0
19990309,136002.0,136375.0,135876.0,136125.0,19572,18896,0,0,0.0
19990310,136997.0,137246.0,136747.0,136996.0,21738,24277,0,0,0.0
19990311,136002.0,138366.0,135005.0,137867.0,28775,32328,0,0,0.0
19990312,136375.0,136997.0,136249.0,136374.0,16336,30605,0,0,0.0
19990315,136748.0,136997.0,136498.0,136747.0,12473,29634,0,0,0.0
19990316,136375.0,137619.0,136249.0,137494.0,19810,32457,0,0,0.0
19990317,136997.0,138117.0,136996.0,137618.0,9422,31147,0,0,0.0
19990318,137619.0,137993.0,136996.0,137120.0,9982,29639,0,0,0.0
19990319,136375.0,136624.0,136001.0,136125.0,7249,32693,0,0,0.0
19990322,135877.0,136500.0,135752.0,136374.0,7749,32251,0,0,0.0
19990323,136250.0,136500.0,135752.0,136374.0,7470,29130,0,0,0.0
19990324,136623.0,136998.0,136001.0,136125.0,7252,27761,0,0,0.0
19990325,136125.0,136251.0,135379.0,135378.0,5158,29938,0,0,0.0
