dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-11-10,0.00883705964418,0.00182523250068,0.00246717581898,6.15076514984,102506.6,1779.03,both_gainAhead_PCA10_GNBayes DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,-0.000527704485488,wf_is_short,103186.27,1792.86,4.12761572395,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is15,1.0,,
2016-11-11,0.00863327289888,0.00214475839944,0.00263752189358,0.0,102614.79,108.19,both_gainAhead_PCA10_GNBayes DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,103240.72,54.45,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is16,1.0,0.75,20161112 03:17:17 EST
2016-11-14 00:00:00,0.00722105690101,0.00269048481761,0.00279751442472,0.0,105566.81,1978.35,both_gainAhead_PCA10_GNBayes DPS wl9.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,104721.32,990.53,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is17,1.0,0.75,20161114 13:41:57 EST
2016-11-15 00:00:00,0.071609412714,0.00207932514985,0.00263752189358,6.85401887463,114226.79,14342.23,both_gainAhead_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,116212.64,14593.61,4.64869144701,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f49_is42,1.0,0.75,20161115 13:41:52 EST
2016-11-16 00:00:00,0.00158405838497,0.00239679063171,0.00279751442472,6.30074292023,105006.08,2889.26,both_gainAhead_PCA10_GNBayes DPS wl9.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,105010.6,2891.43,4.20059194556,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is19,1.0,0.75,20161116 13:50:49 EST
2016-11-17 00:00:00,0.00576202138167,0.0032731188247,0.00263752189358,8.4907034619,106125.3,1809.03,both_gainAhead_PCA10_GNBayes DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,106164.56,912.67,4.24675209537,1.0,gainAhead_PCA10_GNBayes,1.0,gainAhead_PCA10_f10_is20,1.0,0.75,20161117 13:38:07 EST
2016-11-18 00:00:00,0.000461853860823,0.00287629055198,0.00279751442472,0.0,104886.02,0.0,both_gainAhead_PCA10_GNBayes DPS wl9.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,105826.76,0.0,0.0,1.0,gainAhead_PCA10_GNBayes,1.0,gainAhead_PCA10_f10_is21,1.0,0.75,20161118 13:38:04 EST
2016-11-21 00:00:00,0.00782505893178,0.00378712506248,0.0029488391231,6.47871904458,107972.17,4069.09,both_gainAhead_PCA10_GNBayes DPS wl10.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,109618.11,4133.23,4.38489985713,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is22,1.0,0.75,20161121 17:38:46 EST
2016-11-22 00:00:00,-0.0022490103717,0.0,0.00309276856414,2.0546935765,102732.62,-3293.33,both_buyHold DPS wl11.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,105225.4,-1658.96,0.0,1.0,buyHold,1.0,buyHold,1.0,0.75,20161122 13:54:17 EST
2016-11-23 00:00:00,0.00199276692774,0.00269743491659,0.00323029141235,0.0,104475.13,-472.31,both_gainAhead_PCA10_GNBayes DPS wl12.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_short,107914.45,-243.38,0.0,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is24,1.0,0.75,20161123 21:37:15 EST
2016-11-25 00:00:00,0.00397927713367,0.00309300513622,0.00228416096288,2.22486510297,111241.03,2684.81,both_gainAhead_PCA10_GNBayes DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,110830.57,2677.07,0.0,1.0,gainAhead_PCA10_GNBayes,1.0,gainAhead_PCA10_f10_is14,1.0,0.75,20161125 13:46:25 EST
