,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-02-01 00:00:00,Close2017-02-01 00:00:00,group,RiskOn,Custom,PC2017-01-27 00:00:00,Close2017-01-27 00:00:00,vSTART,LastSEA,SEA2017-02-01 00:00:00,LastSRUN,SRUN2017-02-01 00:00:00,SEA2017-01-27 00:00:00,SRUN2017-01-27 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-01-31 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-01-31 00:00:00,0.5SIG2017-01-27 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-01-31 00:00:00,0.75SIG2017-01-27 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-01-31 00:00:00,1SIG2017-01-27 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15,timestamp,LastPctChg_IB,ACT_IB,pcDate,signalDate,timestamp
AC,@ACH7,1.511,0.031293666,-0.00198150594452,-1.0,-1.0,-1.0,1.0,1.0,23.0,2016-12-28,907.516314,1.0,1.0,1.0,43819.0,1.0,-0.00198150594452,1.511,energy,1.0,1.0,,,2016-12-28 00:00:00,1.0,1.0,23.0,23.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1486018387,-0.00198150594452,-1.0,,20170201,1486018387
AD,@ADH7,0.7573,0.00682,0.000527843758247,1.0,1.0,-1.0,1.0,1.0,2.0,2017-01-23,682.0,1.0,1.0,1.0,75730.0,1.0,0.000527843758247,,currency,1.0,1.0,,,2016-12-23,1.0,,23.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,2.0,1.0,,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485901802,-0.000263921879124,-1.0,20170201.0,20170131,1485901802
AEX,AEXG7,477.85,4.47388687,0.00621183407033,1.0,1.0,1.0,1.0,-1.0,-21.0,2017-01-03,963.406798586,1.0,1.0,1.0,102900.219,0.928763815362,0.00621183407033,477.85,index,1.0,1.0,,,2017-01-03 00:00:00,-1.0,-1.0,-21.0,-21.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1486018387,0.00621183407033,1.0,,20170201,1486018387
BO,@BOH7,33.83,0.6135,0.0135893648449,1.0,-1.0,1.0,-1.0,1.0,13.0,2017-01-12,368.1,2.0,1.0,1.0,20298.0,1.0,0.0135893648449,,grain,1.0,1.0,,,2017-01-12,1.0,,11.0,,,,1.0,1.0,1.0,2.0,,1.0,2.0,,,2.0,2.0,,,2.0,2.0,,,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485901802,0.0135893648449,1.0,,20170131,1485901802
BP,@BPH7,1.2593,0.01498,0.00746565006751,1.0,1.0,-1.0,1.0,-1.0,-16.0,2017-01-09,936.25,1.0,1.0,1.0,78706.25,1.0,0.00746565006751,,currency,1.0,1.0,,,2017-01-09,-1.0,,-14.0,,,,1.0,-1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,2.0,1.0,,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485901802,0.00619490111985,1.0,20170201.0,20170131,1485901802
C,@CH7,359.5,4.975,0.0236275191105,1.0,-1.0,-1.0,-1.0,1.0,25.0,2016-12-23,248.75,4.0,2.0,2.0,17975.0,1.0,0.0236275191105,,grain,1.0,1.0,,,2016-12-23,1.0,,23.0,,,,1.0,-1.0,1.0,4.0,,1.0,4.0,,,1.0,4.0,,,1.0,4.0,,,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485901802,0.0236275191105,1.0,,20170131,1485901802
CC,@CCH7,2109.0,62.75,0.00285306704708,1.0,1.0,1.0,1.0,1.0,-11.0,2017-01-17,627.5,1.0,1.0,1.0,21090.0,1.0,0.00285306704708,2109.0,soft,1.0,1.0,,,2017-01-17 00:00:00,1.0,1.0,-11.0,-11.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1486018387,0.00285306704708,1.0,,20170201,1486018387
CD,@CDH7,0.76765,0.00678,-0.00182232346241,-1.0,-1.0,1.0,-1.0,1.0,2.0,2017-01-19,678.0,1.0,1.0,1.0,76765.0,1.0,-0.00182232346241,,currency,1.0,1.0,,,2017-01-19,1.0,,-7.0,,,,1.0,-1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,2.0,1.0,,,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485901802,-0.00175724048161,-1.0,20170201.0,20170131,1485901802
CGB,CBH7,137.34,0.6415,-0.000727590221187,-1.0,1.0,-1.0,1.0,-1.0,11.0,2017-01-17,491.68391201,2.0,1.0,1.0,105265.578294,1.3047,-0.000727590221187,137.34,rates,-1.0,1.0,,,2017-01-17 00:00:00,-1.0,-1.0,11.0,11.0,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1486018387,-0.000727590221187,-1.0,,20170201,1486018387
CL,QCLH7,52.8,1.2919218175,0.020261314145,1.0,1.0,1.0,1.0,1.0,13.0,2017-01-12,1291.9218175,1.0,1.0,1.0,52800.0,1.0,0.020261314145,,energy,1.0,1.0,,,2017-01-12,1.0,,11.0,,,,1.0,-1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485901802,0.0132550653285,1.0,20170201.0,20170131,1485901802
