2016-09-05 00:00:00,Contract,LastClose,ATR20,PC2016-09-02 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-09-02 00:00:00,group,RiskOn,Excess,PC2016-09-05 00:00:00,Close2016-09-05 00:00:00,SEA2016-09-02 00:00:00,SRUN2016-09-02 00:00:00,SEA2016-09-05 00:00:00,SRUN2016-09-05 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-02 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-02 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-02 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-02 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
AC,@ACV6,1.446,0.023009274,0.0111888111888,1.0,-1.0,-1.0,1.0,-1.0,5.0,2016-08-26,667.268946,3.0,1.0,1.0,41934.0,1.446,energy,1.0,1.0,,,-1.0,5.0,,,1.0,-1.0,5.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,-1,-1,-1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1,0.0,0,-1.0,1,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
AD,@ADU6,0.7564,0.006645,0.00158898305085,1.0,1.0,1.0,1.0,1.0,-36.0,2016-07-14,664.5,4.0,1.0,1.0,75640.0,0.7564,currency,1.0,1.0,,,1.0,-36.0,,,1.0,1.0,-36.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,-1,1,-1,-1,1,-1,-1,1,0.0,-1,0.0,-1,-1,480.762711864,480.762711864,480.762711864,-480.762711864,480.762711864,-480.762711864,480.762711864,-480.762711864,480.762711864,480.762711864,480.762711864,480.762711864,-480.762711864,-480.762711864,480.762711864,-480.762711864,-480.762711864,480.762711864,-480.762711864,480.762711864,-480.762711864,-480.762711864,480.762711864,-480.762711864,-480.762711864,480.762711864,0.0,-480.762711864,0.0,-480.762711864,-480.762711864
AEX,AEXU6,464.05,4.886674149,,1.0,1.0,1.0,-1.0,-1.0,-1.0,2016-08-26,1089.63060174,2.0,1.0,1.0,103473.869,,index,1.0,1.0,0.00118662351672,464.05,,,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,-1,-1,1,-1,1,-1,1.0,-1,1,-1,-1,-1,1,1,-1,1,1.0,0,0.0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO,@BOZ6,33.04,0.718,0.0150537634409,1.0,-1.0,-1.0,-1.0,1.0,-10.0,2016-08-19,430.8,5.0,1.0,1.0,19824.0,33.04,grain,1.0,1.0,,,1.0,-10.0,,,1.0,1.0,-10.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,1,-1,1492.12903226,1492.12903226,1492.12903226,-1492.12903226,1492.12903226,-1492.12903226,1492.12903226,-1492.12903226,-1492.12903226,-1492.12903226,-1492.12903226,-1492.12903226,1492.12903226,1492.12903226,1492.12903226,-1492.12903226,-1492.12903226,1492.12903226,1492.12903226,-1492.12903226,-1492.12903226,-1492.12903226,1492.12903226,-1492.12903226,-1492.12903226,-1492.12903226,-1492.12903226,-1492.12903226,-1492.12903226,1492.12903226,-1492.12903226
BP,@BPU6,1.3298,0.01095,0.00180804580383,1.0,-1.0,1.0,-1.0,1.0,-14.0,2016-08-15,684.375,3.0,1.0,1.0,83112.5,1.3298,currency,1.0,1.0,,,1.0,-14.0,,,1.0,1.0,-14.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,1,0.0,-1,0.0,1,-1,450.813620612,450.813620612,450.813620612,-450.813620612,450.813620612,-450.813620612,450.813620612,-450.813620612,450.813620612,-450.813620612,450.813620612,-450.813620612,450.813620612,450.813620612,450.813620612,-450.813620612,-450.813620612,450.813620612,450.813620612,450.813620612,-450.813620612,450.813620612,450.813620612,-450.813620612,-450.813620612,450.813620612,0.0,-450.813620612,0.0,450.813620612,-450.813620612
C,@CZ6,328.5,5.9125,0.0146718146718,1.0,1.0,-1.0,1.0,-1.0,-26.0,2016-07-28,295.625,7.0,1.0,1.0,16425.0,328.5,grain,1.0,1.0,,,-1.0,-26.0,,,1.0,-1.0,-26.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,2.0,7.0,1.0,2.0,7.0,1.0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,0.0,0,-1.0,-1,-1,1686.89189189,1686.89189189,1686.89189189,-1686.89189189,1686.89189189,-1686.89189189,1686.89189189,-1686.89189189,-1686.89189189,1686.89189189,-1686.89189189,1686.89189189,-1686.89189189,-1686.89189189,-1686.89189189,1686.89189189,1686.89189189,-1686.89189189,1686.89189189,-1686.89189189,-1686.89189189,-1686.89189189,-1686.89189189,-1686.89189189,-1686.89189189,-1686.89189189,0.0,0.0,-1686.89189189,-1686.89189189,-1686.89189189
CC,@CCZ6,2900.0,58.7,0.0010355540214,1.0,1.0,1.0,1.0,-1.0,-11.0,2016-08-18,587.0,4.0,1.0,1.0,29000.0,2900.0,soft,1.0,1.0,,,-1.0,-11.0,,,1.0,-1.0,-11.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,-1,-1,-1,1,-1,1,1.0,0,0.0,-1,-1,120.124266483,120.124266483,120.124266483,-120.124266483,120.124266483,-120.124266483,120.124266483,-120.124266483,120.124266483,120.124266483,120.124266483,120.124266483,-120.124266483,-120.124266483,-120.124266483,120.124266483,120.124266483,-120.124266483,120.124266483,-120.124266483,-120.124266483,-120.124266483,-120.124266483,120.124266483,-120.124266483,120.124266483,120.124266483,0.0,0.0,-120.124266483,-120.124266483
CD,@CDU6,0.76955,0.00543,0.0079240340537,1.0,1.0,-1.0,1.0,1.0,-29.0,2016-08-18,543.0,4.0,1.0,1.0,76955.0,0.76955,currency,1.0,1.0,,,1.0,-29.0,,,1.0,1.0,-29.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,2439.17616241,2439.17616241,2439.17616241,-2439.17616241,2439.17616241,-2439.17616241,2439.17616241,-2439.17616241,-2439.17616241,2439.17616241,-2439.17616241,2439.17616241,-2439.17616241,-2439.17616241,2439.17616241,-2439.17616241,-2439.17616241,2439.17616241,-2439.17616241,-2439.17616241,-2439.17616241,-2439.17616241,2439.17616241,-2439.17616241,-2439.17616241,-2439.17616241,-2439.17616241,-2439.17616241,-2439.17616241,-2439.17616241,-2439.17616241
CGB,CBZ6,146.07,0.6131745455,-0.00490496627836,-1.0,1.0,1.0,1.0,-1.0,-39.0,2016-07-08,474.299617497,5.0,1.0,1.0,112987.314356,146.07,rates,-1.0,1.0,,,-1.0,-39.0,,,-1.0,-1.0,-39.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,-1,-1,-1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1.0,1,1.0,-1,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
CL,QCLV6,44.44,1.4739821315,0.0296570898981,1.0,1.0,1.0,1.0,-1.0,10.0,2016-08-19,1473.9821315,2.0,1.0,1.0,44440.0,44.44,energy,1.0,1.0,,,-1.0,10.0,,,1.0,-1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,1,-1,-1.0,1,1,1,-1,1,1,1,-1,1,1.0,0,0.0,-1,-1,2635.92215014,2635.92215014,2635.92215014,-2635.92215014,2635.92215014,-2635.92215014,2635.92215014,-2635.92215014,2635.92215014,2635.92215014,2635.92215014,2635.92215014,-2635.92215014,-2635.92215014,-2635.92215014,2635.92215014,-2635.92215014,2635.92215014,2635.92215014,2635.92215014,-2635.92215014,2635.92215014,2635.92215014,2635.92215014,-2635.92215014,2635.92215014,2635.92215014,0.0,0.0,-2635.92215014,-2635.92215014
