2017-09-01 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-09-01 00:00:00,Close2017-09-01 00:00:00,group,RiskOn,Custom,PC2017-08-31 00:00:00,Close2017-08-31 00:00:00,vSTART,LastSEA,SEA2017-09-01 00:00:00,LastSRUN,SRUN2017-09-01 00:00:00,SEA2017-08-31 00:00:00,SRUN2017-08-31 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-08-31 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-08-31 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-08-31 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-08-31 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACV7,1.494,0.033834502,0.00403225806452,1.0,1.0,1.0,-1.0,-1.0,-1.0,2017-08-07,981.200558,1.0,1.0,1.0,43326.0,1.0,0.00403225806452,1.494,energy,1.0,1.0,,,2017-08-07,-1.0,-1.0,-2.0,-2.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,1.0,-1,0,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
AD,@ADU7,0.7968,0.0064,0.00251635631605,1.0,1.0,-1.0,1.0,1.0,-12.0,2017-08-15,640.0,1.0,1.0,1.0,79680.0,1.0,0.00251635631605,0.7968,currency,1.0,1.0,,,2017-08-15,1.0,1.0,-13.0,-13.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,200.503271263,200.503271263,200.503271263,-200.503271263,200.503271263,-200.503271263,200.503271263,-200.503271263,200.503271263,200.503271263,-200.503271263,200.503271263,-200.503271263,-200.503271263,200.503271263,200.503271263,200.503271263,-200.503271263,200.503271263,-200.503271263,200.503271263,-200.503271263,-200.503271263,-200.503271263,0.0,-200.503271263,-200.503271263,-200.503271263,-200.503271263,-200.503271263,-200.503271263,200.503271263,200.503271263,200.503271263,-200.503271263
AEX,AEXU7,517.95,4.72641804,0.00416828227995,1.0,1.0,1.0,1.0,1.0,11.0,2017-08-16,1121.38994417,1.0,1.0,1.0,122888.817,0.842957093484,0.00416828227995,517.95,index,1.0,1.0,,,2017-08-28,-1.0,-1.0,-4.0,-4.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
BO,@BOZ7,35.67,0.5955,0.0173987450086,1.0,1.0,-1.0,1.0,1.0,21.0,2017-08-15,357.3,2.0,1.0,1.0,21402.0,1.0,0.0173987450086,35.67,grain,1.0,1.0,,,2017-08-15,1.0,1.0,22.0,22.0,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,744.735881346,744.735881346,744.735881346,-744.735881346,744.735881346,-744.735881346,744.735881346,-744.735881346,744.735881346,744.735881346,-744.735881346,744.735881346,-744.735881346,-744.735881346,744.735881346,744.735881346,744.735881346,-744.735881346,744.735881346,-744.735881346,744.735881346,-744.735881346,-744.735881346,-744.735881346,0.0,-744.735881346,-744.735881346,-744.735881346,-744.735881346,-744.735881346,-744.735881346,744.735881346,744.735881346,744.735881346,-744.735881346
BP,@BPU7,1.2961,0.007405,0.0016228748068,1.0,-1.0,-1.0,-1.0,1.0,21.0,2017-08-02,462.8125,2.0,1.0,1.0,81006.25,1.0,0.0016228748068,1.2961,currency,1.0,1.0,,,2017-08-02,1.0,1.0,22.0,22.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,262.926004637,262.926004637,262.926004637,-262.926004637,262.926004637,-262.926004637,262.926004637,-262.926004637,262.926004637,-262.926004637,-262.926004637,-262.926004637,262.926004637,262.926004637,262.926004637,262.926004637,262.926004637,-262.926004637,262.926004637,-262.926004637,262.926004637,-262.926004637,-262.926004637,-262.926004637,0.0,-262.926004637,-262.926004637,-262.926004637,-262.926004637,-262.926004637,0.0,-262.926004637,0.0,262.926004637,-262.926004637
C,@CZ7,355.25,6.05,-0.00698812019567,-1.0,-1.0,1.0,-1.0,-1.0,1.0,2017-07-26,302.5,3.0,1.0,1.0,17762.5,1.0,-0.00698812019567,355.25,grain,1.0,1.0,,,2017-07-26,-1.0,-1.0,2.0,2.0,,,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-372.379454927,372.379454927,-372.379454927,372.379454927,-372.379454927,372.379454927,-372.379454927,372.379454927,-372.379454927,372.379454927,-372.379454927,372.379454927,-372.379454927,-372.379454927,372.379454927,372.379454927,372.379454927,-372.379454927,372.379454927,-372.379454927,-372.379454927,372.379454927,-372.379454927,-372.379454927,-372.379454927,-372.379454927,-372.379454927,-372.379454927,-372.379454927,-372.379454927,-372.379454927,372.379454927,-372.379454927,-372.379454927,-372.379454927
CC,@CCZ7,1947.0,54.05,0.0109034267913,1.0,1.0,1.0,1.0,-1.0,11.0,2017-08-16,540.5,1.0,1.0,1.0,19470.0,1.0,0.0109034267913,1947.0,soft,1.0,1.0,,,2017-08-28,-1.0,-1.0,-4.0,-4.0,,,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
CD,@CDU7,0.80725,0.0056275,0.00862122821266,1.0,-1.0,-1.0,1.0,1.0,-12.0,2017-08-15,562.75,1.0,1.0,1.0,80725.0,1.0,0.00862122821266,0.80725,currency,1.0,1.0,,,2017-08-15,1.0,1.0,-13.0,-13.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,695.948647467,695.948647467,695.948647467,-695.948647467,695.948647467,-695.948647467,695.948647467,-695.948647467,695.948647467,-695.948647467,-695.948647467,695.948647467,-695.948647467,695.948647467,695.948647467,695.948647467,695.948647467,-695.948647467,695.948647467,-695.948647467,695.948647467,-695.948647467,-695.948647467,-695.948647467,0.0,-695.948647467,-695.948647467,-695.948647467,-695.948647467,-695.948647467,0.0,695.948647467,0.0,695.948647467,-695.948647467
CGB,CBZ7,137.54,0.6263097745,-0.0051356238698,-1.0,1.0,-1.0,1.0,1.0,22.0,2017-07-31,505.577796658,1.0,1.0,1.0,111026.800129,1.2388,-0.0051356238698,137.54,rates,-1.0,1.0,,,2017-07-31,-1.0,-1.0,23.0,23.0,,,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1.0,-1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
CL,QCLV7,47.29,1.173001577,0.0012703789964,1.0,-1.0,1.0,-1.0,-1.0,23.0,2017-07-31,1173.001577,1.0,1.0,1.0,47290.0,1.0,0.0012703789964,47.29,energy,1.0,1.0,,,2017-07-31,-1.0,-1.0,24.0,24.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,60.0762227398,60.0762227398,60.0762227398,-60.0762227398,60.0762227398,-60.0762227398,60.0762227398,-60.0762227398,60.0762227398,-60.0762227398,60.0762227398,-60.0762227398,60.0762227398,60.0762227398,-60.0762227398,-60.0762227398,-60.0762227398,60.0762227398,-60.0762227398,60.0762227398,60.0762227398,-60.0762227398,60.0762227398,60.0762227398,60.0762227398,60.0762227398,60.0762227398,60.0762227398,60.0762227398,60.0762227398,60.0762227398,-60.0762227398,60.0762227398,60.0762227398,60.0762227398
