rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-11-29 20:00:24 1 @BOF7 $-60,@BOF7,2016-11-29 20:00:24,36.72,2016-11-29 14:20:00,36.62,0.00273074822501,0.00273074822501,Open,1.0,-60.0,2.5,0 days 05:40:24.000000000,340.0
ctwo: 2016-11-29 20:00:13 1.0 @BOF7 $-60,@BOF7,2016-11-29 20:00:13,36.72,2016-11-29 14:20:00,36.62,0.00273074822501,0.00273074822501,Close,1.0,-60.0,2.5,0 days 05:40:13.000000000,340.0
ctwo: 2016-11-30 17:01:00 1 QHGH7 $0,QHGH7,2016-11-30 17:01:00,263.3,2016-11-30 17:00:00,263.3,0.0,0.0,Open,1.0,0.0,2.5,0 days 00:01:00.000000000,1.0
ctwo: 2016-11-30 17:00:59 1.0 QHGH7 $-125,QHGH7,2016-11-30 17:00:59,263.8,2016-11-30 17:00:00,263.3,0.00189897455374,0.00189897455374,Close,1.0,-125.0,2.5,0 days 00:00:59.000000000,0.0
ctwo: 2016-11-29 20:00:24 1 @BOF7 $162,@BOF7,2016-11-29 20:00:24,36.72,2016-11-30 14:20:00,36.99,-0.00729927007299,0.00729927007299,Open,1.0,162.0,2.5,-1 days +05:40:24.000000000,-1100.0
ctwo: 2016-11-29 20:00:13 1.0 @BOF7 $162,@BOF7,2016-11-29 20:00:13,36.72,2016-11-30 14:20:00,36.99,-0.00729927007299,0.00729927007299,Close,1.0,162.0,2.5,-1 days +05:40:13.000000000,-1100.0
ctwo: 2016-12-05 14:15:26 1 @BOF7 $-5,@BOF7,2016-12-05 14:15:26,37.68,2016-12-05 14:20:00,37.67,0.000265463233342,0.000265463233342,Open,1.0,-5.0,2.5,-1 days +23:55:26.000000000,-5.0
ctwo: 2016-12-05 16:53:11 1 @ESZ6 $50,@ESZ6,2016-12-05 16:53:11,2205.25,2016-12-05 17:00:00,2204.25,0.000453669048429,0.000453669048429,Open,-1.0,50.0,2.5,-1 days +23:53:11.000000000,-7.0
ctwo: 2016-12-05 16:53:10 1.0 @ESZ6 $50,@ESZ6,2016-12-05 16:53:10,2205.25,2016-12-05 17:00:00,2204.25,0.000453669048429,0.000453669048429,Close,-1.0,50.0,2.5,-1 days +23:53:10.000000000,-7.0
ctwo: 2016-12-05 16:53:12 1 QHGH7 $-100,QHGH7,2016-12-05 16:53:12,269.4,2016-12-05 17:00:00,269.8,-0.00148257968866,0.00148257968866,Open,-1.0,-100.0,2.5,-1 days +23:53:12.000000000,-7.0
ctwo: 2016-12-05 16:53:12 1 QNGF7 $-629,QNGF7,2016-12-05 16:53:12,3.591,2016-12-05 17:00:00,3.654,-0.0172413793103,0.0172413793103,Open,-1.0,-629.0,2.5,-1 days +23:53:12.000000000,-7.0
ctwo: 2016-12-06 16:49:56 1.0 QNGF7 $0,QNGF7,2016-12-06 16:49:56,3.635,2016-12-06 17:00:00,3.635,0.0,0.0,Close,1.0,0.0,2.5,-1 days +23:49:56.000000000,-11.0
ctwo: 2016-12-06 16:49:59 1 @TYH7 $31,@TYH7,2016-12-06 16:49:59,124.5,2016-12-06 17:00:00,124.46875,0.000251067034898,0.000251067034898,Open,-1.0,31.0,2.5,-1 days +23:49:59.000000000,-11.0
ctwo: 2016-12-06 16:49:58 1.0 @TYH7 $31,@TYH7,2016-12-06 16:49:58,124.5,2016-12-06 17:00:00,124.46875,0.000251067034898,0.000251067034898,Close,-1.0,31.0,2.5,-1 days +23:49:58.000000000,-11.0
ctwo: 2016-12-06 16:49:57 1 QNGF7 $9,QNGF7,2016-12-06 16:49:57,3.634,2016-12-06 17:00:00,3.635,-0.000275103163686,0.000275103163686,Open,1.0,9.0,2.5,-1 days +23:49:57.000000000,-11.0
ctwo: 2016-12-06 16:49:55 1 @ESZ6 $-50,@ESZ6,2016-12-06 16:49:55,2211.0,2016-12-06 17:00:00,2210.0,0.000452488687783,0.000452488687783,Open,1.0,-50.0,2.5,-1 days +23:49:55.000000000,-11.0
