timestamp,YYYYMMDD,index_price,strategy_raw,strategy_with_cost,unix_timestamp
2017-03-09 07:17:29,20170309,2364.87,250000,250000,1489043849
2017-03-09 07:33:16,20170309,2364.87,250000,250000,1489044796
2017-03-09 12:09:00,20170309,2364.87,250000,250000,1489061340
2017-03-09 17:15:51,20170309,2364.87,250000,250000,1489079751
2017-03-09 23:17:29,20170309,2364.87,250000,250000,1489101449
2017-03-10 05:04:44,20170310,2372.60,250000,250000,1489122284
2017-03-10 11:10:22,20170310,2372.60,250000,250000,1489144222
2017-03-10 17:16:57,20170310,2372.60,250000,250000,1489166217
2017-03-10 23:21:07,20170310,2372.60,250000,250000,1489188067
2017-03-11 11:38:17,20170311,2372.60,250000,250000,1489232297
2017-03-11 16:38:13,20170311,2372.60,250000,250000,1489250293
2017-03-11 22:29:41,20170311,2372.60,250000,250000,1489271381
2017-03-12 04:31:16,20170311,2372.60,250000,250000,1489293076
2017-03-12 10:33:31,20170312,2372.60,250000,250000,1489314811
2017-03-12 16:20:11,20170312,2372.60,250000,250000,1489335611
2017-03-12 22:14:32,20170312,2372.60,250000,250000,1489356872
2017-03-13 04:43:21,20170313,2373.47,250000,250000,1489380201
2017-03-13 11:14:37,20170313,2373.47,250000,250000,1489403677
2017-03-13 17:54:41,20170313,2373.47,250000,250000,1489427681
2017-03-14 00:28:47,20170313,2373.47,250000,250000,1489451327
2017-03-14 05:59:55,20170314,2365.45,250000,250000,1489471195
2017-03-14 11:55:28,20170314,2365.45,250000,250000,1489492528
2017-03-14 17:35:28,20170314,2365.45,250000,250000,1489512928
2017-03-14 23:28:31,20170314,2365.45,250000,250000,1489534111
2017-03-15 05:42:35,20170315,2385.26,250000,249693,1489556555
2017-03-15 11:27:51,20170315,2385.26,250000,249693,1489577271
2017-03-15 17:31:35,20170315,2385.26,250000,249693,1489599095
2017-03-15 22:33:14,20170315,2385.26,249988,249681,1489617194
2017-03-15 22:33:28,20170315,2385.26,249938,249631,1489617208
2017-03-15 22:33:40,20170315,2385.26,249938,249631,1489617220
2017-03-15 23:51:58,20170315,2385.26,250092,249785,1489621918
2017-03-16 00:20:22,20170315,2385.26,251446,251139,1489623622
2017-03-16 00:21:18,20170315,2385.26,251520,251213,1489623678
2017-03-16 00:21:23,20170315,2385.26,251495,251188,1489623683
2017-03-16 00:21:26,20170315,2385.26,251495,251188,1489623686
2017-03-16 01:55:11,20170315,2385.26,253342,253035,1489629311
2017-03-16 04:40:35,20170316,2381.38,252865,252209,1489639235
2017-03-16 06:35:40,20170316,2381.38,254717,254061,1489646140
2017-03-16 08:27:40,20170316,2381.38,253581,252925,1489652860
2017-03-16 10:13:25,20170316,2381.38,251815,251159,1489659205
2017-03-16 12:22:10,20170316,2381.38,253674,253018,1489666930
2017-03-16 15:21:40,20170316,2381.38,248753,248097,1489677700
2017-03-16 16:44:14,20170316,2381.38,246983,246327,1489682654
2017-03-16 17:59:54,20170316,2381.38,246029,245373,1489687194
2017-03-16 18:12:48,20170316,2381.38,246290,245634,1489687968
2017-03-16 18:12:52,20170316,2381.38,246260,245604,1489687972
2017-03-16 20:09:52,20170316,2381.38,246704,246048,1489694992
2017-03-16 20:46:39,20170316,2381.38,246242,245586,1489697199
2017-03-16 20:46:56,20170316,2381.38,246274,245618,1489697216
2017-03-16 22:27:34,20170316,2381.38,246093,245437,1489703254
2017-03-17 00:08:53,20170316,2381.38,246286,245630,1489709333
2017-03-17 01:45:51,20170316,2381.38,245836,245180,1489715151
2017-03-17 03:31:33,20170316,2381.38,245734,245078,1489721493
2017-03-17 05:17:28,20170317,2378.25,245981,245325,1489727848
2017-03-17 06:58:28,20170317,2378.25,246907,246251,1489733908
2017-03-17 08:37:15,20170317,2378.25,247331,246675,1489739835
2017-03-17 10:22:48,20170317,2378.25,247846,247190,1489746168
2017-03-17 11:59:01,20170317,2378.25,248492,247836,1489751941
2017-03-17 13:17:26,20170317,2378.25,247690,247034,1489756646
2017-03-17 14:31:21,20170317,2378.25,246934,246278,1489761081
2017-03-17 16:09:49,20170317,2378.25,247659,247003,1489766989
2017-03-17 17:46:44,20170317,2378.25,247092,246436,1489772804
2017-03-17 19:20:47,20170317,2378.25,247741,247085,1489778447
2017-03-17 20:59:17,20170317,2378.25,247235,246579,1489784357
2017-03-18 02:28:24,20170317,2378.25,247584,246928,1489804104
2017-03-18 02:28:31,20170317,2378.25,247584,246928,1489804111
2017-03-18 08:56:00,20170318,2378.25,247584,246928,1489827360
2017-03-18 14:11:37,20170318,2378.25,247584,246928,1489846297
2017-03-18 14:11:46,20170318,2378.25,247584,246928,1489846306
2017-03-18 19:26:59,20170318,2378.25,247584,246928,1489865219
2017-03-18 19:34:32,20170318,2378.25,247584,246928,1489865672
2017-03-19 01:26:22,20170318,2378.25,247584,246928,1489886782
2017-03-19 01:35:43,20170318,2378.25,247584,246928,1489887343
2017-03-19 13:21:22,20170319,2378.25,247509,246853,1489929682
2017-03-19 13:33:20,20170319,2378.25,247509,246853,1489930400
2017-03-19 18:59:25,20170319,2378.25,247509,246853,1489949965
2017-03-20 00:54:09,20170319,2378.25,246910,246254,1489971249
2017-03-20 06:12:32,20170320,2373.47,247050,246394,1489990352
2017-03-20 06:12:32,20170320,2373.47,247050,246394,1489990352
2017-03-20 10:55:09,20170320,2373.47,247055,246399,1490007309
2017-03-20 15:53:19,20170320,2373.47,249202,248546,1490025199
2017-03-20 21:52:32,20170320,2373.47,248860,248204,1490046752
2017-03-21 03:23:47,20170320,2373.47,249208,248552,1490066627
2017-03-21 07:36:51,20170321,2344.02,248932,248276,1490081811
2017-03-21 12:11:18,20170321,2344.02,250112,249456,1490098278
2017-03-21 12:11:18,20170321,2344.02,250112,249456,1490098278
2017-03-21 16:55:03,20170321,2344.02,252512,251856,1490115303
2017-03-21 21:23:46,20170321,2344.02,253805,253149,1490131426
2017-03-21 21:23:47,20170321,2344.02,253805,253149,1490131427
2017-03-22 01:30:31,20170321,2344.02,254839,254183,1490146231
2017-03-22 05:36:37,20170322,2348.45,254578,253601,1490160997
2017-03-22 09:41:58,20170322,2348.45,252948,251971,1490175718
2017-03-22 14:07:27,20170322,2348.45,252607,251630,1490191647
2017-03-22 14:07:43,20170322,2348.45,252584,251607,1490191663
2017-03-22 18:01:27,20170322,2348.45,253107,252130,1490205687
2017-03-22 18:01:33,20170322,2348.45,253077,252100,1490205693
2017-03-22 18:18:33,20170322,2348.45,252979,252002,1490206713
2017-03-22 18:39:24,20170322,2348.45,252725,251748,1490207964
2017-03-22 20:19:43,20170322,2348.45,252154,251177,1490213983
2017-03-22 21:08:38,20170322,2348.45,250198,249221,1490216918
2017-03-22 21:08:43,20170322,2348.45,250198,249221,1490216923
2017-03-22 22:20:47,20170322,2348.45,250406,249429,1490221247
2017-03-22 22:21:03,20170322,2348.45,250386,249409,1490221263
2017-03-22 22:21:18,20170322,2348.45,252013,251036,1490221278
2017-03-22 22:21:19,20170322,2348.45,250288,249311,1490221279
2017-03-22 22:21:21,20170322,2348.45,250283,249306,1490221281
2017-03-22 22:21:35,20170322,2348.45,250257,249280,1490221295
2017-03-22 22:21:41,20170322,2348.45,250248,249271,1490221301
2017-03-22 23:45:18,20170322,2348.45,249797,248820,1490226318
2017-03-23 01:29:34,20170322,2348.45,249299,248322,1490232574
2017-03-23 02:46:11,20170322,2348.45,248348,247371,1490237171
2017-03-23 04:31:16,20170323,2345.96,248692,247715,1490243476
2017-03-23 06:30:59,20170323,2345.96,249166,248189,1490250659
2017-03-23 08:14:48,20170323,2345.96,251205,250228,1490256888
2017-03-23 10:02:19,20170323,2345.96,250526,249549,1490263339
2017-03-23 11:36:21,20170323,2345.96,250458,249481,1490268981
2017-03-23 13:23:11,20170323,2345.96,255008,254031,1490275391
2017-03-23 14:54:40,20170323,2345.96,249358,248381,1490280880
2017-03-23 16:39:08,20170323,2345.96,248718,247741,1490287148
2017-03-23 18:11:31,20170323,2345.96,250013,249036,1490292691
2017-03-23 19:54:56,20170323,2345.96,253369,252392,1490298896
2017-03-23 21:27:50,20170323,2345.96,252072,251095,1490304470
