symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
AUDUSD,5,1460546260,,,0.76583,,forex,short,2016-04-13 07:17:40,1460546260,open,2016-04-13 07:16:15,0.76612,10000,,0,2,,,101799753,
EURUSD,98,1460546260,,,1.13042,,forex,short,2016-04-13 07:17:40,1460540500,open,2016-04-12 18:42:01,1.13536,10000,,2,4,,,101792005,
EURGBP,46,1460546260,,,0.7946675,,forex,short,2016-04-13 07:17:40,1460544028,open,2016-04-12 18:42:15,0.79628,10000,,6,8,,,101792011,
NZDJPY,15,1460546260,,,74.5544814814815,,forex,long,2016-04-13 07:17:40,1460536550,open,2016-04-10 23:25:37,74.47048,10000,,52,54,,,101746975,
GBPUSD,-10,1460546260,,,1.42418333333333,,forex,short,2016-04-13 07:17:40,1460538676,open,2016-04-12 18:12:01,1.42368,10000,,4,6,,,101791577,
CHFJPY,7,1460546260,,,113.368571428571,,forex,long,2016-04-13 07:17:40,1460473559,open,2016-04-10 23:50:41,113.33129,10000,,12,14,,,101747199,
EURCHF,-19,1460500997,,,1.08771,,forex,short,2016-04-12 18:43:17,1460500997,open,2016-04-12 18:42:23,1.08771,10000,,0,2,,,101792014,
CADJPY,17,1460546260,,,84.15405,,forex,long,2016-04-13 07:17:40,1460538348,open,2016-04-10 23:25:40,84.06025,10000,,38,40,,,101746977,
USDJPY,13,1460546260,,,108.408928571429,,forex,long,2016-04-13 07:17:40,1460536550,open,2016-04-11 00:10:51,108.33643,10000,,26,28,,,101747377,
AUDJPY,17,1460546260,,,82.72556,,forex,long,2016-04-13 07:17:40,1460536550,open,2016-04-11 00:36:50,82.63044,10000,,48,50,,,101747686,
NZDUSD,0,1460546260,,,0.69113,,forex,short,2016-04-13 07:17:40,1460546260,open,2016-04-13 07:16:28,0.69176,10000,,0,2,,,101799767,
USDCAD,0,1460546260,,,1.28019,,forex,short,2016-04-13 07:17:40,1460546260,open,2016-04-13 07:16:21,1.27999,10000,,0,2,,,101799759,
GBPJPY,33,1460546260,,,154.367764705882,,forex,long,2016-04-13 07:17:40,1460540142,open,2016-04-11 00:36:43,154.18759,10000,,32,34,,,101747683,
USDCHF,-168,1460496397,,,0.95497,,forex,short,2016-04-12 17:26:37,1460496397,open,2016-04-12 17:25:56,0.95487,10000,,0,2,,,101791086,
EURJPY,5,1460546260,,,123.477777777778,,forex,long,2016-04-13 07:17:40,1460486126,open,2016-04-11 00:36:36,123.45011,10000,,16,18,,,101747680,
