rowname,contract,c2timestamp,c2price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta,delta
ctwo: 2016-11-29 20:00:24 1 @CH7 $0,@CH7,2016-11-29 20:00:24,349.0,2016-11-29 14:20:00,349.0,0.0,0.0,Open,-1.0,0.0,2.5,0 days 05:40:24.000000000,340.0
ctwo: 2016-11-29 20:00:14 1.0 @CH7 $0,@CH7,2016-11-29 20:00:14,349.0,2016-11-29 14:20:00,349.0,0.0,0.0,Close,-1.0,0.0,2.5,0 days 05:40:14.000000000,340.0
ctwo: 2016-11-29 18:00:38 1 @SMF7 $169,@SMF7,2016-11-29 18:00:38,325.9,2016-11-29 14:20:00,324.2,0.00524367674275,0.00524367674275,Open,-1.0,169.0,2.5,0 days 03:40:38.000000000,220.0
ctwo: 2016-11-29 18:00:24 1.0 @SMF7 $169,@SMF7,2016-11-29 18:00:24,325.9,2016-11-29 14:20:00,324.2,0.00524367674275,0.00524367674275,Close,-1.0,169.0,2.5,0 days 03:40:24.000000000,220.0
ctwo: 2016-11-30 18:00:27 1 @ESZ6 $-12,@ESZ6,2016-11-30 18:00:27,2199.0,2016-11-30 17:00:00,2198.75,0.000113700966458,0.000113700966458,Open,1.0,-12.0,2.5,0 days 01:00:27.000000000,60.0
ctwo: 2016-11-30 18:00:17 1.0 @ESZ6 $-12,@ESZ6,2016-11-30 18:00:17,2199.0,2016-11-30 17:00:00,2198.75,0.000113700966458,0.000113700966458,Close,1.0,-12.0,2.5,0 days 01:00:17.000000000,60.0
ctwo: 2016-11-30 17:00:38 1.0 QNGF7 $19,QNGF7,2016-11-30 17:00:38,3.35,2016-11-30 17:00:00,3.352,-0.000596658711217,0.000596658711217,Close,1.0,19.0,2.5,0 days 00:00:38.000000000,0.0
ctwo: 2016-11-30 18:02:59 1 @EMDZ6 $-159,@EMDZ6,2016-11-30 18:02:59,1628.5,2016-11-30 17:00:00,1626.9,0.000983465486508,0.000983465486508,Open,1.0,-159.0,2.5,0 days 01:02:59.000000000,62.0
ctwo: 2016-11-30 18:02:45 1.0 @EMDZ6 $-159,@EMDZ6,2016-11-30 18:02:45,1628.5,2016-11-30 17:00:00,1626.9,0.000983465486508,0.000983465486508,Close,1.0,-159.0,2.5,0 days 01:02:45.000000000,62.0
ctwo: 2016-11-29 20:00:24 1 @CH7 $-25,@CH7,2016-11-29 20:00:24,349.0,2016-11-30 14:20:00,348.5,0.00143472022956,0.00143472022956,Open,1.0,-25.0,2.5,-1 days +05:40:24.000000000,-1100.0
ctwo: 2016-11-29 20:00:14 1.0 @CH7 $25,@CH7,2016-11-29 20:00:14,349.0,2016-11-30 14:20:00,348.5,0.00143472022956,0.00143472022956,Close,-1.0,25.0,2.5,-1 days +05:40:14.000000000,-1100.0
ctwo: 2016-11-30 17:00:38 1 QNGF7 $129,QNGF7,2016-11-30 17:00:38,3.339,2016-11-30 17:00:00,3.352,-0.00387828162291,0.00387828162291,Open,1.0,129.0,2.5,0 days 00:00:38.000000000,0.0
ctwo: 2016-12-02 16:48:59 1 @TYH7 $0,@TYH7,2016-12-02 16:48:59,124.46875,2016-12-02 17:00:00,124.46875,0.0,0.0,Open,1.0,0.0,2.5,-1 days +23:48:59.000000000,-12.0
ctwo: 2016-12-02 16:48:59 2 @TUH7 $0,@TUH7,2016-12-02 16:48:59,108.4375,2016-12-02 17:00:00,108.4375,0.0,0.0,Open,1.0,0.0,5.0,-1 days +23:48:59.000000000,-12.0
ctwo: 2016-12-02 16:48:58 2.0 @TUH7 $-31,@TUH7,2016-12-02 16:48:58,108.445313,2016-12-02 17:00:00,108.4375,7.2050720461e-05,7.2050720461e-05,Close,1.0,-31.0,5.0,-1 days +23:48:58.000000000,-12.0
ctwo: 2016-12-02 16:48:59 1.0 @TYH7 $-15,@TYH7,2016-12-02 16:48:59,124.484375,2016-12-02 17:00:00,124.46875,0.000125533517449,0.000125533517449,Close,1.0,-15.0,2.5,-1 days +23:48:59.000000000,-12.0
