symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
EURJPY,14,1458668145,,,125.99000,,forex,long,2016-03-22 13:35:45,1458668145,open,2016-03-22 13:35:41,125.99200,10000,,0,1,,,101415892,
AUDUSD,-22,1458723070,,,0.76144,,forex,long,2016-03-23 04:51:10,1458723070,open,2016-03-23 04:51:07,0.76140,10000,,0,1,,,101432219,
GBPJPY,-59,1458717444,,,159.17100,,forex,short,2016-03-23 03:17:24,1458717444,open,2016-03-23 03:17:20,159.16500,10000,,0,1,,,101430810,
GBPUSD,-19,1458724842,,,1.41576,,forex,short,2016-03-23 05:20:42,1458724842,open,2016-03-23 05:20:38,1.41576,10000,,0,1,,,101432582,
USDCAD,-24,1458718588,,,1.31004,,forex,long,2016-03-23 03:36:28,1458718588,open,2016-03-23 03:36:24,1.31007,10000,,0,1,,,101431203,
CHFJPY,0,,,,115.539,,forex,long,,,open,2016-03-23 05:41:10,115.538,10000,,0,1,,,101432803,
EURUSD,20,1458692487,,,1.12098,,forex,short,2016-03-22 20:21:27,1458692487,open,2016-03-22 20:21:24,1.12100,10000,,0,1,,,101423906,
USDCHF,15,1458706538,,,0.97418,,forex,long,2016-03-23 00:15:38,1458706538,open,2016-03-23 00:15:35,0.97417,10000,,0,1,,,101428455,
EURCHF,-3,1458691285,,,1.09152,,forex,short,2016-03-22 20:01:25,1458691285,open,2016-03-22 20:01:21,1.09152,10000,,0,1,,,101423598,
NZDJPY,-1,1458726051,,,75.58200,,forex,short,2016-03-23 05:40:51,1458726051,open,2016-03-23 05:40:47,75.57500,10000,,0,1,,,101432797,
AUDJPY,5,1458721869,,,85.54300,,forex,long,2016-03-23 04:31:09,1458721869,open,2016-03-23 04:31:04,85.54300,10000,,0,1,,,101431953,
CADJPY,0,1458726063,,,86.25600,,forex,short,2016-03-23 05:41:03,1458726063,open,2016-03-23 05:40:59,86.25500,10000,,0,1,,,101432800,
NZDUSD,0,1458725426,,,0.67031,,forex,long,2016-03-23 05:30:26,1458725426,open,2016-03-23 05:21:15,0.67042,10000,,0,1,,,101432594,
EURGBP,6,1458724865,,,0.78983,,forex,short,2016-03-23 05:21:05,1458724865,open,2016-03-23 05:21:01,0.78980,10000,,0,1,,,101432590,
USDJPY,26,1458723055,,,112.44800,,forex,long,2016-03-23 04:50:55,1458723055,open,2016-03-23 04:50:52,112.44900,10000,,0,1,,,101432212,
