symbol,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol_description,trade_id,underlying
EURJPY,1,1458668145,,,125.99000,,forex,long,2016-03-22 13:35:45,1458668145,open,2016-03-22 13:35:41,125.99200,10000,,0,1,,,101415892,
AUDUSD,-26,1458723070,,,0.76144,,forex,long,2016-03-23 04:51:10,1458723070,open,2016-03-23 04:51:07,0.76140,10000,,0,1,,,101432219,
GBPJPY,-35,1458717444,,,159.17100,,forex,short,2016-03-23 03:17:24,1458717444,open,2016-03-23 03:17:20,159.16500,10000,,0,1,,,101430810,
GBPUSD,-8,1458724842,,,1.41576,,forex,short,2016-03-23 05:20:42,1458724842,open,2016-03-23 05:20:38,1.41576,10000,,0,1,,,101432582,
USDCAD,-12,1458718588,,,1.31004,,forex,long,2016-03-23 03:36:28,1458718588,open,2016-03-23 03:36:24,1.31007,10000,,0,1,,,101431203,
NZDJPY,0,,,,75.493,,forex,long,,,open,2016-03-23 05:30:43,75.489,10000,,0,1,,,101432708,
CADJPY,-2,1458724251,,,86.10300,,forex,long,2016-03-23 05:10:51,1458724251,open,2016-03-23 05:10:42,86.10500,10000,,0,1,,,101432462,
EURUSD,23,1458692487,,,1.12098,,forex,short,2016-03-22 20:21:27,1458692487,open,2016-03-22 20:21:24,1.12100,10000,,0,1,,,101423906,
USDCHF,17,1458706538,,,0.97418,,forex,long,2016-03-23 00:15:38,1458706538,open,2016-03-23 00:15:35,0.97417,10000,,0,1,,,101428455,
EURCHF,-2,1458691285,,,1.09152,,forex,short,2016-03-22 20:01:25,1458691285,open,2016-03-22 20:01:21,1.09152,10000,,0,1,,,101423598,
AUDJPY,-7,1458721869,,,85.54300,,forex,long,2016-03-23 04:31:09,1458721869,open,2016-03-23 04:31:04,85.54300,10000,,0,1,,,101431953,
NZDUSD,-2,1458725426,,,0.67031,,forex,long,2016-03-23 05:30:26,1458725426,open,2016-03-23 05:21:15,0.67042,10000,,0,1,,,101432594,
EURGBP,0,1458724865,,,0.78983,,forex,short,2016-03-23 05:21:05,1458724865,open,2016-03-23 05:21:01,0.78980,10000,,0,1,,,101432590,
CHFJPY,-8,1458722449,,,115.34000,,forex,short,2016-03-23 04:40:49,1458722449,open,2016-03-23 04:40:44,115.33300,10000,,0,1,,,101432050,
USDJPY,17,1458723055,,,112.44800,,forex,long,2016-03-23 04:50:55,1458723055,open,2016-03-23 04:50:52,112.44900,10000,,0,1,,,101432212,
