trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,purebalance,unr_pnl
1.0,-14171.134,20160511 21:16:48 EST,20160511 21:16:48 EST,20160511 21:16:48 EST,17713.0,,#US30,long,,20160511 05:37:00 EST,closed,20160511 05:37:00 EST,17854.0,,,2.0,2.0,,#US30,,-14100.0,-2.0,USD,85864.574,71.134,3771300.0,85864.574,85900.0,,85900.0,
2.0,629.162,20160512 10:54:07 EST,20160512 10:54:07 EST,20160512 10:54:07 EST,17706.0,,#US30,short,,20160511 21:16:48 EST,closed,20160511 21:16:48 EST,17713.0,,,2.0,2.0,,#US30,,700.0,2.0,USD,86529.162,70.838,5541900.0,86529.162,86600.0,,86600.0,
3.0,-5270.72,20160512 12:44:01 EST,20160512 12:44:01 EST,20160512 12:44:01 EST,17654.0,,#US30,long,,20160512 10:54:07 EST,closed,20160512 10:54:07 EST,17706.0,,,2.0,2.0,,#US30,,-5200.0,-2.0,USD,81293.854,70.72,7307300.0,81293.854,81400.0,,81400.0,
4.0,-7170.758,20160512 20:43:46 EST,20160512 20:43:46 EST,20160512 20:43:46 EST,17725.0,,#US30,short,,20160512 12:44:01 EST,closed,20160512 12:44:01 EST,17654.0,,,2.0,2.0,,#US30,,-7100.0,2.0,USD,74158.404,70.758,9079800.0,74158.404,74300.0,,74300.0,
5.0,-10870.684,20160513 03:40:06 EST,20160513 03:40:06 EST,20160513 03:40:06 EST,17617.0,,#US30,long,,20160512 20:43:46 EST,closed,20160512 20:43:46 EST,17725.0,,,2.0,2.0,,#US30,,-10800.0,-2.0,USD,63323.17,70.684,10841500.0,63323.17,63500.0,,63500.0,
6.0,-2570.518,20160513 04:29:40 EST,20160513 04:29:40 EST,20160513 04:29:40 EST,17642.0,,#US30,short,,20160513 03:40:06 EST,closed,20160513 03:40:06 EST,17617.0,,,2.0,2.0,,#US30,,-2500.0,2.0,USD,60787.886,70.518,12605700.0,60787.886,61000.0,,61000.0,
7.0,-1670.536,20160513 13:26:21 EST,20160513 13:26:21 EST,20160513 13:26:21 EST,17626.0,,#US30,long,,20160513 04:29:40 EST,closed,20160513 04:29:40 EST,17642.0,,,2.0,2.0,,#US30,,-1600.0,-2.0,USD,59152.634,70.536,14368300.0,59152.634,59400.0,,59400.0,
8.0,4629.59,20160513 14:15:40 EST,20160513 14:15:40 EST,20160513 14:15:40 EST,17579.0,,#US30,short,,20160513 13:26:21 EST,closed,20160513 13:26:21 EST,17626.0,,,2.0,2.0,,#US30,,4700.0,2.0,USD,63817.476,70.41,16126200.0,63817.476,64100.0,,64100.0,
9.0,-4470.228,20160513 16:49:56 EST,20160513 16:49:56 EST,20160513 16:49:56 EST,17535.0,,#US30,long,,20160513 14:15:40 EST,closed,20160513 14:15:40 EST,17579.0,,,2.0,2.0,,#US30,,-4400.0,-2.0,USD,59382.406,70.228,17879700.0,59382.406,59700.0,,59700.0,
10.0,-470.148,20160513 19:05:12 EST,20160513 19:05:12 EST,20160513 19:05:12 EST,17539.0,,#US30,short,,20160513 16:49:56 EST,closed,20160513 16:49:56 EST,17535.0,,,2.0,2.0,,#US30,,-400.0,2.0,USD,58947.328,70.148,19633600.0,58947.328,59300.0,,59300.0,
