trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,balance,commission,margin_available
3,-2.0,,,,0.0,,GBPUSD,long,20160318 06:23:55 EST,20160318 06:23:55 EST,open,20160318 06:23:55 EST,1.44396,10000.0,,0.0,1.0,,GBPUSD,stratv1IB,9994.0,2.0,-6759.832
4,0.47808,20160318 06:24:32 EST,20160318 06:24:32 EST,20160318 06:24:32 EST,0.96955,,USDCHF,long,20160318 06:23:56 EST,20160318 06:24:32 EST,open,20160318 06:23:56 EST,0.96955,10000.0,,1.0,1.0,,USDCHF,stratv1IB,9986.57808,6.0,-32454.04282
2,-6.264,20160318 06:25:38 EST,20160318 06:25:38 EST,20160318 06:25:38 EST,125.542,,EURJPY,long,20160318 06:23:55 EST,20160318 06:25:38 EST,open,20160318 06:23:55 EST,125.542,10000.0,,1.0,1.0,,EURJPY,stratv1IB,9980.31408,6.0,-42269.7511
1,-5.9,20160318 06:24:20 EST,20160318 06:24:20 EST,20160318 06:24:20 EST,1.12729,,EURUSD,long,20160318 06:23:55 EST,20160318 06:26:12 EST,open,20160318 06:23:55 EST,1.12733,10000.0,,1.0,1.0,,EURUSD,stratv1IB,9976.31408,6.0,-64590.7471
6,-8.6,20160318 06:28:15 EST,20160318 06:28:15 EST,20160318 06:28:15 EST,0.76267,,AUDUSD,long,20160318 06:23:57 EST,20160318 06:28:15 EST,open,20160318 06:23:57 EST,0.76267,10000.0,,1.0,1.0,,AUDUSD,stratv1IB,9959.3046,6.0,-56252.6283
8,-9.44148,20160318 06:27:30 EST,20160318 06:27:30 EST,20160318 06:27:30 EST,0.9694,,USDCHF,long,20160318 06:24:43 EST,20160318 06:29:35 EST,open,20160318 06:24:43 EST,0.9696,10000.0,,1.0,1.0,,USDCHF,stratv1IB,9953.2046,6.0,-62420.4195
5,-6.968,20160318 06:26:35 EST,20160318 06:26:35 EST,20160318 06:26:35 EST,111.354,,USDJPY,long,20160318 06:23:56 EST,20160318 06:33:56 EST,open,20160318 06:23:56 EST,111.37,10000.0,,1.0,1.0,,USDJPY,stratv1IB,9938.16678,6.0,-64601.31732
11,-9.9,20160318 06:33:34 EST,20160318 06:33:34 EST,20160318 06:33:34 EST,0.76228,,AUDUSD,long,20160318 06:28:27 EST,20160318 06:36:39 EST,open,20160318 06:28:27 EST,0.76228,10000.0,,1.0,1.0,,AUDUSD,stratv1IB,9928.31878,6.0,-61178.26932
10,-6.1,20160318 06:29:11 EST,20160318 06:29:11 EST,20160318 06:29:11 EST,1.12732,,EURUSD,long,20160318 06:26:23 EST,20160318 06:36:50 EST,open,20160318 06:26:23 EST,1.12672,10000.0,,1.0,1.0,,EURUSD,stratv1IB,9926.31878,6.0,-72445.46932
9,-8.552,20160318 06:35:45 EST,20160318 06:35:45 EST,20160318 06:35:45 EST,125.513,,EURJPY,long,20160318 06:25:50 EST,20160318 06:38:38 EST,open,20160318 06:25:50 EST,125.54,10000.0,,1.0,1.0,,EURJPY,stratv1IB,9920.31878,6.0,-102382.48932
