permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,19.82728,USD,IDEALPRO,1.0,,,1.0,112.655,1000000.0,-1000000.0,-19.82728,SLD,USD,JPY,20160330 08:35:39 EST,,0.0,19980.17272,-591364.0,112.655,20000.0,-19.82728
2,Paper,Paper,19.790672,USD,IDEALPRO,2.0,,,1.0,112.447,1000000.0,0.0,1810.609328,BOT,USD,JPY,20160330 18:07:52 EST,,1830.4,21790.782048,398169.6,112.655,21830.4,1810.609328
3,Paper,Paper,19.79032,USD,IDEALPRO,3.0,,,1.0,112.445,1000000.0,-1000000.0,-19.79032,SLD,USD,JPY,20160330 18:08:23 EST,,0.0,21770.991728,-591346.4,112.445,21830.4,-19.79032
4,Paper,Paper,19.76656,USD,IDEALPRO,4.0,,,1.0,112.31,1000000.0,0.0,1168.23344,BOT,USD,JPY,20160330 20:46:43 EST,,1188.0,22939.225168,396981.6,112.445,23018.4,1168.23344
5,Paper,Paper,19.769728,USD,IDEALPRO,5.0,,,1.0,112.328,1000000.0,-1000000.0,-19.769728,SLD,USD,JPY,20160330 20:47:13 EST,,0.0,22919.45544,-591504.8,112.328,23018.4,-19.769728
6,Paper,Paper,19.779936,USD,IDEALPRO,6.0,,,1.0,112.386,2000000.0,1000000.0,-530.179936,BOT,USD,JPY,20160330 23:09:27 EST,,-510.4,22389.275504,-591504.8,112.386,22508.0,-530.179936
7,Paper,Paper,19.789968,USD,IDEALPRO,7.0,,,1.0,112.443,1000000.0,0.0,481.810032,SLD,USD,JPY,20160331 04:03:48 EST,,501.6,22871.085536,397993.6,112.386,23009.6,481.810032
8,Paper,Paper,19.790144,USD,IDEALPRO,8.0,,,1.0,112.444,1000000.0,-1000000.0,-19.790144,SLD,USD,JPY,20160331 04:04:18 EST,,0.0,22851.295392,-591513.6,112.444,23009.6,-19.790144
9,Paper,Paper,19.788384,USD,IDEALPRO,9.0,,,1.0,112.434,1000000.0,0.0,68.211616,BOT,USD,JPY,20160331 04:25:25 EST,,88.0,22919.507008,397905.6,112.444,23097.6,68.211616
10,Paper,Paper,19.789088,USD,IDEALPRO,10.0,,,1.0,112.438,1000000.0,-1000000.0,-19.789088,SLD,USD,JPY,20160331 04:25:56 EST,,0.0,22899.71792,-591548.8,112.438,23097.6,-19.789088
11,Paper,Paper,19.76568,USD,IDEALPRO,11.0,,,1.0,112.305,2000000.0,1000000.0,1150.63432,BOT,USD,JPY,20160331 11:55:13 EST,,1170.4,24050.35224,-591548.8,112.305,24268.0,1150.63432
12,Paper,Paper,19.765328,USD,IDEALPRO,12.0,,,1.0,112.303,2000000.0,-1000000.0,-37.3653280001,SLD,USD,JPY,20160331 14:27:15 EST,,-17.6000000001,24012.986912,-591548.8,112.303,24250.4,-37.3653280001
13,Paper,Paper,19.76568,USD,IDEALPRO,13.0,,,1.0,112.305,1000000.0,0.0,-37.3656800001,BOT,USD,JPY,20160331 16:43:39 EST,,-17.6000000001,23975.621232,396735.2,112.303,24232.8,-37.3656800001
14,Paper,Paper,19.765328,USD,IDEALPRO,14.0,,,1.0,112.303,1000000.0,-1000000.0,-19.765328,SLD,USD,JPY,20160331 16:44:09 EST,,0.0,23955.855904,-591531.2,112.303,24232.8,-19.765328
15,Paper,Paper,19.765328,USD,IDEALPRO,15.0,,,1.0,112.303,1000000.0,-2000000.0,-19.765328,SLD,USD,JPY,20160401 02:17:47 EST,,0.0,23936.090576,-1579797.6,112.303,24232.8,-19.765328
16,Paper,Paper,19.76568,USD,IDEALPRO,16.0,,,1.0,112.305,1000000.0,-1000000.0,-37.3656800001,BOT,USD,JPY,20160401 03:58:51 EST,,-17.6000000001,23898.724896,-591513.6,112.303,24215.2,-37.3656800001
17,Paper,Paper,19.76568,USD,IDEALPRO,17.0,,,1.0,112.305,2000000.0,1000000.0,-37.3656800001,BOT,USD,JPY,20160401 05:43:23 EST,,-17.6000000001,23861.359216,-591513.6,112.305,24197.6,-37.3656800001
18,Paper,Paper,19.765328,USD,IDEALPRO,18.0,,,1.0,112.303,1000000.0,0.0,-37.3653280001,SLD,USD,JPY,20160401 06:20:29 EST,,-17.6000000001,23823.993888,396752.8,112.305,24180.0,-37.3653280001
19,Paper,Paper,19.765328,USD,IDEALPRO,19.0,,,1.0,112.303,1000000.0,-1000000.0,-19.765328,SLD,USD,JPY,20160401 08:55:24 EST,,0.0,23804.22856,-591513.6,112.303,24180.0,-19.765328
20,Paper,Paper,19.76568,USD,IDEALPRO,20.0,,,1.0,112.305,1000000.0,0.0,-37.3656800001,BOT,USD,JPY,20160401 10:22:11 EST,,-17.6000000001,23766.86288,396770.4,112.303,24162.4,-37.3656800001
21,Paper,Paper,19.76568,USD,IDEALPRO,21.0,,,1.0,112.305,1000000.0,1000000.0,-19.76568,BOT,USD,JPY,20160401 10:22:42 EST,,0.0,23747.0972,-591513.6,112.305,24162.4,-19.76568
22,Paper,Paper,19.765328,USD,IDEALPRO,22.0,,,1.0,112.303,1000000.0,0.0,-37.3653280001,SLD,USD,JPY,20160401 11:02:06 EST,,-17.6000000001,23709.731872,396752.8,112.305,24144.8,-37.3653280001
23,Paper,Paper,19.765328,USD,IDEALPRO,23.0,,,1.0,112.303,1000000.0,-1000000.0,-19.765328,SLD,USD,JPY,20160401 12:37:49 EST,,0.0,23689.966544,-591513.6,112.303,24144.8,-19.765328
24,Paper,Paper,19.76568,USD,IDEALPRO,24.0,,,1.0,112.305,1000000.0,0.0,-37.3656800001,BOT,USD,JPY,20160401 13:53:29 EST,,-17.6000000001,23652.600864,396770.4,112.303,24127.2,-37.3656800001
25,Paper,Paper,19.765328,USD,IDEALPRO,25.0,,,1.0,112.303,1000000.0,-1000000.0,-19.765328,SLD,USD,JPY,20160402 01:56:37 EST,,0.0,23632.835536,-591496.0,112.303,24127.2,-19.765328
26,Paper,Paper,19.76568,USD,IDEALPRO,26.0,,,1.0,112.305,1000000.0,0.0,-37.3656800001,BOT,USD,JPY,20160402 06:31:22 EST,,-17.6000000001,23595.469856,396788.0,112.303,24109.6,-37.3656800001
27,Paper,Paper,19.765328,USD,IDEALPRO,27.0,,,1.0,112.303,1000000.0,-1000000.0,-19.765328,SLD,USD,JPY,20160402 10:05:17 EST,,0.0,23575.704528,-591478.4,112.303,24109.6,-19.765328
28,Paper,Paper,19.624528,USD,IDEALPRO,28.0,,,1.0,111.503,2000000.0,1000000.0,7020.375472,BOT,USD,JPY,20160404 00:46:21 EST,,7040.0,30596.08,-591478.4,111.503,31149.6,7020.375472
29,Paper,Paper,19.6064,USD,IDEALPRO,29.0,,,1.0,111.4,1000000.0,2000000.0,-19.6064,BOT,USD,JPY,20160404 01:52:18 EST,,0.0,30576.4736,-1571798.4,111.4515,31149.6,-19.6064
30,Paper,Paper,39.224416,USD,IDEALPRO,30.0,,,1.0,111.433,3000000.0,-1000000.0,-364.824416,SLD,USD,JPY,20160404 02:40:35 EST,,-325.6,30211.649184,-591188.0,111.433,30824.0,-364.824416
31,Paper,Paper,19.629808,USD,IDEALPRO,31.0,,,1.0,111.533,1000000.0,0.0,-899.629808,BOT,USD,JPY,20160404 03:40:00 EST,,-880.0,29312.019376,390302.4,111.433,29944.0,-899.629808
32,Paper,Paper,19.630336,USD,IDEALPRO,32.0,,,1.0,111.536,1000000.0,-1000000.0,-19.630336,SLD,USD,JPY,20160404 03:50:38 EST,,0.0,29292.38904,-591214.4,111.536,29944.0,-19.630336
33,Paper,Paper,19.649696,USD,IDEALPRO,33.0,,,1.0,111.646,1000000.0,0.0,-987.649696,BOT,USD,JPY,20160404 05:50:00 EST,,-968.0,28304.739344,391270.4,111.536,28976.0,-987.649696
34,Paper,Paper,19.65392,USD,IDEALPRO,34.0,,,1.0,111.67,1000000.0,-1000000.0,-19.65392,SLD,USD,JPY,20160404 07:12:45 EST,,0.0,28285.085424,-591425.6,111.67,28976.0,-19.65392
35,Paper,Paper,19.649344,USD,IDEALPRO,35.0,,,1.0,111.644,2000000.0,1000000.0,209.150656,BOT,USD,JPY,20160404 07:17:48 EST,,228.8,28494.23608,-591425.6,111.644,29204.8,209.150656
36,Paper,Paper,19.62752,USD,IDEALPRO,36.0,,,1.0,111.52,2000000.0,-1000000.0,-1110.82752,SLD,USD,JPY,20160404 08:22:56 EST,,-1091.2,27383.40856,-591425.6,111.52,28113.6,-1110.82752
37,Paper,Paper,19.599536,USD,IDEALPRO,37.0,,,1.0,111.361,1000000.0,-2000000.0,-19.599536,SLD,USD,JPY,20160404 09:33:30 EST,,0.0,27363.809024,-1571402.4,111.4405,28113.6,-19.599536
38,Paper,Paper,19.613088,USD,IDEALPRO,38.0,,,1.0,111.438,1000000.0,-1000000.0,2.38691199998,BOT,USD,JPY,20160404 10:34:55 EST,,22.0,27366.195936,-590748.0,111.4405,28135.6,2.38691199998
39,Paper,Paper,19.578064,USD,IDEALPRO,39.0,,,1.0,111.239,1000000.0,0.0,1753.621936,BOT,USD,JPY,20160404 11:02:16 EST,,1773.2,29119.817872,388155.2,111.4405,29908.8,1753.621936
40,Paper,Paper,19.566096,USD,IDEALPRO,40.0,,,1.0,111.171,1000000.0,-1000000.0,-19.566096,SLD,USD,JPY,20160404 12:45:48 EST,,0.0,29100.251776,-590149.6,111.171,29908.8,-19.566096
41,Paper,Paper,19.580528,USD,IDEALPRO,41.0,,,1.0,111.253,1000000.0,0.0,-741.180528,BOT,USD,JPY,20160404 14:46:50 EST,,-721.6,28359.071248,388876.8,111.171,29187.2,-741.180528
42,Paper,Paper,19.596544,USD,IDEALPRO,42.0,,,1.0,111.344,1000000.0,-1000000.0,-19.596544,SLD,USD,JPY,20160404 15:54:49 EST,,0.0,28339.474704,-590950.4,111.344,29187.2,-19.596544
