trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,purebalance,unr_pnl
1.0,454.2015,20160511 10:28:39 EST,20160511 10:28:39 EST,20160511 10:28:39 EST,16697.02,,#UK_Mid250,short,,20160511 05:36:12 EST,closed,20160511 05:36:12 EST,16702.23,,,2.0,2.0,,#UK_Mid250,,521.0,2.0,USD,100487.60596,66.7985,3669702.0,100487.60596,100521.0,,100521.0,
2.0,48.2096199998,20160511 16:30:17 EST,20160511 16:30:17 EST,20160511 16:30:17 EST,16698.17,,#UK_Mid250,long,,20160511 10:28:39 EST,closed,20160511 10:28:39 EST,16697.02,,,2.0,2.0,,#UK_Mid250,,115.0,-2.0,USD,100569.20962,66.79038,5339519.0,100569.20962,100636.0,,100636.0,
3.0,-8119.95374,20160512 06:55:43 EST,20160512 06:55:43 EST,20160512 06:55:43 EST,16778.7,,#UK_Mid250,short,,20160511 16:30:17 EST,closed,20160511 16:30:17 EST,16698.17,,,2.0,2.0,,#UK_Mid250,,-8053.0,2.0,USD,92482.65222,66.95374,7017389.0,92482.65222,92583.0,,92583.0,
4.0,-9806.92,20160512 10:44:28 EST,20160512 10:44:28 EST,20160512 10:44:28 EST,16681.3,,#UK_Mid250,long,,20160512 06:55:43 EST,closed,20160512 06:55:43 EST,16778.7,,,2.0,2.0,,#UK_Mid250,,-9740.0,-2.0,USD,82709.28962,66.92,8685519.0,82709.28962,82843.0,,82843.0,
5.0,2704.33022,20160513 17:01:30 EST,20160513 17:01:30 EST,20160513 17:01:30 EST,16653.59,,#UK_Mid250,short,,20160512 10:44:28 EST,closed,20160512 10:44:28 EST,16681.3,,,2.0,2.0,,#UK_Mid250,,2771.0,2.0,USD,85446.98244,66.66978,10350878.0,85446.98244,85614.0,,85614.0,
6.0,-2616.56336,20160513 18:15:53 EST,20160513 18:15:53 EST,20160513 18:15:53 EST,16628.09,,#UK_Mid250,long,,20160513 17:01:30 EST,closed,20160513 17:01:30 EST,16653.59,,,2.0,2.0,,#UK_Mid250,,-2550.0,-2.0,USD,82863.72626,66.56336,12013687.0,82863.72626,83064.0,,83064.0,
7.0,-4206.59516,20160516 09:47:27 EST,20160516 09:47:27 EST,20160516 09:47:27 EST,16669.49,,#UK_Mid250,short,,20160513 18:15:53 EST,closed,20160513 18:15:53 EST,16628.09,,,2.0,2.0,,#UK_Mid250,,-4140.0,2.0,USD,78690.38728,66.59516,13680636.0,78690.38728,78924.0,,78924.0,
8.0,101.31868,20160516 10:17:29 EST,20160516 10:17:29 EST,20160516 10:17:29 EST,16671.17,,#UK_Mid250,long,,20160516 09:47:27 EST,closed,20160516 09:47:27 EST,16669.49,,,2.0,2.0,,#UK_Mid250,,168.0,-2.0,USD,78825.04494,66.68132,15347753.0,78825.04494,79092.0,,79092.0,
9.0,-3695.75726,20160516 14:02:37 EST,20160516 14:02:37 EST,20160516 14:02:37 EST,16707.46,,#UK_Mid250,short,,20160516 10:17:29 EST,closed,20160516 10:17:29 EST,16671.17,,,2.0,2.0,,#UK_Mid250,,-3629.0,2.0,USD,75162.63002,66.75726,17018499.0,75162.63002,75463.0,,75463.0,
10.0,13066.90748,20160517 08:39:34 EST,20160517 08:39:34 EST,20160517 08:39:34 EST,16838.8,,#UK_Mid250,long,,20160516 14:02:37 EST,closed,20160516 14:02:37 EST,16707.46,,,2.0,2.0,,#UK_Mid250,,13134.0,-2.0,USD,88262.95242,67.09252,18702379.0,88262.95242,88597.0,,88597.0,
11.0,-275.35936,20160517 08:55:37 EST,20160517 08:55:37 EST,20160517 08:55:37 EST,16840.88,,#UK_Mid250,short,,20160517 08:39:34 EST,closed,20160517 08:39:34 EST,16838.8,,,2.0,2.0,,#UK_Mid250,,-208.0,2.0,USD,88021.27066,67.35936,20386467.0,88021.27066,88389.0,,88389.0,
12.0,-1718.3305,20160517 11:13:18 EST,20160517 11:13:18 EST,20160517 11:13:18 EST,16824.37,,#UK_Mid250,long,,20160517 08:55:37 EST,closed,20160517 08:55:37 EST,16840.88,,,2.0,2.0,,#UK_Mid250,,-1651.0,-2.0,USD,86336.62192,67.3305,22068904.0,86336.62192,86738.0,,86738.0,
13.0,-1895.33404,20160518 08:19:28 EST,20160518 08:19:28 EST,20160518 08:19:28 EST,16842.65,,#UK_Mid250,short,,20160517 11:13:18 EST,closed,20160517 11:13:18 EST,16824.37,,,2.0,2.0,,#UK_Mid250,,-1828.0,2.0,USD,84474.93662,67.33404,23753169.0,84474.93662,84910.0,,84910.0,
14.0,1793.59218,20160518 10:56:38 EST,20160518 10:56:38 EST,20160518 10:56:38 EST,16861.26,,#UK_Mid250,long,,20160518 08:19:28 EST,closed,20160518 08:19:28 EST,16842.65,,,2.0,2.0,,#UK_Mid250,,1861.0,-2.0,USD,86302.2141,67.40782,25439295.0,86302.2141,86771.0,,86771.0,
15.0,-1848.48066,20160518 13:15:13 EST,20160518 13:15:13 EST,20160518 13:15:13 EST,16879.07,,#UK_Mid250,short,,20160518 10:56:38 EST,closed,20160518 10:56:38 EST,16861.26,,,2.0,2.0,,#UK_Mid250,,-1781.0,2.0,USD,84487.45596,67.48066,27127202.0,84487.45596,84990.0,,84990.0,
16.0,-2078.47606,20160520 06:31:31 EST,20160520 06:31:31 EST,20160520 06:31:31 EST,16858.96,,#UK_Mid250,long,,20160518 13:15:13 EST,closed,20160518 13:15:13 EST,16879.07,,,2.0,2.0,,#UK_Mid250,,-2011.0,-2.0,USD,82442.73804,67.47606,28813098.0,82442.73804,82979.0,,82979.0,
17.0,-6868.57186,20160520 11:20:33 EST,20160520 11:20:33 EST,20160520 11:20:33 EST,16926.97,,#UK_Mid250,short,,20160520 06:31:31 EST,closed,20160520 06:31:31 EST,16858.96,,,2.0,2.0,,#UK_Mid250,,-6801.0,2.0,USD,75607.8841,67.57186,30505795.0,75607.8841,76178.0,,76178.0,
18.0,23891.81292,20160525 06:21:57 EST,20160525 06:21:57 EST,20160525 06:21:57 EST,17166.57,,#UK_Mid250,long,,20160520 11:20:33 EST,closed,20160520 11:20:33 EST,16926.97,,,2.0,2.0,,#UK_Mid250,,23960.0,-2.0,USD,99533.55096,68.18708,32222452.0,99533.55096,100138.0,,100138.0,
