trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,balance,commission,margin_available
1,-9.9429264,20160318 06:25:37 EST,20160318 06:25:37 EST,20160318 06:25:37 EST,125.542,,EURJPY,long,20160318 06:23:51 EST,20160318 06:25:37 EST,open,20160318 06:23:51 EST,125.542,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9990.0570736,9.9429264,-135715.44
2,-46.9020816,20160318 06:35:45 EST,20160318 06:35:45 EST,20160318 06:35:45 EST,125.513,,EURJPY,long,20160318 06:25:50 EST,20160318 06:38:38 EST,open,20160318 06:25:50 EST,125.54,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9943.154992,9.9420816,-301465.2
3,23.0541696,20160318 06:42:54 EST,20160318 06:42:54 EST,20160318 06:42:54 EST,125.583,,EURJPY,long,20160318 06:38:49 EST,20160318 06:47:01 EST,open,20160318 06:38:49 EST,125.595,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9966.2091616,9.9458304,-467217.6
4,-29.7456456,20160318 06:50:35 EST,20160318 06:50:35 EST,20160318 06:50:35 EST,125.584,,EURJPY,long,20160318 06:47:12 EST,20160318 06:53:17 EST,open,20160318 06:47:12 EST,125.546,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9936.463516,9.9456456,-632958.12
5,8.53512,20160318 06:59:21 EST,20160318 06:59:21 EST,20160318 06:59:21 EST,125.557,,EURJPY,long,20160318 06:53:29 EST,20160318 07:03:08 EST,open,20160318 06:53:29 EST,125.6,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9944.998636,9.94488,-798731.64
6,7.2115296,20160318 07:12:49 EST,20160318 07:12:49 EST,20160318 07:12:49 EST,125.606,,EURJPY,long,20160318 07:03:20 EST,20160318 07:14:39 EST,open,20160318 07:03:20 EST,125.637,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9952.2101656,9.9484704,-964555.32
7,49.4465136,20160318 07:19:34 EST,20160318 07:19:34 EST,20160318 07:19:34 EST,125.682,,EURJPY,long,20160318 07:14:50 EST,20160318 07:21:04 EST,open,20160318 07:14:50 EST,125.707,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,10001.6566792,9.9534864,-1130429.16
8,-61.4346744,20160318 07:23:51 EST,20160318 07:23:51 EST,20160318 07:23:51 EST,125.667,,EURJPY,long,20160318 07:21:15 EST,20160318 07:29:34 EST,open,20160318 07:21:15 EST,125.698,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9940.2220048,9.9546744,-1296402.0
9,-17.8748856,20160318 07:36:46 EST,20160318 07:36:46 EST,20160318 07:36:46 EST,125.696,,EURJPY,long,20160318 07:29:45 EST,20160318 07:38:44 EST,open,20160318 07:29:45 EST,125.681,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9922.3471192,9.9548856,-1462308.84
10,4.56514079999,20160318 07:40:40 EST,20160318 07:40:40 EST,20160318 07:40:40 EST,125.687,,EURJPY,long,20160318 07:38:56 EST,20160318 07:41:50 EST,open,20160318 07:38:56 EST,125.715,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9926.91226,9.9548592,-1628238.12
11,-35.0367336,20160318 07:43:47 EST,20160318 07:43:47 EST,20160318 07:43:47 EST,125.713,,EURJPY,long,20160318 07:42:01 EST,20160318 07:44:48 EST,open,20160318 07:42:01 EST,125.704,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9891.8755264,9.9567336,-1794192.48
12,-54.833724,20160318 07:45:50 EST,20160318 07:45:50 EST,20160318 07:45:50 EST,125.659,,EURJPY,long,20160318 07:45:02 EST,20160318 07:46:52 EST,open,20160318 07:45:02 EST,125.683,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9837.0418024,9.953724,-1960138.92
13,4.56609120001,20160318 07:47:50 EST,20160318 07:47:50 EST,20160318 07:47:50 EST,125.694,,EURJPY,long,20160318 07:47:05 EST,20160318 07:53:47 EST,open,20160318 07:47:05 EST,125.665,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9841.6078936,9.9539088,-2126002.2
14,37.5662232,20160318 07:55:46 EST,20160318 07:55:46 EST,20160318 07:55:46 EST,125.695,,EURJPY,long,20160318 07:54:00 EST,20160318 07:57:45 EST,open,20160318 07:54:00 EST,125.683,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9879.1741168,9.9537768,-2291856.24
15,-15.2371824,20160318 07:59:39 EST,20160318 07:59:39 EST,20160318 07:59:39 EST,125.677,,EURJPY,long,20160318 07:57:57 EST,20160318 08:09:33 EST,open,20160318 07:57:57 EST,125.808,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9863.9369344,9.9571824,-2457928.08
16,-0.72695040001,20160318 08:11:22 EST,20160318 08:11:22 EST,20160318 08:11:22 EST,125.817,,EURJPY,long,20160318 08:09:45 EST,20160318 08:15:44 EST,open,20160318 08:09:45 EST,125.909,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9863.209984,9.9669504,-2624118.72
17,-37.6917288,20160318 08:17:42 EST,20160318 08:17:42 EST,20160318 08:17:42 EST,125.87,,EURJPY,long,20160318 08:15:55 EST,20160318 08:22:14 EST,open,20160318 08:15:55 EST,125.956,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9825.5182552,9.9717288,-2790408.36
18,-97.090884,20160318 08:27:51 EST,20160318 08:27:51 EST,20160318 08:27:51 EST,125.882,,EURJPY,long,20160318 08:22:26 EST,20160318 08:36:44 EST,open,20160318 08:22:26 EST,125.855,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9728.4273712,9.970884,-2956624.08
19,-70.687716,20160318 08:43:54 EST,20160318 08:43:54 EST,20160318 08:43:54 EST,125.816,,EURJPY,long,20160318 08:36:55 EST,20160318 08:49:51 EST,open,20160318 08:36:55 EST,125.887,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9657.7396552,9.967716,-3122855.64
20,-28.4491944,20160318 08:54:33 EST,20160318 08:54:33 EST,20160318 08:54:33 EST,125.868,,EURJPY,long,20160318 08:50:03 EST,20160318 08:58:20 EST,open,20160318 08:50:03 EST,125.871,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9629.2904608,9.9691944,-3289023.84
21,-36.367188,20160318 08:59:47 EST,20160318 08:59:47 EST,20160318 08:59:47 EST,125.835,,EURJPY,long,20160318 08:58:31 EST,20160318 09:00:43 EST,open,20160318 08:58:31 EST,125.855,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9592.9232728,9.967188,-3455178.84
22,-37.6859736,20160318 09:08:36 EST,20160318 09:08:36 EST,20160318 09:08:36 EST,125.834,,EURJPY,long,20160318 09:00:54 EST,20160318 09:09:48 EST,open,20160318 09:00:54 EST,125.81,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9555.2372992,9.9659736,-3621275.76
23,-61.4432016,20160318 09:11:43 EST,20160318 09:11:43 EST,20160318 09:11:43 EST,125.77,,EURJPY,long,20160318 09:10:00 EST,20160318 09:13:52 EST,open,20160318 09:10:00 EST,125.815,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9493.7940976,9.9632016,-3787403.04
24,-27.1237296,20160318 09:14:49 EST,20160318 09:14:49 EST,20160318 09:14:49 EST,125.802,,EURJPY,long,20160318 09:14:04 EST,20160318 09:16:43 EST,open,20160318 09:14:04 EST,125.797,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9466.670368,9.9637296,-3953472.24
25,-24.4846536,20160318 09:17:40 EST,20160318 09:17:40 EST,20160318 09:17:40 EST,125.799,,EURJPY,long,20160318 09:16:55 EST,20160318 09:24:36 EST,open,20160318 09:16:55 EST,125.84,10000.0,,15.0,15.0,,EURJPY,strat103EURJPYv1,9442.1857144,9.9646536,-4119595.56
26,-3.3220968,,,,0.0,,EURJPY,long,20160318 09:24:49 EST,20160318 09:24:49 EST,open,20160318 09:24:49 EST,125.837,10000.0,,0.0,15.0,,EURJPY,strat103EURJPYv1,9438.8636176,3.3220968,-4285700.4
