Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160329 19:20:27 EST,paperUSD,20000.0,20000.0,400000.0,0,0.0,0.0,USD
20160329 19:20:27 EST,paperUSD,19998.0,20000.0,388798.744,0,-2.0,0.0,USD
20160329 19:20:28 EST,paperUSD,19996.0,20000.0,377509.644,0,-4.0,0.0,USD
20160329 19:20:29 EST,paperUSD,19994.0,20000.0,363129.744,0,-6.0,0.0,USD
20160329 19:20:29 EST,paperUSD,19992.0,20000.0,353345.3127,0,-8.0,0.0,USD
20160329 19:20:30 EST,paperUSD,19990.0,20000.0,345711.9127,0,-10.0,0.0,USD
20160329 19:20:31 EST,paperUSD,19988.0,20000.0,338911.2727,0,-12.0,0.0,USD
20160329 19:20:32 EST,paperUSD,19986.0,20000.0,331317.6647,0,-14.0,0.0,USD
20160329 19:20:33 EST,paperUSD,19984.0,20000.0,321053.5207,0,-16.0,0.0,USD
20160329 19:20:35 EST,paperUSD,19982.0,20000.0,309980.95465,0,-18.0,0.0,USD
20160329 19:20:37 EST,paperUSD,19980.0,20000.0,295712.98665,0,-20.0,0.0,USD
20160329 19:20:39 EST,paperUSD,19978.0,20000.0,284665.32975,0,-22.0,0.0,USD
20160329 19:20:41 EST,paperUSD,19976.0,20000.0,277811.32975,0,-24.0,0.0,USD
20160329 19:24:50 EST,paperUSD,19974.0,20000.0,270238.22575,0,-26.0,0.0,USD
20160329 19:29:40 EST,paperUSD,19972.0,20000.0,260470.97833,0,-28.0,0.0,USD
20160329 19:38:38 EST,paperUSD,19970.704,20000.704,271672.93833,0,-29.296,0.704,USD
20160329 19:41:44 EST,paperUSD,19969.7162,20001.7162,281458.38183,0,-30.2838,1.7162,USD
20160329 19:41:44 EST,paperUSD,19967.7162,20001.7162,271672.93833,0,-32.2838,1.7162,USD
20160329 19:43:52 EST,paperUSD,19968.18262,20004.18262,281437.71933,0,-31.81738,4.18262,USD
20160329 19:44:24 EST,paperUSD,19966.18262,20004.18262,271673.16255,0,-33.81738,4.18262,USD
20160329 19:45:26 EST,paperUSD,19964.35862,20004.35862,285941.30655,0,-35.64138,4.35862,USD
20160329 19:45:57 EST,paperUSD,19969.95862,20011.95862,292802.90655,0,-30.04138,11.95862,USD
20160329 19:45:57 EST,paperUSD,19967.95862,20011.95862,285941.30655,0,-32.04138,11.95862,USD
20160329 19:46:29 EST,paperUSD,19965.95862,20011.95862,271672.81055,0,-34.04138,11.95862,USD
20160329 19:48:00 EST,paperUSD,19966.24662,20014.24662,279248.20255,0,-33.75338,14.24662,USD
20160329 19:48:00 EST,paperUSD,19964.24662,20014.24662,271672.81055,0,-35.75338,14.24662,USD
20160329 19:58:04 EST,paperUSD,19963.79817,20015.79817,282743.82505,0,-36.20183,15.79817,USD
20160329 20:03:13 EST,paperUSD,19965.44209,20019.44209,292525.62463,0,-34.55791,19.44209,USD
20160329 20:03:44 EST,paperUSD,19963.44209,20019.44209,282744.93847,0,-36.55791,19.44209,USD
20160329 20:06:17 EST,paperUSD,19941.81809,19999.81809,296993.81047,0,-58.18191,-0.181909999999,USD
20160329 20:06:17 EST,paperUSD,19939.81809,19999.81809,282744.93847,0,-60.18191,-0.181909999999,USD
20160329 20:07:18 EST,paperUSD,19935.26609,19997.26609,296996.36247,0,-64.73391,-2.73391,USD
20160329 20:07:49 EST,paperUSD,19933.26609,19997.26609,287094.77847,0,-66.73391,-2.73391,USD
20160329 20:08:20 EST,paperUSD,19940.83281,20006.83281,296849.76853,0,-59.16719,6.83281,USD
20160329 20:09:22 EST,paperUSD,19940.59281,20008.59281,306749.59253,0,-59.40719,8.59281,USD
20160329 20:13:03 EST,paperUSD,19938.59281,20008.59281,296993.25715,0,-61.40719,8.59281,USD
20160329 20:14:35 EST,paperUSD,19936.59281,20008.59281,287093.78515,0,-63.40719,8.59281,USD
20160329 20:16:07 EST,paperUSD,19934.85681,20008.85681,296992.99315,0,-65.14319,8.85681,USD
20160329 20:16:08 EST,paperUSD,19945.08881,20021.08881,304556.15315,0,-54.91119,21.08881,USD
20160329 20:16:08 EST,paperUSD,19943.08881,20021.08881,296992.99315,0,-56.91119,21.08881,USD
20160329 20:17:10 EST,paperUSD,19941.08881,20021.08881,287093.52115,0,-58.91119,21.08881,USD
20160329 20:29:06 EST,paperUSD,19948.38881,20030.38881,298391.92115,0,-51.61119,30.38881,USD
20160329 20:30:07 EST,paperUSD,19946.38881,20030.38881,275791.92115,0,-53.61119,30.38881,USD
20160329 20:30:38 EST,paperUSD,19942.78881,20028.78881,287090.32115,0,-57.21119,28.78881,USD
20160329 20:32:13 EST,paperUSD,19940.78881,20028.78881,272846.81715,0,-59.21119,28.78881,USD
20160329 20:32:45 EST,paperUSD,19938.78881,20028.78881,261668.26515,0,-61.21119,28.78881,USD
20160329 20:33:47 EST,paperUSD,19933.64973,20025.64973,271427.73961,0,-66.35027,25.64973,USD
20160329 20:33:47 EST,paperUSD,19932.44173,20026.44173,285670.45161,0,-67.55827,26.44173,USD
20160329 20:34:18 EST,paperUSD,19931.93773,20027.93773,296850.49961,0,-68.06227,27.93773,USD
20160329 20:34:19 EST,paperUSD,19929.93773,20027.93773,287092.07151,0,-70.06227,27.93773,USD
20160329 20:34:50 EST,paperUSD,19927.93773,20027.93773,272845.48751,0,-72.06227,27.93773,USD
20160329 20:35:21 EST,paperUSD,19925.93773,20027.93773,261662.53551,0,-74.06227,27.93773,USD
20160329 20:36:25 EST,paperUSD,19920.32973,20024.32973,272841.87951,0,-79.67027,24.32973,USD
20160329 20:38:33 EST,paperUSD,19917.72241,20023.72241,282623.17299,0,-82.27759,23.72241,USD
20160329 20:39:38 EST,paperUSD,19916.25041,20024.25041,296869.22899,0,-83.74959,24.25041,USD
20160329 20:40:41 EST,paperUSD,19909.85041,20019.85041,304427.98899,0,-90.14959,19.85041,USD
20160329 20:42:47 EST,paperUSD,19907.85041,20019.85041,293355.98714,0,-92.14959,19.85041,USD
20160329 20:42:48 EST,paperUSD,19905.85041,20019.85041,285799.86714,0,-94.14959,19.85041,USD
