Date,accountid,balance,buy_power,unr_pnl,real_pnl,currency
20160318 06:23:55 EST,paperUSD,10000.0,30000.0,0,0.0,USD
20160318 06:23:55 EST,paperUSD,9998.0,18727.2,0,-2.0,USD
20160318 06:23:55 EST,paperUSD,9996.0,7679.768,0,-4.0,USD
20160318 06:23:55 EST,paperUSD,9994.0,-6759.832,0,-6.0,USD
20160318 06:23:56 EST,paperUSD,9992.0,-16580.09518,0,-8.0,USD
20160318 06:23:56 EST,paperUSD,9990.0,-26380.21518,0,-10.0,USD
20160318 06:23:57 EST,paperUSD,9988.0,-34004.31518,0,-12.0,USD
20160318 06:23:57 EST,paperUSD,9986.0,-43726.94282,0,-14.0,USD
20160318 06:24:20 EST,paperUSD,9984.1,-32454.04282,0,-15.9,USD
20160318 06:24:32 EST,paperUSD,9988.57808,-22640.25772,0,-11.42192,USD
20160318 06:24:32 EST,paperUSD,9986.57808,-32454.04282,0,-13.42192,USD
20160318 06:24:43 EST,paperUSD,9984.57808,-42269.7511,0,-15.42192,USD
20160318 06:25:38 EST,paperUSD,9982.31408,-31222.0551,0,-17.68592,USD
20160318 06:25:38 EST,paperUSD,9980.31408,-42269.7511,0,-19.68592,USD
20160318 06:25:50 EST,paperUSD,9978.31408,-53317.4471,0,-21.68592,USD
20160318 06:26:12 EST,paperUSD,9976.31408,-64590.7471,0,-23.68592,USD
20160318 06:26:23 EST,paperUSD,9974.31408,-75864.0471,0,-25.68592,USD
20160318 06:26:35 EST,paperUSD,9971.34608,-66064.8951,0,-28.65392,USD
20160318 06:27:30 EST,paperUSD,9965.9046,-56252.6283,0,-34.0954,USD
20160318 06:28:15 EST,paperUSD,9961.3046,-48625.9283,0,-38.6954,USD
20160318 06:28:15 EST,paperUSD,9959.3046,-56252.6283,0,-40.6954,USD
20160318 06:28:27 EST,paperUSD,9957.3046,-63879.3283,0,-42.6954,USD
20160318 06:29:11 EST,paperUSD,9955.2046,-52606.1283,0,-44.7954,USD
20160318 06:29:35 EST,paperUSD,9953.2046,-62420.4195,0,-46.7954,USD
20160318 06:29:47 EST,paperUSD,9951.2046,-72234.91314,0,-48.7954,USD
20160318 06:33:34 EST,paperUSD,9945.3046,-64612.11314,0,-54.6954,USD
20160318 06:33:45 EST,paperUSD,9940.16678,-54800.75732,0,-59.83322,USD
20160318 06:33:56 EST,paperUSD,9938.16678,-64601.31732,0,-61.83322,USD
20160318 06:34:08 EST,paperUSD,9936.16678,-74401.78932,0,-63.83322,USD
