trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance
2.0,-2.0,,,,0.0,,EURJPY,short,,20160322 07:04:38 EST,open,20160322 07:04:38 EST,125.247,,,0.0,1.0,,EURJPY,,0.0,-1.0,19996.0,2.0,366551.264,20000.0
10.0,-2.0,,,,0.0,,EURGBP,short,,20160322 07:04:40 EST,open,20160322 07:04:40 EST,0.7856,,,0.0,1.0,,EURGBP,,0.0,-1.0,19980.0,2.0,260528.41708,20000.0
14.0,-7.2,20160322 07:05:43 EST,20160322 07:05:43 EST,20160322 07:05:43 EST,0.67495,,NZDUSD,short,,20160322 07:04:41 EST,closed,20160322 07:04:41 EST,0.67479,,,2.0,2.0,,NZDUSD,,-3.2,2.0,19966.8,4.0,183931.44818,19996.8
13.0,-3.912,20160322 07:08:43 EST,20160322 07:08:43 EST,20160322 07:08:43 EST,84.91,,AUDJPY,long,,20160322 07:04:41 EST,closed,20160322 07:04:41 EST,84.909,,,1.0,1.0,,AUDJPY,,0.0880000000004,-1.0,19964.888,4.0,191403.52818,19996.888
9.0,-10.336,20160322 07:13:51 EST,20160322 07:13:51 EST,20160322 07:13:51 EST,85.408,,CADJPY,long,,20160322 07:04:40 EST,closed,20160322 07:04:40 EST,85.48,,,1.0,1.0,,CADJPY,,-6.336,-1.0,19954.552,4.0,191447.35218,19990.552
15.0,-1.36,20160322 07:19:58 EST,20160322 07:19:58 EST,20160322 07:19:58 EST,84.88,,AUDJPY,short,,20160322 07:08:43 EST,closed,20160322 07:08:43 EST,84.91,,,1.0,1.0,,AUDJPY,,2.64,1.0,19951.192,4.0,183799.08818,19993.192
5.0,-17.024,20160322 07:21:25 EST,20160322 07:21:25 EST,20160322 07:21:25 EST,111.663,,USDJPY,long,,20160322 07:04:39 EST,closed,20160322 07:04:39 EST,111.7,,,4.0,4.0,,USDJPY,,-13.024,-4.0,19934.168,4.0,215635.02418,19980.168
11.0,-10.864,20160322 07:23:04 EST,20160322 07:23:04 EST,20160322 07:23:04 EST,159.505,,GBPJPY,short,,20160322 07:04:41 EST,closed,20160322 07:04:41 EST,159.427,,,1.0,1.0,,GBPJPY,,-6.864,1.0,19923.304,4.0,219845.12018,19973.304
16.0,-5.584,20160322 07:23:43 EST,20160322 07:23:43 EST,20160322 07:23:43 EST,85.426,,CADJPY,short,,20160322 07:13:51 EST,closed,20160322 07:13:51 EST,85.408,,,1.0,1.0,,CADJPY,,-1.584,1.0,19917.72,4.0,213326.16818,19971.72
4.0,-4.60732,20160322 07:25:12 EST,20160322 07:25:12 EST,20160322 07:25:12 EST,0.97088,,USDCHF,long,,20160322 07:04:39 EST,closed,20160322 07:04:39 EST,0.97094,,,1.0,1.0,,USDCHF,,-0.607319999999,-1.0,19913.11268,4.0,215635.92754,19971.11268
19.0,13.776,20160322 07:37:45 EST,20160322 07:37:45 EST,20160322 07:37:45 EST,159.707,,GBPJPY,long,,20160322 07:23:04 EST,closed,20160322 07:23:04 EST,159.505,,,1.0,1.0,,GBPJPY,,17.776,-1.0,19919.08868,4.0,176861.70106,19985.08868
6.0,-16.5,20160322 07:53:01 EST,20160322 07:53:01 EST,20160322 07:53:01 EST,0.760545,,AUDUSD,short,,20160322 07:17:42 EST,closed,20160322 07:04:40 EST,0.76012,,,2.0,2.0,,AUDUSD,,-8.5,1.0,19908.38868,8.0,143863.08106,19980.38868
23.0,4.888,20160322 07:53:16 EST,20160322 07:53:16 EST,20160322 07:53:16 EST,159.606,,GBPJPY,short,,20160322 07:37:45 EST,closed,20160322 07:37:45 EST,159.707,,,1.0,1.0,,GBPJPY,,8.888,1.0,19913.27668,4.0,127484.80906,19989.27668
21.0,-42.72,20160322 07:55:33 EST,20160322 07:55:33 EST,20160322 07:55:33 EST,115.103,,CHFJPY,short,,20160322 07:25:49 EST,closed,20160322 07:25:49 EST,115.015,,,5.0,5.0,,CHFJPY,,-38.72,5.0,19870.55668,4.0,164084.80106,19950.55668
18.0,-6.464,20160322 07:56:35 EST,20160322 07:56:35 EST,20160322 07:56:35 EST,111.691,,USDJPY,short,,20160322 07:21:25 EST,closed,20160322 07:21:25 EST,111.663,,,1.0,1.0,,USDJPY,,-2.464,1.0,19864.09268,4.0,143526.41706,19948.09268
1.0,-12.4,20160322 07:58:13 EST,20160322 07:58:13 EST,20160322 07:58:13 EST,1.12177,,EURUSD,short,,20160322 07:04:38 EST,closed,20160322 07:04:38 EST,1.12135,,,2.0,2.0,,EURUSD,,-8.4,2.0,19851.69268,4.0,156133.00906,19939.69268
26.0,-1.096,20160322 08:02:33 EST,20160322 08:02:33 EST,20160322 08:02:33 EST,115.114,,CHFJPY,long,,20160322 07:55:33 EST,closed,20160322 07:55:33 EST,115.103,,,3.0,3.0,,CHFJPY,,2.904,-3.0,19852.59668,4.0,186523.10506,19942.59668
20.0,-12.096,20160322 08:03:26 EST,20160322 08:03:26 EST,20160322 08:03:26 EST,85.334,,CADJPY,long,,20160322 07:23:43 EST,closed,20160322 07:23:43 EST,85.426,,,1.0,1.0,,CADJPY,,-8.096,-1.0,19840.50068,4.0,183902.46506,19934.50068
22.0,-13.21102,20160322 08:06:07 EST,20160322 08:06:07 EST,20160322 08:06:07 EST,0.96993,,USDCHF,long,,20160322 07:35:26 EST,closed,20160322 07:35:26 EST,0.97084,,,1.0,1.0,,USDCHF,,-9.21102,-1.0,19810.22406,4.0,199469.13652,19910.22406
