Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160323 05:41:10 EST,paperUSD,20000.0,20000.0,400000.0,0,0.0,0.0,USD
20160323 05:41:10 EST,paperUSD,19998.0,20000.0,384934.752,0,-2.0,0.0,USD
20160323 08:43:28 EST,paperUSD,19964.672,19968.672,399968.672,0,-35.328,-31.328,USD
20160323 08:56:20 EST,paperUSD,19962.672,19968.672,362400.592,0,-37.328,-31.328,USD
20160323 09:15:57 EST,paperUSD,19995.432,20003.432,399933.912,0,-4.568,3.432,USD
20160323 09:15:57 EST,paperUSD,19993.432,20003.432,392427.248,0,-6.568,3.432,USD
20160323 09:52:02 EST,paperUSD,19979.376,19991.376,399921.856,0,-20.624,-8.624,USD
20160323 10:10:00 EST,paperUSD,19977.376,19991.376,392431.296,0,-22.624,-8.624,USD
20160323 10:37:14 EST,paperUSD,19975.376,19991.376,369963.576,0,-24.624,-8.624,USD
20160323 10:41:15 EST,paperUSD,19966.094,19984.094,377445.864,0,-33.906,-15.906,USD
20160323 10:45:47 EST,paperUSD,19964.094,19984.094,369956.976,0,-35.906,-15.906,USD
20160323 10:50:50 EST,paperUSD,19966.7745,19988.7745,377451.056,0,-33.2255,-11.2255,USD
20160323 10:54:21 EST,paperUSD,19974.328,19998.328,399928.808,0,-25.672,-1.672,USD
20160323 10:54:21 EST,paperUSD,19972.328,19998.328,377451.056,0,-27.672,-1.672,USD
20160323 10:56:54 EST,paperUSD,19970.328,19998.328,369956.184,0,-29.672,-1.672,USD
20160323 11:00:26 EST,paperUSD,19979.284,20009.284,392424.696,0,-20.716,9.284,USD
20160323 11:03:27 EST,paperUSD,19980.584,20012.584,399914.552,0,-19.416,12.584,USD
20160323 11:09:29 EST,paperUSD,19978.584,20012.584,392423.024,0,-21.416,12.584,USD
20160323 11:12:00 EST,paperUSD,19974.824,20010.824,399916.312,0,-25.176,10.824,USD
20160323 11:20:03 EST,paperUSD,19972.824,20010.824,392432.44,0,-27.176,10.824,USD
20160323 11:23:04 EST,paperUSD,19973.552,20013.552,399919.04,0,-26.448,13.552,USD
20160323 11:25:06 EST,paperUSD,19971.552,20013.552,362500.56,0,-28.448,13.552,USD
20160323 11:31:38 EST,paperUSD,19909.272,19953.272,399858.76,0,-90.728,-46.728,USD
20160323 11:31:38 EST,paperUSD,19907.272,19953.272,369972.2,0,-92.728,-46.728,USD
