trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl,unr_pnl,currency
1.0,-4.0,20160323 05:41:43 EST,20160323 05:41:43 EST,20160323 05:41:43 EST,0.67039,,NZDUSD,short,,20160323 05:41:05 EST,closed,20160323 05:41:05 EST,0.67039,,,1.0,1.0,,NZDUSD,,-1.11022302463e-12,1.0,19996.0,4.0,400000.0,20000.0,,,,,
2.0,-7.2,20160323 06:05:05 EST,20160323 06:05:05 EST,20160323 06:05:05 EST,0.67007,,NZDUSD,long,,20160323 05:41:43 EST,closed,20160323 05:41:43 EST,0.67039,,,1.0,1.0,,NZDUSD,,-3.2,-1.0,19988.8,4.0,399996.8,19996.8,,,,,
3.0,-2.1,20160323 06:24:24 EST,20160323 06:24:24 EST,20160323 06:24:24 EST,0.66988,,NZDUSD,short,,20160323 06:05:05 EST,closed,20160323 06:05:05 EST,0.67007,,,1.0,1.0,,NZDUSD,,1.9,1.0,19986.7,4.0,399994.9,19998.7,,,,,
4.0,19.7,20160323 07:47:05 EST,20160323 07:47:05 EST,20160323 07:47:05 EST,0.67225,,NZDUSD,long,,20160323 06:24:24 EST,closed,20160323 06:24:24 EST,0.66988,,,1.0,1.0,,NZDUSD,,23.7,-1.0,20006.4,4.0,400018.6,20022.4,,,,,
5.0,-11.3,20160323 08:29:24 EST,20160323 08:29:24 EST,20160323 08:29:24 EST,0.67026,,NZDUSD,long,,20160323 08:06:56 EST,closed,20160323 08:06:56 EST,0.67099,,,1.0,1.0,,NZDUSD,,-7.3,-1.0,19995.1,4.0,400011.3,20015.1,,,,,
6.0,2.3,20160323 08:35:39 EST,20160323 08:35:39 EST,20160323 08:35:39 EST,0.67023,,NZDUSD,short,,20160323 08:32:26 EST,closed,20160323 08:29:24 EST,0.670396,,,5.0,5.0,,NZDUSD,,8.3,5.0,19997.4,6.0,400003.0,20023.4,,,,,
7.0,5.5,20160323 08:38:46 EST,20160323 08:38:46 EST,20160323 08:38:46 EST,0.67042,,NZDUSD,long,,20160323 08:35:39 EST,closed,20160323 08:35:39 EST,0.67023,,,5.0,5.0,,NZDUSD,,9.5,-5.0,20002.9,4.0,400012.5,20032.9,,,,,
8.0,-4.6,20160323 08:45:35 EST,20160323 08:45:35 EST,20160323 08:45:35 EST,0.67048,,NZDUSD,short,,20160323 08:38:46 EST,closed,20160323 08:38:46 EST,0.67042,,,1.0,1.0,,NZDUSD,,-0.599999999999,1.0,19998.3,4.0,400013.1,20032.3,,,,,
9.0,14.0,20160323 08:48:46 EST,20160323 08:48:46 EST,20160323 08:48:46 EST,0.67084,,NZDUSD,long,,20160323 08:45:35 EST,closed,20160323 08:45:35 EST,0.67048,,,5.0,5.0,,NZDUSD,,18.0,-5.0,20012.3,4.0,400031.1,20050.3,,,,,
10.0,-6.7,20160323 08:57:41 EST,20160323 08:57:41 EST,20160323 08:57:41 EST,0.67054,,NZDUSD,long,,20160323 08:54:47 EST,closed,20160323 08:52:12 EST,0.670554,,,5.0,5.0,,NZDUSD,,-0.699999999998,-5.0,20005.6,6.0,400030.4,20049.6,,,,,
11.0,23.5,20160323 09:01:11 EST,20160323 09:01:11 EST,20160323 09:01:11 EST,0.66999,,NZDUSD,short,,20160323 08:57:41 EST,closed,20160323 08:57:41 EST,0.67054,,,5.0,5.0,,NZDUSD,,27.5,5.0,20029.1,4.0,400002.9,20077.1,,,,,
12.0,-19.0,20160323 09:04:20 EST,20160323 09:04:20 EST,20160323 09:04:20 EST,0.66969,,NZDUSD,long,,20160323 09:01:11 EST,closed,20160323 09:01:11 EST,0.66999,,,5.0,5.0,,NZDUSD,,-15.0,-5.0,20010.1,4.0,399987.9,20062.1,,,,,
13.0,-6.5,20160323 09:12:07 EST,20160323 09:12:07 EST,20160323 09:12:07 EST,0.66974,,NZDUSD,short,,20160323 09:04:20 EST,closed,20160323 09:04:20 EST,0.66969,,,5.0,5.0,,NZDUSD,,-2.5,5.0,20003.6,4.0,399990.4,20059.6,,,,,
14.0,-14.0,20160323 09:23:58 EST,20160323 09:23:58 EST,20160323 09:23:58 EST,0.66954,,NZDUSD,long,,20160323 09:12:07 EST,closed,20160323 09:12:07 EST,0.66974,,,5.0,5.0,,NZDUSD,,-10.0,-5.0,19989.6,4.0,399980.4,20049.6,,,,,
15.0,-10.2,20160323 09:26:31 EST,20160323 09:26:31 EST,20160323 09:26:31 EST,0.67016,,NZDUSD,short,,20160323 09:23:58 EST,closed,20160323 09:23:58 EST,0.66954,,,1.0,1.0,,NZDUSD,,-6.2,1.0,19979.4,4.0,399986.6,20043.4,,,,,
