Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160509 05:11:17 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20160511 10:39:24 EST,paperUSD,99593.279,99600.0,2336050.0,0,-406.721,-400.0,USD,99593.279,99600.0,0
20160511 12:06:53 EST,paperUSD,99186.566,99200.0,2671700.0,0,-813.434,-800.0,USD,99186.566,99200.0,0
20160511 22:35:15 EST,paperUSD,100109.8716,100130.0,3006420.0,0,109.8716,130.0,USD,100109.8716,100130.0,0
20160512 02:16:19 EST,paperUSD,99103.1972,99130.0,3340140.0,0,-896.8028,-870.0,USD,99103.1972,99130.0,0
20160512 03:40:43 EST,paperUSD,97016.4812,97050.0,3675940.0,0,-2983.5188,-2950.0,USD,97016.4812,97050.0,0
20160512 05:14:04 EST,paperUSD,100149.7024,100190.0,4014880.0,0,149.7024,190.0,USD,100149.7024,100190.0,0
20160512 06:57:18 EST,paperUSD,98732.8954,98780.0,4355230.0,0,-1267.1046,-1220.0,USD,98732.8954,98780.0,0
20160512 10:33:09 EST,paperUSD,101956.149,102010.0,4692550.0,0,1956.149,2010.0,USD,101956.149,102010.0,0
20160512 11:05:22 EST,paperUSD,99419.4532,99480.0,5027340.0,0,-580.5468,-520.0,USD,99419.4532,99480.0,0
