permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,22.430848,USD,IDEALPRO,1.0,,,1.0,127.448,1000000.0,1000000.0,-22.430848,BOT,EUR,JPY,20160330 08:35:45 EST,,0.0,19977.569152,-721542.4,127.448,20000.0,-22.430848
2,Paper,Paper,22.6252,USD,IDEALPRO,2.0,,,1.0,1.13126,1000000.0,1000000.0,-22.6252,BOT,EUR,USD,20160330 08:36:35 EST,,0.0,19954.943952,-1852802.4,1.13126,20000.0,-22.6252
3,Paper,Paper,28.8078,USD,IDEALPRO,3.0,,,1.0,1.44039,1000000.0,1000000.0,-28.8078,BOT,GBP,USD,20160330 08:36:47 EST,,0.0,19926.136152,-3293192.4,1.44039,20000.0,-28.8078
4,Paper,Paper,19.52918436,USD,IDEALPRO,4.0,,,1.0,0.96469,1000000.0,-1000000.0,-19.52918436,SLD,USD,CHF,20160330 08:36:53 EST,,0.0,19906.6069676,-4269651.618,0.96469,20000.0,-19.52918436
5,Paper,Paper,19.827456,USD,IDEALPRO,5.0,,,1.0,112.656,1000000.0,-1000000.0,-19.827456,SLD,USD,JPY,20160330 08:36:57 EST,,0.0,19886.7795116,-5261024.418,112.656,20000.0,-19.827456
6,Paper,Paper,15.3514,USD,IDEALPRO,6.0,,,1.0,0.76757,1000000.0,1000000.0,-15.3514,BOT,AUD,USD,20160330 08:37:02 EST,,0.0,19871.4281116,-6028594.418,0.76757,20000.0,-15.3514
7,Paper,Paper,19.43583804,USD,IDEALPRO,7.0,,,1.0,1.30023,1000000.0,-1000000.0,-19.43583804,SLD,USD,CAD,20160330 08:37:05 EST,,0.0,19851.9922736,-7000386.32,1.30023,20000.0,-19.43583804
8,Paper,Paper,13.736448,USD,IDEALPRO,8.0,,,1.0,78.048,1000000.0,1000000.0,-13.736448,BOT,NZD,JPY,20160330 08:37:09 EST,,0.0,19838.2558256,-7687208.72,78.048,20000.0,-13.736448
9,Paper,Paper,15.250224,USD,IDEALPRO,9.0,,,1.0,86.649,1000000.0,1000000.0,-15.250224,BOT,CAD,JPY,20160330 08:37:12 EST,,0.0,19823.0056016,-8449719.92,86.649,20000.0,-15.250224
10,Paper,Paper,20.554512,USD,IDEALPRO,10.0,,,1.0,116.787,1000000.0,1000000.0,-20.554512,BOT,CHF,JPY,20160330 08:37:16 EST,,0.0,19802.4510896,-9477445.52,116.787,20000.0,-20.554512
11,Paper,Paper,22.1544414,USD,IDEALPRO,11.0,,,1.0,0.78534,1000000.0,-1000000.0,-22.1544414,SLD,EUR,GBP,20160330 08:37:19 EST,,0.0,19780.2966482,-10585167.59,0.78534,20000.0,-22.1544414
12,Paper,Paper,28.556704,USD,IDEALPRO,12.0,,,1.0,162.254,1000000.0,-1000000.0,-28.556704,SLD,GBP,JPY,20160330 08:37:21 EST,,0.0,19751.7399442,-12013002.79,162.254,20000.0,-28.556704
13,Paper,Paper,22.09308696,USD,IDEALPRO,13.0,,,1.0,1.09134,1000000.0,1000000.0,-22.09308696,BOT,EUR,CHF,20160330 08:37:25 EST,,0.0,19729.6468572,-13117657.138,1.09134,20000.0,-22.09308696
14,Paper,Paper,15.219424,USD,IDEALPRO,14.0,,,1.0,86.474,1000000.0,-1000000.0,-15.219424,SLD,AUD,JPY,20160330 08:37:26 EST,,0.0,19714.4274332,-13878628.338,86.474,20000.0,-15.219424
15,Paper,Paper,13.859,USD,IDEALPRO,15.0,,,1.0,0.69295,1000000.0,1000000.0,-13.859,BOT,NZD,USD,20160330 08:37:28 EST,,0.0,19700.5684332,-14571578.338,0.69295,20000.0,-13.859
16,Paper,Paper,15.202352,USD,IDEALPRO,16.0,,,1.0,86.377,2000000.0,1000000.0,838.397648,BOT,AUD,JPY,20160330 09:02:24 EST,,853.6,20538.9660812,-14571578.338,86.377,20853.6,838.397648
17,Paper,Paper,22.6214,USD,IDEALPRO,17.0,,,1.0,1.13107,2000000.0,-1000000.0,-212.6214,SLD,EUR,USD,20160330 09:41:21 EST,,-190.0,20326.3446812,-14571578.338,1.13107,20663.6,-212.6214
18,Paper,Paper,28.56568,USD,IDEALPRO,18.0,,,1.0,162.305,2000000.0,1000000.0,-477.36568,BOT,GBP,JPY,20160330 09:43:24 EST,,-448.8,19848.9790012,-14571578.338,162.305,20214.8,-477.36568
19,Paper,Paper,22.6526,USD,IDEALPRO,19.0,,,1.0,1.13263,2000000.0,1000000.0,-1582.6526,BOT,EUR,USD,20160330 10:05:09 EST,,-1560.0,18266.3264012,-14571578.338,1.13263,18654.8,-1582.6526
20,Paper,Paper,22.08802596,USD,IDEALPRO,20.0,,,1.0,1.09109,2000000.0,-1000000.0,-275.13802596,SLD,EUR,CHF,20160330 10:16:04 EST,,-253.05,17991.1883752,-14571578.338,1.09109,18401.75,-275.13802596
21,Paper,Paper,22.06353072,USD,IDEALPRO,21.0,,,1.0,1.08988,2000000.0,1000000.0,1202.69846928,BOT,EUR,CHF,20160330 10:37:06 EST,,1224.762,19193.8868445,-14571578.338,1.08988,19626.512,1202.69846928
22,Paper,Paper,22.11495048,USD,IDEALPRO,22.0,,,1.0,1.09242,2000000.0,-1000000.0,2548.87304952,SLD,EUR,CHF,20160330 11:02:15 EST,,2570.988,21742.759894,-14571578.338,1.09242,22197.5,2548.87304952
23,Paper,Paper,22.1803946,USD,IDEALPRO,23.0,,,1.0,0.78626,2000000.0,1000000.0,-1319.8403946,BOT,EUR,GBP,20160330 11:02:51 EST,,-1297.66,20422.9194994,-14571578.338,0.78626,20899.84,-1319.8403946
24,Paper,Paper,22.6692,USD,IDEALPRO,24.0,,,1.0,1.13346,2000000.0,-1000000.0,807.3308,SLD,EUR,USD,20160330 11:34:41 EST,,830.0,21230.2502994,-14571578.338,1.13346,21729.84,807.3308
25,Paper,Paper,22.6714,USD,IDEALPRO,25.0,,,1.0,1.13357,2000000.0,1000000.0,-132.6714,BOT,EUR,USD,20160330 11:35:12 EST,,-110.0,21097.5788994,-14571578.338,1.13357,21619.84,-132.6714
26,Paper,Paper,22.6506,USD,IDEALPRO,26.0,,,1.0,1.13253,2000000.0,-1000000.0,-1062.6506,SLD,EUR,USD,20160330 11:58:17 EST,,-1040.0,20034.9282994,-14571578.338,1.13253,20579.84,-1062.6506
27,Paper,Paper,19.50590376,USD,IDEALPRO,27.0,,,1.0,0.96354,2000000.0,1000000.0,1144.52409624,BOT,USD,CHF,20160330 12:30:46 EST,,1164.03,21179.4523956,-14571578.338,0.96354,21743.87,1144.52409624
28,Paper,Paper,22.2111435,USD,IDEALPRO,28.0,,,1.0,0.78735,2000000.0,-1000000.0,1515.2338565,SLD,EUR,GBP,20160330 12:33:50 EST,,1537.445,22694.6862521,-14571578.338,0.78735,23281.315,1515.2338565
29,Paper,Paper,22.659,USD,IDEALPRO,29.0,,,1.0,1.13295,2000000.0,1000000.0,-442.659,BOT,EUR,USD,20160330 12:43:04 EST,,-420.0,22252.0272521,-14571578.338,1.13295,22861.315,-442.659
30,Paper,Paper,28.49,USD,IDEALPRO,30.0,,,1.0,161.875,2000000.0,-1000000.0,-3812.49,SLD,GBP,JPY,20160330 12:50:13 EST,,-3784.0,18439.5372521,-14571578.338,161.875,19077.315,-3812.49
31,Paper,Paper,22.0943016,USD,IDEALPRO,31.0,,,1.0,1.0914,2000000.0,1000000.0,1010.3496984,BOT,EUR,CHF,20160330 12:53:18 EST,,1032.444,19449.8869505,-14571578.338,1.0914,20109.759,1010.3496984
32,Paper,Paper,19.50549888,USD,IDEALPRO,32.0,,,1.0,0.96352,2000000.0,-1000000.0,-39.7494988799,SLD,USD,CHF,20160330 13:09:17 EST,,-20.2439999999,19410.1374516,-14571578.338,0.96352,20089.515,-39.7494988799
33,Paper,Paper,22.226659,USD,IDEALPRO,33.0,,,1.0,0.7879,2000000.0,1000000.0,-798.001659,BOT,EUR,GBP,20160330 13:20:31 EST,,-775.775,18612.1357926,-14571578.338,0.7879,19313.74,-798.001659
34,Paper,Paper,22.2269411,USD,IDEALPRO,34.0,,,1.0,0.78791,2000000.0,-1000000.0,-8.12194110006,SLD,EUR,GBP,20160330 13:34:26 EST,,14.1049999999,18604.0138515,-14571578.338,0.78791,19327.845,-8.12194110006
35,Paper,Paper,22.636,USD,IDEALPRO,35.0,,,1.0,1.1318,2000000.0,-1000000.0,-1172.636,SLD,EUR,USD,20160330 13:36:29 EST,,-1150.0,17431.3778515,-14571578.338,1.1318,18177.845,-1172.636
36,Paper,Paper,28.468352,USD,IDEALPRO,36.0,,,1.0,161.752,2000000.0,1000000.0,1053.931648,BOT,GBP,JPY,20160330 13:40:06 EST,,1082.4,18485.3094995,-14571578.338,161.752,19260.245,1053.931648
37,Paper,Paper,22.2224275,USD,IDEALPRO,37.0,,,1.0,0.78775,2000000.0,1000000.0,203.4575725,BOT,EUR,GBP,20160330 13:59:45 EST,,225.68,18688.767072,-14571578.338,0.78775,19485.925,203.4575725
38,Paper,Paper,22.6406,USD,IDEALPRO,38.0,,,1.0,1.13203,2000000.0,1000000.0,-252.6406,BOT,EUR,USD,20160330 14:07:56 EST,,-230.0,18436.126472,-14571578.338,1.13203,19255.925,-252.6406
39,Paper,Paper,22.10320896,USD,IDEALPRO,39.0,,,1.0,1.09184,2000000.0,-1000000.0,423.26479104,SLD,EUR,CHF,20160330 14:25:36 EST,,445.368,18859.391263,-14571578.338,1.09184,19701.293,423.26479104
40,Paper,Paper,22.2252485,USD,IDEALPRO,40.0,,,1.0,0.78785,2000000.0,-1000000.0,118.8247515,SLD,EUR,GBP,20160330 14:30:46 EST,,141.05,18978.2160145,-14571578.338,0.78785,19842.343,118.8247515
41,Paper,Paper,15.17296,USD,IDEALPRO,41.0,,,1.0,86.21,2000000.0,-1000000.0,-1484.77296,SLD,AUD,JPY,20160330 14:37:58 EST,,-1469.6,17493.4430545,-14571578.338,86.21,18372.743,-1484.77296
42,Paper,Paper,28.453392,USD,IDEALPRO,42.0,,,1.0,161.667,2000000.0,-1000000.0,-776.453392,SLD,GBP,JPY,20160330 14:44:39 EST,,-748.0,16716.9896625,-14571578.338,161.667,17624.743,-776.453392
43,Paper,Paper,15.261136,USD,IDEALPRO,43.0,,,1.0,86.711,2000000.0,-1000000.0,530.338864,SLD,CAD,JPY,20160330 14:45:10 EST,,545.6,17247.3285265,-14571578.338,86.711,18170.343,530.338864
44,Paper,Paper,22.6604,USD,IDEALPRO,44.0,,,1.0,1.13302,2000000.0,-1000000.0,967.3396,SLD,EUR,USD,20160330 15:05:20 EST,,990.0,18214.6681265,-14571578.338,1.13302,19160.343,967.3396
45,Paper,Paper,28.45744,USD,IDEALPRO,45.0,,,1.0,161.69,2000000.0,1000000.0,-230.85744,BOT,GBP,JPY,20160330 15:10:13 EST,,-202.4,17983.8106865,-14571578.338,161.69,18957.943,-230.85744
46,Paper,Paper,19.792432,USD,IDEALPRO,46.0,,,1.0,112.457,2000000.0,1000000.0,1731.407568,BOT,USD,JPY,20160330 15:14:53 EST,,1751.2,19715.2182545,-14571578.338,112.457,20709.143,1731.407568
