permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,75.568,10000.0,-10000.0,-2.0,SLD,NZD,JPY,20160323 05:41:14 EST,,0.0,19998.0,393350.016,75.568,20000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,75.451,40000.0,-50000.0,-2.0,SLD,NZD,JPY,20160323 06:13:49 EST,,0.0,19996.0,366791.264,75.4744,20000.0,-2.0
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,75.677,60000.0,10000.0,-91.144,BOT,NZD,JPY,20160323 07:40:51 EST,,-89.144,19904.856,393429.568,75.677,19910.856,-91.144
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,75.62,40000.0,50000.0,-2.0,BOT,NZD,JPY,20160323 09:30:42 EST,,0.0,19902.856,366811.328,75.6314,19910.856,-2.0
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,75.576,40000.0,10000.0,-21.5008,SLD,NZD,JPY,20160323 09:31:51 EST,,-19.5008,19881.3552,393414.08,75.6314,19891.3552,-21.5008
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,75.578,40000.0,50000.0,-2.0,BOT,NZD,JPY,20160323 09:34:15 EST,,0.0,19879.3552,366810.624,75.58868,19891.3552,-2.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,75.573,40000.0,10000.0,-7.51936000001,SLD,NZD,JPY,20160323 09:37:16 EST,,-5.51936000001,19871.83584,393412.32,75.58868,19885.83584,-7.51936000001
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,75.542,20000.0,-10000.0,-6.10784,SLD,NZD,JPY,20160323 09:38:13 EST,,-4.10784,19865.728,393412.32,75.542,19881.728,-6.10784
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,75.576,20000.0,10000.0,-4.992,BOT,NZD,JPY,20160323 09:39:21 EST,,-2.992,19860.736,393412.32,75.576,19878.736,-4.992
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,75.532,40000.0,50000.0,-2.0,BOT,NZD,JPY,20160323 09:40:51 EST,,0.0,19858.736,366825.056,75.5408,19878.736,-2.0
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,75.489,40000.0,10000.0,-20.2336,SLD,NZD,JPY,20160323 09:42:29 EST,,-18.2336,19838.5024,393397.184,75.5408,19860.5024,-20.2336
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,75.509,40000.0,50000.0,-2.0,BOT,NZD,JPY,20160323 09:46:32 EST,,0.0,19836.5024,366818.016,75.51536,19860.5024,-2.0
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,75.487,60000.0,-10000.0,-14.4784,SLD,NZD,JPY,20160323 09:49:28 EST,,-12.4784,19822.024,393389.44,75.487,19848.024,-14.4784
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,75.5,60000.0,50000.0,-3.144,BOT,NZD,JPY,20160323 09:53:50 EST,,-1.144,19818.88,366813.44,75.5,19846.88,-3.144
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,75.494,60000.0,-10000.0,-4.64,SLD,NZD,JPY,20160323 09:58:30 EST,,-2.64,19814.24,393387.328,75.494,19844.24,-4.64
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,75.506,60000.0,50000.0,-3.056,BOT,NZD,JPY,20160323 10:02:33 EST,,-1.056,19811.184,366809.216,75.506,19843.184,-3.056
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,75.465,50000.0,0.0,-20.04,SLD,NZD,JPY,20160323 10:05:05 EST,,-18.04,19791.144,400013.816,75.506,19825.144,-20.04
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,75.433,50000.0,50000.0,-2.0,BOT,NZD,JPY,20160323 10:10:04 EST,,0.0,19789.144,366823.296,75.433,19825.144,-2.0
