Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160323 05:41:18 EST,paperUSD,20000.0,20000.0,400000.0,0,0.0,0.0,USD
20160323 05:41:18 EST,paperUSD,19998.0,20000.0,392407.1,0,-2.0,0.0,USD
20160323 05:44:53 EST,paperUSD,19993.3,19997.3,399997.3,0,-6.7,-2.7,USD
20160323 05:44:53 EST,paperUSD,19991.3,19997.3,392407.1,0,-8.7,-2.7,USD
20160323 06:21:07 EST,paperUSD,20000.6,20008.6,399986.0,0,0.600000000001,8.6,USD
20160323 06:21:07 EST,paperUSD,19998.6,20008.6,392407.1,0,-1.4,8.6,USD
20160323 06:31:59 EST,paperUSD,19998.2,20010.2,399987.6,0,-1.8,10.2,USD
20160323 06:31:59 EST,paperUSD,19996.2,20010.2,392407.1,0,-3.8,10.2,USD
20160323 06:55:41 EST,paperUSD,19982.4,19998.4,399999.4,0,-17.6,-1.6,USD
20160323 06:55:41 EST,paperUSD,19980.4,19998.4,392407.1,0,-19.6,-1.6,USD
20160323 07:10:35 EST,paperUSD,19974.4,19994.4,399995.4,0,-25.6,-5.6,USD
20160323 07:10:35 EST,paperUSD,19972.4,19994.4,392407.1,0,-27.6,-5.6,USD
20160323 07:36:08 EST,paperUSD,19960.4,19984.4,400005.4,0,-39.6,-15.6,USD
20160323 07:36:08 EST,paperUSD,19958.4,19984.4,392407.1,0,-41.6,-15.6,USD
20160323 07:58:48 EST,paperUSD,19950.4,19978.4,399999.4,0,-49.6,-21.6,USD
20160323 07:58:48 EST,paperUSD,19948.4,19978.4,392407.1,0,-51.6,-21.6,USD
20160323 08:12:38 EST,paperUSD,19954.1,19986.1,399991.7,0,-45.9,-13.9,USD
20160323 08:12:38 EST,paperUSD,19952.1,19986.1,392407.1,0,-47.9,-13.9,USD
20160323 08:26:48 EST,paperUSD,19944.2,19980.2,399985.8,0,-55.8,-19.8,USD
20160323 08:26:48 EST,paperUSD,19942.2,19980.2,392407.1,0,-57.8,-19.8,USD
20160323 12:06:30 EST,paperUSD,19984.2,20024.2,399941.8,0,-15.8,24.2,USD
20160323 12:06:30 EST,paperUSD,19982.2,20024.2,392407.1,0,-17.8,24.2,USD
20160323 12:33:26 EST,paperUSD,19969.9,20013.9,399931.5,0,-30.1,13.9,USD
20160323 12:33:26 EST,paperUSD,19967.9,20013.9,392407.1,0,-32.1,13.9,USD
20160323 12:58:32 EST,paperUSD,19956.5,20004.5,399940.9,0,-43.5,4.5,USD
20160323 12:58:32 EST,paperUSD,19954.5,20004.5,392407.1,0,-45.5,4.5,USD
20160323 13:51:15 EST,paperUSD,19953.4,20005.4,399941.8,0,-46.6,5.4,USD
20160323 13:51:15 EST,paperUSD,19951.4,20005.4,392407.1,0,-48.6,5.4,USD
20160323 14:21:36 EST,paperUSD,19943.1,19999.1,399948.1,0,-56.9,-0.9,USD
20160323 14:21:36 EST,paperUSD,19941.1,19999.1,392407.1,0,-58.9,-0.9,USD
20160323 15:21:02 EST,paperUSD,19923.6,19983.6,399932.6,0,-76.4,-16.4,USD
20160323 15:21:02 EST,paperUSD,19921.6,19983.6,392407.1,0,-78.4,-16.4,USD
20160323 18:18:58 EST,paperUSD,19909.1,19973.1,399943.1,0,-90.9,-26.9,USD
20160323 18:18:58 EST,paperUSD,19907.1,19973.1,392407.1,0,-92.9,-26.9,USD
