Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160410 12:41:27 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160410 12:41:27 EST,paperUSD,99981.5145,100000.0,1992605.8,-18.4855,-18.4855,0.0,USD,99963.029,100000.0,0.0
20160410 12:43:44 EST,paperUSD,99971.009,100008.0,1992605.8,-18.5055,-28.991,8.0,USD,99952.5035,100008.0,0.0
20160410 13:00:02 EST,paperUSD,99957.115,100012.6,1992605.8,-18.494,-42.885,12.6,USD,99938.621,100012.6,0.0
20160410 13:02:22 EST,paperUSD,99958.2119,100032.24,1992605.8,-18.5431,-41.7881,32.24,USD,99939.6688,100032.24,0.0
20160410 13:04:39 EST,paperUSD,99958.7564,100051.28,1992605.8,-18.4955,-41.2436,51.28,USD,99940.2609,100051.28,0.0
20160410 13:06:57 EST,paperUSD,99940.0614,100051.08,1992605.8,-18.495,-59.9386,51.08,USD,99921.5664,100051.08,0.0
20160410 13:21:27 EST,paperUSD,99909.1354,100038.68,1992605.8,-18.526,-90.8646,38.68,USD,99890.6094,100038.68,0.0
20160410 13:23:49 EST,paperUSD,99890.6094,100038.68,1992605.8,-18.526,-109.3906,38.68,USD,99872.0834,100038.68,0.0
20160410 13:58:51 EST,paperUSD,99882.5094,100049.08,1992605.8,-18.5,-117.4906,49.08,USD,99864.0094,100049.08,0.0
20160410 14:04:03 EST,paperUSD,99864.2089,100049.28,1992605.8,-18.5005,-135.7911,49.28,USD,99845.7084,100049.28,0.0
20160410 14:14:19 EST,paperUSD,99851.26225,100054.82,1992605.8,-18.48665,-148.73775,54.82,USD,99832.7756,100054.82,0.0
20160410 14:16:58 EST,paperUSD,99838.10225,100060.16,1992605.8,-18.5,-161.89775,60.16,USD,99819.60225,100060.16,0.0
20160410 14:53:25 EST,paperUSD,99817.5371,100058.1,1992605.8,-18.50515,-182.4629,58.1,USD,99799.03195,100058.1,0.0
20160410 14:55:58 EST,paperUSD,99808.80745,100067.9,1992605.8,-18.52965,-191.19255,67.9,USD,99790.2778,100067.9,0.0
20160410 15:06:28 EST,paperUSD,99792.14245,100069.76,1992605.8,-18.525,-207.85755,69.76,USD,99773.61745,100069.76,0.0
20160410 15:09:04 EST,paperUSD,99773.53765,100069.68,1992605.8,-18.5248,-226.46235,69.68,USD,99755.01285,100069.68,0.0
20160410 15:11:46 EST,paperUSD,99755.01285,100069.68,1992605.8,-18.5248,-244.98715,69.68,USD,99736.48805,100069.68,0.0
20160410 15:17:05 EST,paperUSD,99736.56785,100069.76,1992605.8,-18.525,-263.43215,69.76,USD,99718.04285,100069.76,0.0
20160410 15:30:14 EST,paperUSD,99730.07285,100081.76,1992605.8,-18.495,-269.92715,81.76,USD,99711.57785,100081.76,0.0
20160410 15:35:39 EST,paperUSD,99712.715,100082.9,1992605.8,-18.49785,-287.285,82.9,USD,99694.21715,100082.9,0.0
20160410 16:20:53 EST,paperUSD,99693.355,100082.04,1992605.8,-18.5,-306.645,82.04,USD,99674.855,100082.04,0.0
20160410 16:23:28 EST,paperUSD,99674.855,100082.04,1992605.8,-18.5,-325.145,82.04,USD,99656.355,100082.04,0.0
20160410 16:55:36 EST,paperUSD,99663.974,100089.64,1992605.8,-18.481,-336.026,89.64,USD,99645.493,100089.64,0.0
20160410 16:58:18 EST,paperUSD,99649.084,100093.24,1992605.8,-18.49,-350.916,93.24,USD,99630.594,100093.24,0.0
20160410 17:04:22 EST,paperUSD,99634.604,100097.24,1992605.8,-18.48,-365.396,97.24,USD,99616.124,100097.24,0.0
20160410 17:09:37 EST,paperUSD,99618.13895,100099.26,1992605.8,-18.48505,-381.86105,99.26,USD,99599.6539,100099.26,0.0
20160410 17:55:40 EST,paperUSD,99599.293,100098.9,1992605.8,-18.48595,-400.707,98.9,USD,99580.80705,100098.9,0.0
20160410 17:58:33 EST,paperUSD,99580.80705,100098.9,1992605.8,-18.48595,-419.19295,98.9,USD,99562.3211,100098.9,0.0
20160410 18:01:24 EST,paperUSD,99566.0905,100102.66,1992605.8,-18.47655,-433.9095,102.66,USD,99547.61395,100102.66,0.0
20160410 18:10:07 EST,paperUSD,99550.9855,100106.04,1992605.8,-18.485,-449.0145,106.04,USD,99532.5005,100106.04,0.0
20160410 18:13:00 EST,paperUSD,99539.518,100113.04,1992605.8,-18.4675,-460.482,113.04,USD,99521.0505,100113.04,0.0
20160410 18:15:54 EST,paperUSD,99514.1079,100106.08,1992605.8,-18.4501,-485.8921,106.08,USD,99495.6578,100106.08,0.0
20160410 18:44:11 EST,paperUSD,99495.6578,100106.08,1992605.8,-18.4501,-504.3422,106.08,USD,99477.2077,100106.08,0.0
20160410 18:47:04 EST,paperUSD,99492.03055,100120.94,1992605.8,-18.48725,-507.96945,120.94,USD,99473.5433,100120.94,0.0
20160410 18:50:05 EST,paperUSD,99488.07955,100135.44,1992605.8,-18.451,-511.92045,135.44,USD,99469.62855,100135.44,0.0
20160410 18:52:48 EST,paperUSD,99484.07235,100149.92,1992605.8,-18.4872,-515.92765,149.92,USD,99465.58515,100149.92,0.0
20160410 19:09:07 EST,paperUSD,99480.30185,100164.6,1992605.8,-18.4505,-519.69815,164.6,USD,99461.85135,100164.6,0.0
