permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,0.6873,20000.0,20000.0,-2.0,BOT,NZD,USD,20160425 07:16:20 EST,,0.0,99998.0,1986254.0,99997.0,0.6873,100001.0,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,0.68742,20000.0,0.0,0.4,SLD,NZD,USD,20160425 07:30:35 EST,,2.4,99998.4,2000002.4,99998.4,0.6873,100002.4,100002.4,0.4
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,0.6856,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160425 11:35:15 EST,,0.0,99996.4,1986290.4,99994.6,0.6856,100002.6,100002.4,-2.0
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,0.69921,20000.0,0.0,-274.2,BOT,NZD,USD,20160502 10:40:54 EST,,-272.2,99722.2,2000274.6,99722.2,0.6856,99730.2,99730.2,-274.2
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,0.69981,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160502 10:58:16 EST,,0.0,99720.2,1986278.4,99712.2,0.69981,99724.2,99730.2,-2.0
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,0.70006,40000.0,20000.0,-7.0,BOT,NZD,USD,20160502 11:21:10 EST,,-5.0,99713.2,1986278.4,99709.0,0.70006,99723.0,99725.2,-7.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,0.70044,40000.0,-20000.0,5.6,SLD,NZD,USD,20160502 11:53:12 EST,,7.6,99718.8,1986278.4,99715.2,0.70044,99731.2,99732.8,5.6
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,0.70153,40000.0,20000.0,-23.8,BOT,NZD,USD,20160502 12:38:43 EST,,-21.8,99695.0,1986278.4,99691.9,0.70153,99709.9,99711.0,-23.8
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,0.70193,40000.0,-20000.0,6.0,SLD,NZD,USD,20160502 13:05:57 EST,,8.0,99701.0,1986278.4,99696.8,0.70193,99716.8,99719.0,6.0
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,0.70192,20000.0,0.0,-1.8,BOT,NZD,USD,20160502 13:29:02 EST,,0.200000000001,99699.2,2000316.8,99699.2,0.70193,99719.2,99719.2,-1.8
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,0.70175,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160502 13:42:26 EST,,0.0,99697.2,1986281.8,99695.1,0.70175,99719.1,99719.2,-2.0
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,0.70115,20000.0,0.0,10.0,BOT,NZD,USD,20160502 14:00:22 EST,,12.0,99707.2,2000304.8,99707.2,0.70175,99731.2,99731.2,10.0
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,0.6807,20000.0,20000.0,-2.0,BOT,NZD,USD,20160511 06:34:15 EST,,0.0,99705.2,1986690.8,99699.4,0.6807,99727.4,99731.2,-2.0
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,0.68208,40000.0,-20000.0,25.6,SLD,NZD,USD,20160511 11:03:15 EST,,27.6,99730.8,1986690.8,99723.4,0.68208,99753.4,99758.8,25.6
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,0.68306,20000.0,0.0,-21.6,BOT,NZD,USD,20160511 15:00:10 EST,,-19.6,99709.2,2000352.0,99709.2,0.68208,99739.2,99739.2,-21.6
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,0.683,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160511 15:07:48 EST,,0.0,99707.2,1986692.0,99700.2,0.683,99734.2,99739.2,-2.0
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,0.68314,20000.0,0.0,-4.8,BOT,NZD,USD,20160511 15:48:23 EST,,-2.8,99702.4,2000354.8,99702.4,0.683,99736.4,99736.4,-4.8
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,0.68233,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160511 16:15:29 EST,,0.0,99700.4,1986708.2,99690.8,0.68233,99728.8,99736.4,-2.0
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,0.68271,20000.0,0.0,-9.6,BOT,NZD,USD,20160511 16:19:33 EST,,-7.6,99690.8,2000362.4,99690.8,0.68233,99728.8,99728.8,-9.6
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,0.68153,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160511 20:24:21 EST,,0.0,99688.8,1986731.8,99681.8,0.68153,99723.8,99728.8,-2.0
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,0.68239,20000.0,0.0,-19.2,BOT,NZD,USD,20160511 22:22:31 EST,,-17.2,99669.6,2000379.6,99669.6,0.68153,99711.6,99711.6,-19.2
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,0.68203,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160511 22:43:16 EST,,0.0,99667.6,1986739.0,99661.0,0.68203,99707.0,99711.6,-2.0
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,0.68274,40000.0,-20000.0,-2.6,SLD,NZD,USD,20160512 01:47:36 EST,,-0.599999999999,99665.0,1986739.0,99662.0,0.68274,99710.0,99711.0,-2.6
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,0.6824,40000.0,20000.0,4.8,BOT,NZD,USD,20160512 03:12:14 EST,,6.8,99669.8,1986739.0,99663.0,0.6824,99713.0,99717.8,4.8
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,0.68242,40000.0,-20000.0,-1.6,SLD,NZD,USD,20160512 05:29:13 EST,,0.4,99668.2,1986739.0,99661.6,0.68242,99713.6,99718.2,-1.6
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,0.68215,40000.0,20000.0,3.4,BOT,NZD,USD,20160512 06:54:13 EST,,5.4,99671.6,1986739.0,99671.0,0.68215,99725.0,99723.6,3.4
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,0.68074,20000.0,0.0,-30.2,SLD,NZD,USD,20160512 08:29:40 EST,,-28.2,99641.4,2000353.8,99641.4,0.68215,99695.4,99695.4,-30.2
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,0.68335,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160512 10:26:17 EST,,0.0,99639.4,1986686.8,99633.0,0.68335,99691.0,99695.4,-2.0
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,0.68203,20000.0,0.0,24.4,BOT,NZD,USD,20160512 11:46:36 EST,,26.4,99663.8,2000327.4,99663.8,0.68335,99721.8,99721.8,24.4
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,0.68183,20000.0,-20000.0,-2.0,SLD,NZD,USD,20160512 14:49:39 EST,,0.0,99661.8,1986690.8,99655.2,0.68183,99717.2,99721.8,-2.0
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,0.68217,20000.0,0.0,-8.8,BOT,NZD,USD,20160512 15:08:45 EST,,-6.8,99653.0,2000334.2,99653.0,0.68183,99715.0,99715.0,-8.8
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,0.68166,20000.0,20000.0,-2.0,BOT,NZD,USD,20160512 15:36:09 EST,,0.0,99651.0,1986701.0,99649.7,0.68166,99715.7,99715.0,-2.0
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,0.68155,20000.0,0.0,-4.2,SLD,NZD,USD,20160512 15:47:21 EST,,-2.2,99646.8,2000332.0,99646.8,0.68166,99712.8,99712.8,-4.2
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,0.68145,40000.0,-20000.0,-9.2,SLD,NZD,USD,20160512 18:34:08 EST,,-7.2,99637.6,2000332.0,99630.4,0.68145,99700.4,99705.6,-9.2
