Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160504 20:56:37 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20160504 23:10:53 EST,paperUSD,98981.73232,98999.0,2863384.0,0,-1018.26768,-1001.0,USD,98981.73232,98999.0,0
20160504 23:22:16 EST,paperUSD,97963.48466,97998.0,3725767.0,0,-2036.51534,-2002.0,USD,97963.48466,97998.0,0
20160505 00:58:20 EST,paperUSD,96945.21698,96997.0,4589151.0,0,-3054.78302,-3003.0,USD,96945.21698,96997.0,0
20160505 01:14:18 EST,paperUSD,95926.96932,95996.0,5451534.0,0,-4073.03068,-4004.0,USD,95926.96932,95996.0,0
20160505 03:23:40 EST,paperUSD,94908.70164,94995.0,6314918.0,0,-5091.29836,-5005.0,USD,94908.70164,94995.0,0
20160505 03:39:38 EST,paperUSD,93890.45398,93994.0,7177301.0,0,-6109.54602,-6006.0,USD,93890.45398,93994.0,0
20160505 06:18:18 EST,paperUSD,92872.1863,92993.0,8040685.0,0,-7127.8137,-7007.0,USD,92872.1863,92993.0,0
20160505 06:35:14 EST,paperUSD,91853.93864,91992.0,8903068.0,0,-8146.06136,-8008.0,USD,91853.93864,91992.0,0
20160505 14:19:45 EST,paperUSD,90835.67096,90991.0,9766452.0,0,-9164.32904,-9009.0,USD,90835.67096,90991.0,0
20160505 14:34:19 EST,paperUSD,89817.4233,89990.0,10628835.0,0,-10182.5767,-10010.0,USD,89817.4233,89990.0,0
20160505 18:17:45 EST,paperUSD,88799.15562,88989.0,11492219.0,0,-11200.84438,-11011.0,USD,88799.15562,88989.0,0
20160505 18:35:25 EST,paperUSD,87780.90796,87988.0,12354602.0,0,-12219.09204,-12012.0,USD,87780.90796,87988.0,0
20160506 12:12:23 EST,paperUSD,101339.93182,101564.0,13203409.0,0,1339.93182,1564.0,USD,101339.93182,101564.0,0
20160506 12:28:58 EST,paperUSD,99822.98568,100064.0,14050716.0,0,-177.01432,64.0,USD,99822.98568,100064.0,0
20160506 13:14:47 EST,paperUSD,98306.00954,98564.0,14899523.0,0,-1693.99046,-1436.0,USD,98306.00954,98564.0,0
20160506 13:47:33 EST,paperUSD,96789.0634,97064.0,15746830.0,0,-3210.9366,-2936.0,USD,96789.0634,97064.0,0
20160506 14:20:12 EST,paperUSD,95272.08726,95564.0,16595637.0,0,-4727.91274,-4436.0,USD,95272.08726,95564.0,0
20160506 14:52:42 EST,paperUSD,93755.14112,94064.0,17442944.0,0,-6244.85888,-5936.0,USD,93755.14112,94064.0,0
20160506 15:06:51 EST,paperUSD,92238.16498,92564.0,18291751.0,0,-7761.83502,-7436.0,USD,92238.16498,92564.0,0
20160506 15:38:57 EST,paperUSD,90721.21884,91064.0,19139058.0,0,-9278.78116,-8936.0,USD,90721.21884,91064.0,0
20160506 19:07:53 EST,paperUSD,89204.2427,89564.0,19987865.0,0,-10795.7573,-10436.0,USD,89204.2427,89564.0,0
20160506 20:11:53 EST,paperUSD,87687.29656,88064.0,20835172.0,0,-12312.70344,-11936.0,USD,87687.29656,88064.0,0
20160506 20:58:44 EST,paperUSD,86170.32042,86564.0,21683979.0,0,-13829.67958,-13436.0,USD,86170.32042,86564.0,0
20160506 21:47:20 EST,paperUSD,84653.34428,85064.0,22532786.0,0,-15346.65572,-14936.0,USD,84653.34428,85064.0,0
20160506 22:19:19 EST,paperUSD,83136.39814,83564.0,23380093.0,0,-16863.60186,-16436.0,USD,83136.39814,83564.0,0
20160506 23:40:43 EST,paperUSD,81619.422,82064.0,24228900.0,0,-18380.578,-17936.0,USD,81619.422,82064.0,0
20160506 23:54:36 EST,paperUSD,80102.47586,80564.0,25076207.0,0,-19897.52414,-19436.0,USD,80102.47586,80564.0,0
20160507 01:16:46 EST,paperUSD,78585.49972,79064.0,25925014.0,0,-21414.50028,-20936.0,USD,78585.49972,79064.0,0
20160507 01:32:31 EST,paperUSD,77068.55358,77564.0,26772321.0,0,-22931.44642,-22436.0,USD,77068.55358,77564.0,0
20160507 02:02:07 EST,paperUSD,75551.57744,76064.0,27621128.0,0,-24448.42256,-23936.0,USD,75551.57744,76064.0,0
20160507 02:21:49 EST,paperUSD,74034.6313,74564.0,28468435.0,0,-25965.3687,-25436.0,USD,74034.6313,74564.0,0
20160507 03:40:34 EST,paperUSD,72517.65516,73064.0,29317242.0,0,-27482.34484,-26936.0,USD,72517.65516,73064.0,0
20160507 03:56:40 EST,paperUSD,71000.70902,71564.0,30164549.0,0,-28999.29098,-28436.0,USD,71000.70902,71564.0,0
