permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,1.33614,10000.0,10000.0,-2.0,BOT,USD,CAD,20160316 12:49:05 EST,
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,1.33607333333,20000.0,-10000.0,-1.00346666667,SLD,USD,CAD,20160316 12:49:25 EST,
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,1.33609111111,20000.0,10000.0,-1.73425774456,BOT,USD,CAD,20160316 12:53:25 EST,
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,1.3360837037,20000.0,-10000.0,-1.88927408515,SLD,USD,CAD,20160316 12:54:25 EST,
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,1.33596123457,20000.0,10000.0,-3.83066860507,BOT,USD,CAD,20160316 12:55:23 EST,
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,1.33566707819,20000.0,-10000.0,2.39704956824,SLD,USD,CAD,20160316 12:56:23 EST,
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,1.33561569273,20000.0,10000.0,-2.76810985608,BOT,USD,CAD,20160316 12:57:21 EST,
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,1.33499189758,20000.0,-10000.0,7.32448995202,SLD,USD,CAD,20160316 13:02:32 EST,
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,1.33467063253,20000.0,10000.0,-6.80227001723,BOT,USD,CAD,20160316 13:04:40 EST,
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,1.33464354418,20000.0,-10000.0,-1.59508329437,SLD,USD,CAD,20160316 13:06:44 EST,
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,1.33478784806,20000.0,10000.0,0.15705439824,BOT,USD,CAD,20160316 13:13:30 EST,
