permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,15.224,USD,IDEALPRO,1.0,,,1.0,86.5,1000000.0,-1000000.0,-15.224,SLD,AUD,JPY,20160330 08:35:41 EST,,0.0,19984.776,-361200.0,86.5,20000.0,-15.224
2,Paper,Paper,15.202704,USD,IDEALPRO,2.0,,,1.0,86.379,2000000.0,1000000.0,1049.597296,BOT,AUD,JPY,20160330 09:02:16 EST,,1064.8,21034.373296,-361200.0,86.379,21064.8,1049.597296
3,Paper,Paper,15.17296,USD,IDEALPRO,3.0,,,1.0,86.21,2000000.0,-1000000.0,-1502.37296,SLD,AUD,JPY,20160330 14:37:52 EST,,-1487.2,19532.000336,-361200.0,86.21,19577.6,-1502.37296
4,Paper,Paper,15.1756,USD,IDEALPRO,4.0,,,1.0,86.225,2000000.0,1000000.0,-147.1756,BOT,AUD,JPY,20160330 16:07:02 EST,,-132.0,19384.824736,-361200.0,86.225,19445.6,-147.1756
5,Paper,Paper,15.17824,USD,IDEALPRO,5.0,,,1.0,86.24,2000000.0,-1000000.0,116.82176,SLD,AUD,JPY,20160330 16:34:56 EST,,132.0,19501.646496,-361200.0,86.24,19577.6,116.82176
6,Paper,Paper,15.178592,USD,IDEALPRO,6.0,,,1.0,86.242,2000000.0,1000000.0,-32.7785920001,BOT,AUD,JPY,20160330 17:15:35 EST,,-17.6000000001,19468.867904,-361200.0,86.242,19560.0,-32.7785920001
7,Paper,Paper,15.13072,USD,IDEALPRO,7.0,,,1.0,85.97,2000000.0,-1000000.0,-2408.73072,SLD,AUD,JPY,20160331 00:33:55 EST,,-2393.6,17060.137184,-361200.0,85.97,17166.4,-2408.73072
8,Paper,Paper,15.131072,USD,IDEALPRO,8.0,,,1.0,85.972,2000000.0,1000000.0,-32.731072,BOT,AUD,JPY,20160331 02:57:15 EST,,-17.6,17027.406112,-361200.0,85.972,17148.8,-32.731072
9,Paper,Paper,15.182288,USD,IDEALPRO,9.0,,,1.0,86.263,2000000.0,-1000000.0,2545.617712,SLD,AUD,JPY,20160331 05:40:06 EST,,2560.8,19573.023824,-361200.0,86.263,19709.6,2545.617712
10,Paper,Paper,15.19408,USD,IDEALPRO,10.0,,,1.0,86.33,2000000.0,1000000.0,-604.79408,BOT,AUD,JPY,20160331 06:56:28 EST,,-589.6,18968.229744,-361200.0,86.33,19120.0,-604.79408
11,Paper,Paper,15.194256,USD,IDEALPRO,11.0,,,1.0,86.331,2000000.0,-1000000.0,-6.39425599996,SLD,AUD,JPY,20160331 07:03:09 EST,,8.80000000004,18961.835488,-361200.0,86.331,19128.8,-6.39425599996
12,Paper,Paper,15.209568,USD,IDEALPRO,12.0,,,1.0,86.418,2000000.0,1000000.0,-780.809568,BOT,AUD,JPY,20160331 08:12:30 EST,,-765.6,18181.02592,-361200.0,86.418,18363.2,-780.809568
13,Paper,Paper,15.208512,USD,IDEALPRO,13.0,,,1.0,86.412,2000000.0,-1000000.0,-68.0085119999,SLD,AUD,JPY,20160331 13:05:40 EST,,-52.7999999999,18113.017408,-361200.0,86.412,18310.4,-68.0085119999
14,Paper,Paper,15.209568,USD,IDEALPRO,14.0,,,1.0,86.418,2000000.0,1000000.0,-68.009568,BOT,AUD,JPY,20160331 15:32:42 EST,,-52.8,18045.00784,-361200.0,86.418,18257.6,-68.009568
