symbol,open_or_closed,long_or_short,quant_opened,quant_closed,opening_price_VWAP,closing_price_VWAP,PL,PurePL,commission,trade_id,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,expir,instrument,markToMarket_time,openVWAP_timestamp,openedWhen,qty,balance,margin_available,purebalance
CHFJPY,open,long,1.0,0.0,116.341,0.0,-2.0,0.0,2.0,1692.0,,,,,CHFJPY,,20160328 10:06:12 EST,20160328 10:06:12 EST,1.0,9126.56836,241226.32476,15866.56836
USDJPY,open,long,1.0,0.0,113.61,0.0,-2.0,0.0,2.0,1791.0,,,,,USDJPY,,20160329 00:12:11 EST,20160329 00:12:11 EST,1.0,8781.50922,241466.65276,15917.50922
GBPUSD,open,long,1.0,0.0,1.42349,0.0,-2.0,0.0,2.0,1795.0,,,,,GBPUSD,,20160329 01:16:09 EST,20160329 01:16:09 EST,1.0,8771.95322,237229.43276,15923.95322
EURJPY,open,long,1.0,0.0,127.199,0.0,-2.0,0.0,2.0,1805.0,,,,,EURJPY,,20160329 07:59:57 EST,20160329 07:59:57 EST,1.0,8714.23354,240270.82076,15906.23354
CADJPY,open,long,1.0,0.0,86.325,0.0,-2.0,0.0,2.0,1807.0,,,,,CADJPY,,20160329 08:05:07 EST,20160329 08:05:07 EST,1.0,8695.21698,243867.73276,15895.21698
USDCAD,open,short,1.0,0.0,1.31655,0.0,-2.0,0.0,2.0,1810.0,,,,,USDCAD,,20160329 08:12:40 EST,20160329 08:12:40 EST,-1.0,8649.158,241624.43806,15861.158
GBPJPY,open,long,1.0,0.0,161.948,0.0,-2.0,0.0,2.0,1817.0,,,,,GBPJPY,,20160329 10:02:05 EST,20160329 10:02:05 EST,1.0,8588.40344,237212.90876,15828.40344
EURUSD,open,long,1.0,0.0,1.12113,0.0,-2.0,0.0,2.0,1824.0,,,,,EURUSD,,20160329 10:33:08 EST,20160329 10:33:08 EST,1.0,8554.26414,240253.03276,15822.26414
EURCHF,open,short,1.0,0.0,1.09142,0.0,-2.0,0.0,2.0,1829.0,,,,,EURCHF,,20160329 11:13:40 EST,20160329 11:13:40 EST,-1.0,8510.48927,240416.97952,15798.48927
EURGBP,open,short,1.0,0.0,0.78388,0.0,-2.0,0.0,2.0,1833.0,,,,,EURGBP,,20160329 11:33:04 EST,20160329 11:33:04 EST,-1.0,8513.72972,240407.70536,15817.72972
NZDJPY,open,long,1.0,0.0,77.113,0.0,-2.0,0.0,2.0,1834.0,,,,,NZDJPY,,20160329 12:08:55 EST,20160329 12:08:55 EST,1.0,8505.32972,244678.38876,15813.32972
AUDJPY,open,long,1.0,0.0,85.901,0.0,-2.0,0.0,2.0,1837.0,,,,,AUDJPY,,20160329 12:33:39 EST,20160329 12:33:39 EST,1.0,8630.75372,243905.04476,15950.75372
AUDUSD,open,short,1.0,0.0,0.76037,0.0,-2.0,0.0,2.0,1838.0,,,,,AUDUSD,,20160329 12:43:24 EST,20160329 12:43:24 EST,-1.0,8671.45372,243860.63276,15995.45372
USDCHF,open,long,1.0,0.0,0.96969,0.0,-2.0,0.0,2.0,1839.0,,,,,USDCHF,,20160329 13:04:51 EST,20160329 13:04:51 EST,1.0,8723.63082,241649.13058,16051.63082
NZDUSD,open,long,1.0,0.0,0.68492,0.0,-2.0,0.0,2.0,1840.0,,,,,NZDUSD,,20160329 13:09:46 EST,20160329 13:09:46 EST,1.0,8714.73082,244615.13276,16046.73082
