trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,balance,commission,margin_available
3,-2.0,,,,0.0,,GBPUSD,long,20160318 06:23:49 EST,20160318 06:23:49 EST,open,20160318 06:23:49 EST,1.44396,10000.0,,0.0,3.0,,GBPUSD,strat103v1,9994.0,2.0,-80281.788
4,9.183,20160318 06:24:31 EST,20160318 06:24:31 EST,20160318 06:24:31 EST,0.96969,,USDCHF,long,20160318 06:23:49 EST,20160318 06:24:31 EST,open,20160318 06:23:49 EST,0.96969,10000.0,,3.0,3.0,,USDCHF,strat103v1,9993.983,6.0,-157367.15646
2,-6.0,20160318 06:25:37 EST,20160318 06:25:37 EST,20160318 06:25:37 EST,125.542,,EURJPY,long,20160318 06:23:49 EST,20160318 06:25:37 EST,open,20160318 06:23:49 EST,125.542,10000.0,,3.0,3.0,,EURJPY,strat103v1,9987.983,6.0,-186814.2813
1,-7.2,20160318 06:24:20 EST,20160318 06:24:20 EST,20160318 06:24:20 EST,1.12729,,EURUSD,long,20160318 06:23:49 EST,20160318 06:26:12 EST,open,20160318 06:23:49 EST,1.12733,10000.0,,3.0,3.0,,EURUSD,strat103v1,9983.983,6.0,-253776.7413
6,-10.8,20160318 06:28:14 EST,20160318 06:28:14 EST,20160318 06:28:14 EST,0.76267,,AUDUSD,long,20160318 06:23:50 EST,20160318 06:28:14 EST,open,20160318 06:23:50 EST,0.76267,10000.0,,3.0,3.0,,AUDUSD,strat103v1,9957.4332,6.0,-228761.47026
8,-15.1098,20160318 06:27:29 EST,20160318 06:27:29 EST,20160318 06:27:29 EST,0.96944,,USDCHF,long,20160318 06:24:42 EST,20160318 06:29:33 EST,open,20160318 06:24:42 EST,0.9696,10000.0,,3.0,3.0,,USDCHF,strat103v1,9950.8332,6.0,-247264.84386
5,-8.64,20160318 06:26:34 EST,20160318 06:26:34 EST,20160318 06:26:34 EST,111.354,,USDJPY,long,20160318 06:23:50 EST,20160318 06:33:56 EST,open,20160318 06:23:50 EST,111.37,10000.0,,3.0,3.0,,USDJPY,strat103v1,9921.71974,6.0,-253807.53732
11,-17.7,20160318 06:33:33 EST,20160318 06:33:33 EST,20160318 06:33:33 EST,0.76228,,AUDUSD,long,20160318 06:28:26 EST,20160318 06:36:38 EST,open,20160318 06:28:26 EST,0.76228,10000.0,,3.0,3.0,,AUDUSD,strat103v1,9908.70374,6.0,-243538.39332
10,-6.6,20160318 06:29:11 EST,20160318 06:29:11 EST,20160318 06:29:11 EST,1.12732,,EURUSD,long,20160318 06:26:23 EST,20160318 06:36:49 EST,open,20160318 06:26:23 EST,1.12678,10000.0,,3.0,3.0,,EURUSD,strat103v1,9906.70374,6.0,-277341.79332
9,-13.128,20160318 06:35:44 EST,20160318 06:35:44 EST,20160318 06:35:44 EST,125.513,,EURJPY,long,20160318 06:25:50 EST,20160318 06:38:37 EST,open,20160318 06:25:50 EST,125.539,10000.0,,3.0,3.0,,EURJPY,strat103v1,9900.70374,6.0,-367154.08932
12,-15.41346,20160318 06:33:44 EST,20160318 06:33:44 EST,20160318 06:33:44 EST,0.96931,,USDCHF,long,20160318 06:29:46 EST,20160318 06:43:37 EST,open,20160318 06:29:46 EST,0.96983,10000.0,,3.0,3.0,,USDCHF,strat103v1,9906.20374,6.0,-362790.3471
