permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,0.75929,10000.0,10000.0,-2.0,BOT,AUD,USD,20160323 05:41:18 EST,,0.0,19998.0,392407.1,0.75929,20000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,0.75902,20000.0,-10000.0,-4.7,SLD,AUD,USD,20160323 05:44:53 EST,,-2.7,19993.3,392407.1,0.75902,19997.3,-4.7
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,0.75789,20000.0,10000.0,9.3,BOT,AUD,USD,20160323 06:21:07 EST,,11.3,20002.6,392407.1,0.75789,20008.6,9.3
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,0.75805,20000.0,-10000.0,-0.4,SLD,AUD,USD,20160323 06:31:59 EST,,1.6,20002.2,392407.1,0.75805,20010.2,-0.4
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,0.75923,20000.0,10000.0,-13.8,BOT,AUD,USD,20160323 06:55:41 EST,,-11.8,19988.4,392407.1,0.75923,19998.4,-13.8
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,0.75883,20000.0,-10000.0,-6.0,SLD,AUD,USD,20160323 07:10:35 EST,,-4.0,19982.4,392407.1,0.75883,19994.4,-6.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,0.75983,20000.0,10000.0,-12.0,BOT,AUD,USD,20160323 07:36:08 EST,,-10.0,19970.4,392407.1,0.75983,19984.4,-12.0
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,0.75923,20000.0,-10000.0,-8.0,SLD,AUD,USD,20160323 07:58:48 EST,,-6.0,19962.4,392407.1,0.75923,19978.4,-8.0
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,0.75846,20000.0,10000.0,5.7,BOT,AUD,USD,20160323 08:12:38 EST,,7.7,19968.1,392407.1,0.75846,19986.1,5.7
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,0.75787,20000.0,-10000.0,-7.9,SLD,AUD,USD,20160323 08:26:48 EST,,-5.9,19960.2,392407.1,0.75787,19980.2,-7.9
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,0.75347,20000.0,10000.0,42.0,BOT,AUD,USD,20160323 12:06:30 EST,,44.0,20002.2,392407.1,0.75347,20024.2,42.0
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,0.75244,20000.0,-10000.0,-12.3,SLD,AUD,USD,20160323 12:33:26 EST,,-10.3,19989.9,392407.1,0.75244,20013.9,-12.3
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,0.75338,20000.0,10000.0,-11.4,BOT,AUD,USD,20160323 12:58:32 EST,,-9.4,19978.5,392407.1,0.75338,20004.5,-11.4
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,0.75347,20000.0,-10000.0,-1.1,SLD,AUD,USD,20160323 13:51:15 EST,,0.899999999999,19977.4,392407.1,0.75347,20005.4,-1.1
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,0.7541,20000.0,10000.0,-8.3,BOT,AUD,USD,20160323 14:21:36 EST,,-6.3,19969.1,392407.1,0.7541,19999.1,-8.3
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,0.75255,20000.0,-10000.0,-17.5,SLD,AUD,USD,20160323 15:21:02 EST,,-15.5,19951.6,392407.1,0.75255,19983.6,-17.5
