permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,19.811264,USD,IDEALPRO,1.0,,,1.0,112.564,1000000.0,-1000000.0,-19.811264,SLD,USD,JPY,20160330 11:45:00 EST,,0.0,19980.188736,-590563.2,112.564,20000.0,-19.811264
2,Paper,Paper,19.7868,USD,IDEALPRO,2.0,,,1.0,112.425,2000000.0,1000000.0,1203.4132,BOT,USD,JPY,20160330 15:42:58 EST,,1223.2,21183.601936,-590563.2,112.425,21223.2,1203.4132
3,Paper,Paper,19.784336,USD,IDEALPRO,3.0,,,1.0,112.411,2000000.0,-1000000.0,-142.984336,SLD,USD,JPY,20160330 15:56:34 EST,,-123.2,21040.6176,-590563.2,112.411,21100.0,-142.984336
4,Paper,Paper,19.79032,USD,IDEALPRO,4.0,,,1.0,112.445,2000000.0,1000000.0,-318.99032,BOT,USD,JPY,20160330 16:25:19 EST,,-299.2,20721.62728,-590563.2,112.445,20800.8,-318.99032
5,Paper,Paper,19.790672,USD,IDEALPRO,5.0,,,1.0,112.447,2000000.0,-1000000.0,-2.19067199992,SLD,USD,JPY,20160330 17:37:20 EST,,17.6000000001,20719.436608,-590563.2,112.447,20818.4,-2.19067199992
6,Paper,Paper,19.760928,USD,IDEALPRO,6.0,,,1.0,112.278,1000000.0,0.0,1467.439072,BOT,USD,JPY,20160330 20:09:38 EST,,1487.2,22186.87568,397483.2,112.447,22305.6,1467.439072
7,Paper,Paper,19.782752,USD,IDEALPRO,7.0,,,1.0,112.402,1000000.0,-1000000.0,-19.782752,SLD,USD,JPY,20160331 03:05:27 EST,,0.0,22167.092928,-591654.4,112.402,22305.6,-19.782752
8,Paper,Paper,19.788912,USD,IDEALPRO,8.0,,,1.0,112.437,1000000.0,0.0,-327.788912,BOT,USD,JPY,20160331 03:12:30 EST,,-308.0,21839.304016,397791.2,112.402,21997.6,-327.788912
9,Paper,Paper,19.778528,USD,IDEALPRO,9.0,,,1.0,112.378,1000000.0,1000000.0,-19.778528,BOT,USD,JPY,20160331 03:32:38 EST,,0.0,21819.525488,-591135.2,112.378,21997.6,-19.778528
10,Paper,Paper,19.781344,USD,IDEALPRO,10.0,,,1.0,112.394,1000000.0,0.0,121.018656,SLD,USD,JPY,20160331 03:34:41 EST,,140.8,21940.544144,397932.0,112.378,22138.4,121.018656
11,Paper,Paper,19.775712,USD,IDEALPRO,11.0,,,1.0,112.362,1000000.0,-1000000.0,-19.775712,SLD,USD,JPY,20160331 05:40:52 EST,,0.0,21920.768432,-590853.6,112.362,22138.4,-19.775712
12,Paper,Paper,19.778176,USD,IDEALPRO,12.0,,,1.0,112.376,1000000.0,0.0,-142.978176,BOT,USD,JPY,20160331 05:41:23 EST,,-123.2,21777.790256,398055.2,112.362,22015.2,-142.978176
