Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160410 17:15:28 EST,paperUSD,100000.0,100000.0,2000000.0,0.0,0.0,0.0,USD,100000.0,100000.0,0.0
20160410 17:15:28 EST,paperUSD,99998.0,100000.0,1980717.59,69.8662,-2.0,0.0,USD,100067.8662,100071.8662,71.8662
20160410 21:28:46 EST,paperUSD,99977.7804,99981.7804,2000018.2196,0.0,-22.2196,-18.2196,USD,99977.7804,99981.7804,0.0
20160410 21:28:46 EST,paperUSD,99975.7804,99981.7804,1980717.59,49.82464,-24.2196,-18.2196,USD,100025.60504,100033.60504,51.82464
20160410 21:58:02 EST,paperUSD,99971.14868,99979.14868,2000015.58788,0.0,-28.85132,-20.85132,USD,99971.14868,99979.14868,0.0
20160410 21:58:02 EST,paperUSD,99969.14868,99979.14868,1961419.59212,110.55664,-30.85132,-20.85132,USD,100079.70532,100091.70532,112.55664
20160410 22:24:45 EST,paperUSD,99961.88524,99973.88524,2000020.85132,0.0,-38.11476,-26.11476,USD,99961.88524,99973.88524,0.0
20160410 22:24:45 EST,paperUSD,99959.88524,99973.88524,1980720.22172,49.82464,-40.11476,-26.11476,USD,100009.70988,100025.70988,51.82464
20160410 22:52:01 EST,paperUSD,99955.25352,99971.25352,2000018.2196,0.0,-44.74648,-28.74648,USD,99955.25352,99971.25352,0.0
20160410 22:52:01 EST,paperUSD,99953.25352,99971.25352,1980720.22172,54.27832,-46.74648,-28.74648,USD,100007.53184,100027.53184,56.27832
20160410 23:21:18 EST,paperUSD,99948.6218,99968.6218,2000020.85132,0.0,-51.3782,-31.3782,USD,99948.6218,99968.6218,0.0
20160410 23:21:18 EST,paperUSD,99946.6218,99968.6218,1980720.22172,49.82464,-53.3782,-31.3782,USD,99996.44644,100020.44644,51.82464
20160410 23:43:00 EST,paperUSD,99941.99008,99965.99008,2000018.2196,0.0,-58.00992,-34.00992,USD,99941.99008,99965.99008,0.0
20160410 23:43:00 EST,paperUSD,99939.99008,99965.99008,1980720.22172,54.27832,-60.00992,-34.00992,USD,99994.2684,100022.2684,56.27832
20160411 00:15:48 EST,paperUSD,99935.35836,99963.35836,2000020.85132,0.0,-64.64164,-36.64164,USD,99935.35836,99963.35836,0.0
20160411 00:15:48 EST,paperUSD,99933.35836,99963.35836,1980720.22172,49.82464,-66.64164,-36.64164,USD,99983.183,100015.183,51.82464
20160411 04:07:10 EST,paperUSD,99931.35836,99963.35836,1961419.59212,101.64928,-68.64164,-36.64164,USD,100033.00764,100067.00764,103.64928
20160411 04:42:29 EST,paperUSD,99926.72664,99960.72664,1980717.59,49.82464,-73.27336,-39.27336,USD,99976.55128,100012.55128,51.82464
20160411 05:37:00 EST,paperUSD,99924.72664,99960.72664,1961416.9604,101.64928,-75.27336,-39.27336,USD,100026.37592,100064.37592,103.64928
20160411 06:16:22 EST,paperUSD,99920.09492,99958.09492,1980714.95828,49.82464,-79.90508,-41.90508,USD,99969.91956,100009.91956,51.82464
20160411 11:41:25 EST,paperUSD,99918.09492,99958.09492,1961414.32868,101.64928,-81.90508,-41.90508,USD,100019.7442,100061.7442,103.64928
20160411 12:10:09 EST,paperUSD,99913.4632,99955.4632,1980712.32656,49.82464,-86.5368,-44.5368,USD,99963.28784,100007.28784,51.82464
20160411 14:38:25 EST,paperUSD,99908.83148,99952.83148,2000010.32444,0.0,-91.16852,-47.16852,USD,99908.83148,99952.83148,0.0
20160411 14:38:56 EST,paperUSD,99906.83148,99952.83148,1980709.69484,49.82464,-93.16852,-47.16852,USD,99956.65612,100004.65612,51.82464
20160412 05:35:49 EST,paperUSD,99904.83148,99952.83148,1961409.06524,101.64928,-95.16852,-47.16852,USD,100006.48076,100056.48076,103.64928
20160412 06:13:34 EST,paperUSD,99900.19976,99950.19976,1980707.06312,49.82464,-99.80024,-49.80024,USD,99950.0244,100002.0244,51.82464
20160412 07:52:45 EST,paperUSD,99895.56804,99947.56804,2000005.061,0.0,-104.43196,-52.43196,USD,99895.56804,99947.56804,0.0
20160412 07:52:45 EST,paperUSD,99893.56804,99947.56804,1980707.06312,54.27832,-106.43196,-52.43196,USD,99947.84636,100003.84636,56.27832
20160412 08:53:41 EST,paperUSD,99888.93632,99944.93632,2000007.69272,0.0,-111.06368,-55.06368,USD,99888.93632,99944.93632,0.0
20160412 08:53:41 EST,paperUSD,99886.93632,99944.93632,1961406.43352,101.64928,-113.06368,-55.06368,USD,99988.5856,100048.5856,103.64928
20160412 09:57:17 EST,paperUSD,99882.3046,99942.3046,1980704.4314,49.82464,-117.6954,-57.6954,USD,99932.12924,99994.12924,51.82464
20160412 10:28:34 EST,paperUSD,99880.3046,99942.3046,1961403.8018,101.64928,-119.6954,-57.6954,USD,99981.95388,100045.95388,103.64928
20160412 11:33:59 EST,paperUSD,99875.67288,99939.67288,1980701.79968,49.82464,-124.32712,-60.32712,USD,99925.49752,99991.49752,51.82464
20160412 12:08:45 EST,paperUSD,99871.04116,99937.04116,1999999.79756,0.0,-128.95884,-62.95884,USD,99871.04116,99937.04116,0.0
20160412 12:08:45 EST,paperUSD,99869.04116,99937.04116,1980701.79968,54.27832,-130.95884,-62.95884,USD,99923.31948,99993.31948,56.27832
20160412 16:35:18 EST,paperUSD,99823.51656,99893.51656,2000043.32216,0.0,-176.48344,-106.48344,USD,99823.51656,99893.51656,0.0
20160412 16:35:18 EST,paperUSD,99821.51656,99893.51656,1980701.79968,-3.82196,-178.48344,-106.48344,USD,99817.6946,99891.6946,-1.82196
20160412 17:07:17 EST,paperUSD,99814.05068,99888.05068,2000037.85628,0.0,-185.94932,-111.94932,USD,99814.05068,99888.05068,0.0
20160412 17:07:17 EST,paperUSD,99812.05068,99888.05068,1980701.79968,0.631719999997,-187.94932,-111.94932,USD,99812.6824,99890.6824,2.63172
20160413 07:15:16 EST,paperUSD,99653.15968,99731.15968,2000194.74728,0.0,-346.84032,-268.84032,USD,99653.15968,99731.15968,0.0
20160413 07:15:16 EST,paperUSD,99651.15968,99731.15968,1961208.85208,-4.0244,-348.84032,-268.84032,USD,99647.13528,99729.13528,-2.0244
20160413 07:18:20 EST,paperUSD,99649.15968,99731.15968,1980701.79968,-2.0,-350.84032,-268.84032,USD,99647.15968,99731.15968,0.0
20160413 07:34:46 EST,paperUSD,99647.15968,99731.15968,1961203.3862,3.46588,-352.84032,-268.84032,USD,99650.62556,99736.62556,5.46588
20160413 08:04:11 EST,paperUSD,99643.64138,99729.64138,1980697.54844,-3.5183,-356.35862,-270.35862,USD,99640.12308,99728.12308,-1.5183
20160413 09:19:33 EST,paperUSD,99628.38156,99716.38156,2000179.96916,0.0,-371.61844,-283.61844,USD,99628.38156,99716.38156,0.0
20160413 09:20:04 EST,paperUSD,99626.38156,99716.38156,1980698.3582,-2.60732,-373.61844,-283.61844,USD,99623.77424,99715.77424,-0.607319999999
20160413 10:04:07 EST,paperUSD,99624.38156,99716.38156,1961156.825,56.7076,-375.61844,-283.61844,USD,99681.08916,99775.08916,58.7076
