permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,28.587504,USD,IDEALPRO,1.0,,,1.0,162.429,1000000.0,1000000.0,-28.587504,BOT,GBP,JPY,20160330 09:50:52 EST,,0.0,19971.412496,-1029375.2,162.429,20000.0,-28.587504
2,Paper,Paper,28.581168,USD,IDEALPRO,2.0,,,1.0,162.393,1000000.0,0.0,-345.381168,SLD,GBP,JPY,20160330 09:57:27 EST,,-316.8,19626.031328,399683.2,162.429,19683.2,-345.381168
3,Paper,Paper,28.57976,USD,IDEALPRO,3.0,,,1.0,162.385,1000000.0,1000000.0,-28.57976,BOT,GBP,JPY,20160330 09:58:27 EST,,0.0,19597.451568,-1029304.8,162.385,19683.2,-28.57976
4,Paper,Paper,28.497216,USD,IDEALPRO,4.0,,,1.0,161.916,1000000.0,0.0,-4155.697216,SLD,GBP,JPY,20160330 12:30:10 EST,,-4127.2,15441.754352,395556.0,162.385,15556.0,-4155.697216
5,Paper,Paper,28.446176,USD,IDEALPRO,5.0,,,1.0,161.626,1000000.0,-1000000.0,-28.446176,SLD,GBP,JPY,20160330 13:27:11 EST,,0.0,15413.308176,-1026752.8,161.626,15556.0,-28.446176
6,Paper,Paper,28.453568,USD,IDEALPRO,6.0,,,1.0,161.668,1000000.0,0.0,-398.053568,BOT,GBP,JPY,20160330 13:33:47 EST,,-369.6,15015.254608,395925.6,161.626,15186.4,-398.053568
7,Paper,Paper,28.465184,USD,IDEALPRO,7.0,,,1.0,161.734,1000000.0,1000000.0,-28.465184,BOT,GBP,JPY,20160330 13:35:18 EST,,0.0,14986.789424,-1027333.6,161.734,15186.4,-28.465184
8,Paper,Paper,28.470288,USD,IDEALPRO,8.0,,,1.0,161.763,1000000.0,0.0,226.729712,SLD,GBP,JPY,20160330 13:55:28 EST,,255.2,15213.519136,396180.8,161.734,15441.6,226.729712
9,Paper,Paper,28.470816,USD,IDEALPRO,9.0,,,1.0,161.766,1000000.0,-1000000.0,-28.470816,SLD,GBP,JPY,20160330 14:31:50 EST,,0.0,15185.04832,-1027360.0,161.766,15441.6,-28.470816
10,Paper,Paper,28.4768,USD,IDEALPRO,10.0,,,1.0,161.8,1000000.0,0.0,-327.6768,BOT,GBP,JPY,20160330 14:54:31 EST,,-299.2,14857.37152,396480.0,161.766,15142.4,-327.6768
11,Paper,Paper,28.474336,USD,IDEALPRO,11.0,,,1.0,161.786,1000000.0,1000000.0,-28.474336,BOT,GBP,JPY,20160330 14:56:02 EST,,0.0,14828.897184,-1027236.8,161.786,15142.4,-28.474336
12,Paper,Paper,28.452512,USD,IDEALPRO,12.0,,,1.0,161.662,1000000.0,0.0,-1119.652512,SLD,GBP,JPY,20160330 16:59:28 EST,,-1091.2,13709.244672,395388.8,161.786,14051.2,-1119.652512
13,Paper,Paper,28.451984,USD,IDEALPRO,13.0,,,1.0,161.659,1000000.0,1000000.0,-28.451984,BOT,GBP,JPY,20160330 17:22:05 EST,,0.0,13680.792688,-1027210.4,161.659,14051.2,-28.451984
14,Paper,Paper,28.463776,USD,IDEALPRO,14.0,,,1.0,161.726,1000000.0,0.0,561.136224,SLD,GBP,JPY,20160330 18:14:00 EST,,589.6,14241.928912,395978.4,161.659,14640.8,561.136224
