trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance
1.0,-35.68,20160323 09:58:59 EST,20160323 09:58:59 EST,20160323 09:58:59 EST,85.24,,AUDJPY,long,,20160323 05:41:08 EST,closed,20160323 05:41:08 EST,85.6,,,1.0,1.0,,AUDJPY,,-31.68,-1.0,19964.32,4.0,399968.32,19968.32
2.0,3.744,20160323 10:49:46 EST,20160323 10:49:46 EST,20160323 10:49:46 EST,85.152,,AUDJPY,short,,20160323 09:58:59 EST,closed,20160323 09:58:59 EST,85.24,,,1.0,1.0,,AUDJPY,,7.744,1.0,19968.064,4.0,399960.576,19976.064
3.0,-5.76,20160323 11:12:24 EST,20160323 11:12:24 EST,20160323 11:12:24 EST,85.132,,AUDJPY,long,,20160323 10:49:46 EST,closed,20160323 10:49:46 EST,85.152,,,1.0,1.0,,AUDJPY,,-1.76,-1.0,19962.304,4.0,399958.816,19974.304
4.0,11.136,20160323 11:37:03 EST,20160323 11:37:03 EST,20160323 11:37:03 EST,84.96,,AUDJPY,short,,20160323 11:12:24 EST,closed,20160323 11:12:24 EST,85.132,,,1.0,1.0,,AUDJPY,,15.136,1.0,19973.44,4.0,399943.68,19989.44
5.0,-11.304,20160323 12:03:21 EST,20160323 12:03:21 EST,20160323 12:03:21 EST,84.877,,AUDJPY,long,,20160323 11:37:03 EST,closed,20160323 11:37:03 EST,84.96,,,1.0,1.0,,AUDJPY,,-7.304,-1.0,19962.136,4.0,399936.376,19982.136
6.0,0.840000000001,20160323 13:47:22 EST,20160323 13:47:22 EST,20160323 13:47:22 EST,84.822,,AUDJPY,short,,20160323 12:03:21 EST,closed,20160323 12:03:21 EST,84.877,,,1.0,1.0,,AUDJPY,,4.84,1.0,19962.976,4.0,399931.536,19986.976
7.0,-20.72,20160323 14:48:04 EST,20160323 14:48:04 EST,20160323 14:48:04 EST,84.632,,AUDJPY,long,,20160323 13:47:22 EST,closed,20160323 13:47:22 EST,84.822,,,1.0,1.0,,AUDJPY,,-16.72,-1.0,19942.256,4.0,399914.816,19970.256
8.0,-0.568,20160323 17:15:28 EST,20160323 17:15:28 EST,20160323 17:15:28 EST,84.593,,AUDJPY,short,,20160323 14:48:04 EST,closed,20160323 14:48:04 EST,84.632,,,1.0,1.0,,AUDJPY,,3.432,1.0,19941.688,4.0,399911.384,19973.688
9.0,0.0480000000006,20160323 17:50:48 EST,20160323 17:50:48 EST,20160323 17:50:48 EST,84.639,,AUDJPY,long,,20160323 17:15:28 EST,closed,20160323 17:15:28 EST,84.593,,,1.0,1.0,,AUDJPY,,4.048,-1.0,19941.736,4.0,399915.432,19977.736
10.0,-4.088,20160323 19:17:08 EST,20160323 19:17:08 EST,20160323 19:17:08 EST,84.64,,AUDJPY,short,,20160323 17:50:48 EST,closed,20160323 17:50:48 EST,84.639,,,1.0,1.0,,AUDJPY,,-0.0880000000004,1.0,19937.648,4.0,399915.52,19977.648
11.0,-23.36,20160323 20:43:31 EST,20160323 20:43:31 EST,20160323 20:43:31 EST,84.42,,AUDJPY,long,,20160323 19:17:08 EST,closed,20160323 19:17:08 EST,84.64,,,1.0,1.0,,AUDJPY,,-19.36,-1.0,19914.288,4.0,399896.16,19958.288
12.0,-2.0,,,,0.0,,AUDJPY,short,,20160323 20:43:31 EST,open,20160323 20:43:31 EST,84.42,,,0.0,1.0,,AUDJPY,,0.0,-1.0,19912.288,2.0,392467.2,19958.288
