permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,159.812,10000.0,-10000.0,-2.0,SLD,GBP,JPY,20160323 05:41:09 EST,,0.0,19998.0,385936.544,159.812,20000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,159.677,20000.0,10000.0,9.88,BOT,GBP,JPY,20160323 06:17:38 EST,,11.88,20007.88,385936.544,159.677,20011.88,9.88
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,159.601,20000.0,-10000.0,-8.688,SLD,GBP,JPY,20160323 06:29:27 EST,,-6.688,19999.192,385936.544,159.601,20005.192,-8.688
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,159.713,20000.0,10000.0,-11.856,BOT,GBP,JPY,20160323 06:41:07 EST,,-9.856,19987.336,385936.544,159.713,19995.336,-11.856
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,159.823,20000.0,-10000.0,7.68,SLD,GBP,JPY,20160323 06:52:16 EST,,9.68,19995.016,385936.544,159.823,20005.016,7.68
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,159.844,20000.0,10000.0,-3.848,BOT,GBP,JPY,20160323 07:06:33 EST,,-1.848,19991.168,385936.544,159.844,20003.168,-3.848
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,159.802,20000.0,-10000.0,-5.696,SLD,GBP,JPY,20160323 07:33:28 EST,,-3.696,19985.472,385936.544,159.802,19999.472,-5.696
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,159.686,20000.0,10000.0,8.208,BOT,GBP,JPY,20160323 07:44:29 EST,,10.208,19993.68,385936.544,159.686,20009.68,8.208
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,159.1,20000.0,-10000.0,-53.568,SLD,GBP,JPY,20160323 09:57:36 EST,,-51.568,19940.112,385936.544,159.1,19958.112,-53.568
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,159.293,20000.0,10000.0,-18.984,BOT,GBP,JPY,20160323 10:47:47 EST,,-16.984,19921.128,385936.544,159.293,19941.128,-18.984
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,159.126,20000.0,-10000.0,-16.696,SLD,GBP,JPY,20160323 11:11:26 EST,,-14.696,19904.432,385936.544,159.126,19926.432,-16.696
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,159.03,20000.0,10000.0,6.448,BOT,GBP,JPY,20160323 11:34:03 EST,,8.448,19910.88,385936.544,159.03,19934.88,6.448
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,158.961,20000.0,-10000.0,-8.072,SLD,GBP,JPY,20160323 12:00:49 EST,,-6.072,19902.808,385936.544,158.961,19928.808,-8.072
