trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance
1.0,19.8,20160323 08:58:54 EST,20160323 08:58:54 EST,20160323 08:58:54 EST,1.41523,,GBPUSD,short,,20160323 05:41:08 EST,closed,20160323 05:41:08 EST,1.41761,,,1.0,1.0,,GBPUSD,,23.8,1.0,20019.8,4.0,399976.2,20023.8
2.0,-35.5,20160323 10:05:32 EST,20160323 10:05:32 EST,20160323 10:05:32 EST,1.41208,,GBPUSD,long,,20160323 08:58:54 EST,closed,20160323 08:58:54 EST,1.41523,,,1.0,1.0,,GBPUSD,,-31.5,-1.0,19984.3,4.0,399944.7,19992.3
3.0,3.4,20160323 10:31:07 EST,20160323 10:31:07 EST,20160323 10:31:07 EST,1.41134,,GBPUSD,short,,20160323 10:05:32 EST,closed,20160323 10:05:32 EST,1.41208,,,1.0,1.0,,GBPUSD,,7.4,1.0,19987.7,4.0,399937.3,19999.7
4.0,14.4,20160323 10:56:16 EST,20160323 10:56:16 EST,20160323 10:56:16 EST,1.41318,,GBPUSD,long,,20160323 10:31:07 EST,closed,20160323 10:31:07 EST,1.41134,,,1.0,1.0,,GBPUSD,,18.4,-1.0,20002.1,4.0,399955.7,20018.1
5.0,16.0,20160323 11:19:54 EST,20160323 11:19:54 EST,20160323 11:19:54 EST,1.41118,,GBPUSD,short,,20160323 10:56:16 EST,closed,20160323 10:56:16 EST,1.41318,,,1.0,1.0,,GBPUSD,,20.0,1.0,20018.1,4.0,399935.7,20038.1
6.0,-14.9,20160323 13:02:09 EST,20160323 13:02:09 EST,20160323 13:02:09 EST,1.41009,,GBPUSD,long,,20160323 11:19:54 EST,closed,20160323 11:19:54 EST,1.41118,,,1.0,1.0,,GBPUSD,,-10.9,-1.0,20003.2,4.0,399924.8,20027.2
7.0,-5.6,20160323 13:27:09 EST,20160323 13:27:09 EST,20160323 13:27:09 EST,1.41025,,GBPUSD,short,,20160323 13:02:09 EST,closed,20160323 13:02:09 EST,1.41009,,,1.0,1.0,,GBPUSD,,-1.6,1.0,19997.6,4.0,399926.4,20025.6
8.0,0.999999999999,20160323 13:55:42 EST,20160323 13:55:42 EST,20160323 13:55:42 EST,1.41075,,GBPUSD,long,,20160323 13:27:09 EST,closed,20160323 13:27:09 EST,1.41025,,,1.0,1.0,,GBPUSD,,5.0,-1.0,19998.6,4.0,399931.4,20030.6
9.0,-14.0,20160323 14:26:07 EST,20160323 14:26:07 EST,20160323 14:26:07 EST,1.41175,,GBPUSD,short,,20160323 13:55:42 EST,closed,20160323 13:55:42 EST,1.41075,,,1.0,1.0,,GBPUSD,,-10.0,1.0,19984.6,4.0,399941.4,20020.6
10.0,-3.3,20160323 14:56:12 EST,20160323 14:56:12 EST,20160323 14:56:12 EST,1.41182,,GBPUSD,long,,20160323 14:26:07 EST,closed,20160323 14:26:07 EST,1.41175,,,1.0,1.0,,GBPUSD,,0.7,-1.0,19981.3,4.0,399942.1,20021.3
11.0,3.4,20160323 15:48:17 EST,20160323 15:48:17 EST,20160323 15:48:17 EST,1.41108,,GBPUSD,short,,20160323 14:56:12 EST,closed,20160323 14:56:12 EST,1.41182,,,1.0,1.0,,GBPUSD,,7.4,1.0,19984.7,4.0,399934.7,20028.7
12.0,1.6,20160323 16:39:36 EST,20160323 16:39:36 EST,20160323 16:39:36 EST,1.41164,,GBPUSD,long,,20160323 15:48:17 EST,closed,20160323 15:48:17 EST,1.41108,,,1.0,1.0,,GBPUSD,,5.6,-1.0,19986.3,4.0,399940.3,20034.3
13.0,-3.3,20160323 17:15:26 EST,20160323 17:15:26 EST,20160323 17:15:26 EST,1.41157,,GBPUSD,short,,20160323 16:39:36 EST,closed,20160323 16:39:36 EST,1.41164,,,1.0,1.0,,GBPUSD,,0.7,1.0,19983.0,4.0,399939.6,20035.0
14.0,-6.6,20160323 17:31:47 EST,20160323 17:31:47 EST,20160323 17:31:47 EST,1.41131,,GBPUSD,long,,20160323 17:15:26 EST,closed,20160323 17:15:26 EST,1.41157,,,1.0,1.0,,GBPUSD,,-2.6,-1.0,19976.4,4.0,399937.0,20032.4
15.0,-9.9,20160323 17:58:51 EST,20160323 17:58:51 EST,20160323 17:58:51 EST,1.4119,,GBPUSD,short,,20160323 17:31:47 EST,closed,20160323 17:31:47 EST,1.41131,,,1.0,1.0,,GBPUSD,,-5.9,1.0,19966.5,4.0,399942.9,20026.5
16.0,-4.5,20160323 18:22:46 EST,20160323 18:22:46 EST,20160323 18:22:46 EST,1.41185,,GBPUSD,long,,20160323 17:58:51 EST,closed,20160323 17:58:51 EST,1.4119,,,1.0,1.0,,GBPUSD,,-0.499999999999,-1.0,19962.0,4.0,399942.4,20026.0
17.0,-2.0,,,,0.0,,GBPUSD,short,,20160323 18:22:46 EST,open,20160323 18:22:46 EST,1.41185,,,0.0,1.0,,GBPUSD,,0.0,-1.0,19960.0,2.0,385823.9,20026.0
