permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
1,Paper,Paper,22.6234,USD,IDEALPRO,1.0,,,1.0,1.13117,1000000.0,1000000.0,-22.6234,BOT,EUR,USD,20160330 08:36:30 EST,,0.0,19977.3766,-731170.0,1.13117,20000.0,-22.6234
2,Paper,Paper,22.426448,USD,IDEALPRO,2.0,,,1.0,127.423,1000000.0,1000000.0,-22.426448,BOT,EUR,JPY,20160330 08:36:45 EST,,0.0,19954.950152,-1852492.4,127.423,20000.0,-22.426448
3,Paper,Paper,28.8038,USD,IDEALPRO,3.0,,,1.0,1.44019,1000000.0,1000000.0,-28.8038,BOT,GBP,USD,20160330 08:36:51 EST,,0.0,19926.146352,-3292682.4,1.44019,20000.0,-28.8038
4,Paper,Paper,15.3518,USD,IDEALPRO,4.0,,,1.0,0.76759,1000000.0,1000000.0,-15.3518,BOT,AUD,USD,20160330 08:36:56 EST,,0.0,19910.794552,-4060272.4,0.76759,20000.0,-15.3518
5,Paper,Paper,19.43598752,USD,IDEALPRO,5.0,,,1.0,1.30024,1000000.0,-1000000.0,-19.43598752,SLD,USD,CAD,20160330 08:37:01 EST,,0.0,19891.3585645,-5032071.776,1.30024,20000.0,-19.43598752
6,Paper,Paper,13.736096,USD,IDEALPRO,6.0,,,1.0,78.046,1000000.0,1000000.0,-13.736096,BOT,NZD,JPY,20160330 08:37:05 EST,,0.0,19877.6224685,-5718876.576,78.046,20000.0,-13.736096
7,Paper,Paper,15.249872,USD,IDEALPRO,7.0,,,1.0,86.647,1000000.0,1000000.0,-15.249872,BOT,CAD,JPY,20160330 08:37:09 EST,,0.0,19862.3725965,-6481370.176,86.647,20000.0,-15.249872
8,Paper,Paper,20.553104,USD,IDEALPRO,8.0,,,1.0,116.779,1000000.0,1000000.0,-20.553104,BOT,CHF,JPY,20160330 08:37:12 EST,,0.0,19841.8194925,-7509025.376,116.779,20000.0,-20.553104
9,Paper,Paper,22.09166988,USD,IDEALPRO,9.0,,,1.0,1.09127,1000000.0,1000000.0,-22.09166988,BOT,EUR,CHF,20160330 08:37:16 EST,,0.0,19819.7278226,-8613608.87,1.09127,20000.0,-22.09166988
10,Paper,Paper,15.221008,USD,IDEALPRO,10.0,,,1.0,86.483,1000000.0,-1000000.0,-15.221008,SLD,AUD,JPY,20160330 08:37:19 EST,,0.0,19804.5068146,-9374659.27,86.483,20000.0,-15.221008
11,Paper,Paper,13.8588,USD,IDEALPRO,11.0,,,1.0,0.69294,1000000.0,1000000.0,-13.8588,BOT,NZD,USD,20160330 08:37:22 EST,,0.0,19790.6480146,-10067599.27,0.69294,20000.0,-13.8588
12,Paper,Paper,22.424512,USD,IDEALPRO,12.0,,,1.0,127.412,1000000.0,0.0,-119.224512,SLD,EUR,JPY,20160330 08:37:57 EST,,-96.7999999998,19671.4235026,-8946373.67,127.423,19903.2,-119.224512
13,Paper,Paper,22.427504,USD,IDEALPRO,13.0,,,1.0,127.429,1000000.0,1000000.0,-22.427504,BOT,EUR,JPY,20160330 08:39:03 EST,,0.0,19648.9959986,-10067748.87,127.429,19903.2,-22.427504
14,Paper,Paper,22.420816,USD,IDEALPRO,14.0,,,1.0,127.391,1000000.0,0.0,-356.820816,SLD,EUR,JPY,20160330 08:46:31 EST,,-334.4,19292.1751826,-8946708.07,127.429,19568.8,-356.820816
15,Paper,Paper,20.54888,USD,IDEALPRO,15.0,,,1.0,116.755,1000000.0,0.0,-231.74888,SLD,CHF,JPY,20160330 08:47:37 EST,,-211.2,19060.4263026,-7919264.07,116.779,19357.6,-231.74888
16,Paper,Paper,20.54624,USD,IDEALPRO,16.0,,,1.0,116.74,1000000.0,1000000.0,-20.54624,BOT,CHF,JPY,20160330 08:48:41 EST,,0.0,19039.8800626,-8946576.07,116.74,19357.6,-20.54624
17,Paper,Paper,15.212032,USD,IDEALPRO,17.0,,,1.0,86.432,1000000.0,0.0,433.587968,BOT,AUD,JPY,20160330 08:57:45 EST,,448.8,19473.4680306,-8185974.47,86.483,19806.4,433.587968
