permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,108.03,20000.0,-20000.0,-2.0,SLD,USD,JPY,20160410 17:15:54 EST,,0.0,99998.0,1980986.72,99762.624,108.03,99766.624,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,83.188,20000.0,20000.0,-2.0,BOT,CAD,JPY,20160410 17:16:02 EST,,0.0,99996.0,1966345.632,99830.08,83.188,99838.08,100000.0,-2.0
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,108.239,40000.0,20000.0,-38.784,BOT,USD,JPY,20160410 18:51:16 EST,,-36.784,99957.216,1966345.632,100220.56,108.239,100230.56,99963.216,-38.784
4,Paper,Paper,2.0,USD,IDEALPRO,4.0,,,1.0,83.368,40000.0,-20000.0,29.68,SLD,CAD,JPY,20160410 18:51:16 EST,,31.68,99986.896,1966345.632,100137.072,83.368,100149.072,99994.896,29.68
5,Paper,Paper,2.0,USD,IDEALPRO,5.0,,,1.0,83.368,20000.0,-40000.0,-2.0,SLD,CAD,JPY,20160410 19:11:24 EST,,0.0,99984.896,1951672.864,100093.36,83.368,100107.36,99994.896,-2.0
6,Paper,Paper,2.0,USD,IDEALPRO,6.0,,,1.0,108.239,20000.0,40000.0,-2.0,BOT,USD,JPY,20160410 19:11:55 EST,,0.0,99982.896,1932622.8,100287.248,108.239,100303.248,99994.896,-2.0
7,Paper,Paper,2.0,USD,IDEALPRO,7.0,,,1.0,83.381,20000.0,-20000.0,-4.288,BOT,CAD,JPY,20160411 02:24:12 EST,,-2.288,99978.608,1947297.856,100324.672,83.368,100342.672,99992.608,-4.288
8,Paper,Paper,2.0,USD,IDEALPRO,8.0,,,1.0,108.234,20000.0,20000.0,-2.88,SLD,USD,JPY,20160411 02:24:43 EST,,-0.879999999999,99975.728,1966347.04,100125.904,108.239,100145.904,99991.728,-2.88
9,Paper,Paper,2.0,USD,IDEALPRO,9.0,,,1.0,108.234,20000.0,0.0,-2.88,SLD,USD,JPY,20160411 03:40:44 EST,,-0.879999999999,99972.848,1985396.224,99929.136,108.239,99949.136,99990.848,-2.88
10,Paper,Paper,2.0,USD,IDEALPRO,10.0,,,1.0,83.381,20000.0,0.0,-4.288,BOT,CAD,JPY,20160411 03:40:45 EST,,-2.288,99968.56,2000071.28,99968.56,83.368,99988.56,99988.56,-4.288
11,Paper,Paper,2.0,USD,IDEALPRO,11.0,,,1.0,83.368,20000.0,-20000.0,-2.0,SLD,CAD,JPY,20160411 03:58:53 EST,,0.0,99966.56,1985398.512,99922.848,83.368,99946.848,99988.56,-2.0
12,Paper,Paper,2.0,USD,IDEALPRO,12.0,,,1.0,108.239,20000.0,20000.0,-2.0,BOT,USD,JPY,20160411 03:59:26 EST,,0.0,99964.56,1966348.448,100114.736,108.239,100142.736,99988.56,-2.0
13,Paper,Paper,2.0,USD,IDEALPRO,13.0,,,1.0,108.239,20000.0,40000.0,-2.0,BOT,USD,JPY,20160411 06:58:14 EST,,0.0,99962.56,1947298.384,100308.624,108.239,100338.624,99988.56,-2.0
14,Paper,Paper,2.0,USD,IDEALPRO,14.0,,,1.0,83.368,20000.0,-40000.0,-2.0,SLD,CAD,JPY,20160411 06:58:15 EST,,0.0,99960.56,1932625.616,100264.912,83.368,100296.912,99988.56,-2.0
15,Paper,Paper,2.0,USD,IDEALPRO,15.0,,,1.0,108.234,20000.0,20000.0,-2.88,SLD,USD,JPY,20160411 07:59:05 EST,,-0.879999999999,99957.68,1951674.8,100066.144,108.239,100100.144,99987.68,-2.88
16,Paper,Paper,2.0,USD,IDEALPRO,16.0,,,1.0,83.381,20000.0,-20000.0,-4.288,BOT,CAD,JPY,20160411 07:59:05 EST,,-2.288,99953.392,1966349.856,100103.568,83.368,100139.568,99985.392,-4.288
17,Paper,Paper,2.0,USD,IDEALPRO,17.0,,,1.0,108.239,20000.0,40000.0,-2.0,BOT,USD,JPY,20160411 09:11:36 EST,,0.0,99951.392,1947299.792,100297.456,108.239,100335.456,99985.392,-2.0
18,Paper,Paper,2.0,USD,IDEALPRO,18.0,,,1.0,83.368,20000.0,-40000.0,-2.0,SLD,CAD,JPY,20160411 09:11:37 EST,,0.0,99949.392,1932627.024,100253.744,83.368,100293.744,99985.392,-2.0
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,108.234,20000.0,20000.0,-2.88,SLD,USD,JPY,20160412 01:50:19 EST,,-0.879999999999,99946.512,1951676.208,100054.976,108.239,100096.976,99984.512,-2.88
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,83.381,20000.0,-20000.0,-4.288,BOT,CAD,JPY,20160412 01:50:19 EST,,-2.288,99942.224,1966351.264,100092.4,83.368,100136.4,99982.224,-4.288
